date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,handwashing_facilities,human_development_index,population
2020-03-29,117.25023971657913,20.06511630419304,12.362370522943934,1.4348162796206334,0.24271578126146012,0.12464087178260147,38.57179651214307,1.6155153806449296,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,76.44777482554073,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-03-30,140.06699459027885,22.817631668998086,14.564250904489814,1.6724923002132157,0.28882416626283774,0.15541310373998957,46.07748620117268,1.6165588043912626,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,78.51931786770125,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-03-31,165.98579862532097,25.9194616315159,17.101152302478578,1.9725657345328953,0.3433957588277043,0.19414612386187688,54.60352948604445,1.6165530722656536,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,80.35871416031064,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-01,195.74369609245588,29.758390664490246,20.01299480216602,2.3547313467949573,0.4172430052875534,0.2423553912157359,64.39237303567114,1.6151989024539288,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,81.94273212960609,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-02,230.18985028524412,34.44652409080473,23.333728648489462,2.842082769954013,0.5142735597187367,0.30154191509893896,75.7233494276908,1.612239836181108,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,83.25575659558865,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-03,270.07878073267955,39.88920787094784,27.080982814744658,3.4558995047441208,0.6332164820062485,0.372825796375918,88.84466284646317,1.6074529863795308,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,84.29662643182412,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-04,315.915291108657,45.836718443611744,31.24830142909346,4.211737168958875,0.7689168863915659,0.4566713834810345,103.92237835656704,1.6006453312520064,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,85.0802586086129,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-05,367.8381651640726,51.923030106141354,35.7993210944446,5.116495184411475,0.9133069278835275,0.5526811394207317,121.00216385792325,1.5916756597189035,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,85.64237042704804,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-06,425.19260254144575,57.35455441541736,40.73309715567516,6.141007458121159,1.0309239580328802,0.6588990252184267,139.86863856894368,1.5804568094304208,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,86.02621899675674,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-07,488.2839961853354,63.09148142242286,46.043362136310435,7.295639239356882,1.1594405444781204,0.7756671583772992,160.62226625702482,1.566977222457433,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,86.28945804200853,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-08,557.4221115539995,69.13818120256387,51.66906846713273,8.601819927255235,1.3097872603301506,0.9033479770570549,183.3649509855938,1.5513106479355137,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,86.48518015076962,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
2020-04-09,632.7701874146928,75.34812523611825,57.512215700705184,10.08329771855069,1.484182720619303,1.04206544303843,208.1503977899391,1.5335906136180883,3248.0000000000173,2773.0000000000136,0.27000000000000135,3.7000000000000197,0.12000000000000063,1669.0000000000086,520.0000000000027,0.020000000000000108,86.62478362632879,37.60000000000019,5189.970000000028,0.200000000000001,408.50000000000216,5.72000000000003,5.900000000000032,86.98000000000044,0.750000000000004,3272993.0000000177
