date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,people_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,gdp_per_capita,hospital_beds_per_thousand,population
2022-05-07,568615.7696098667,455.98291608301486,438.2505369018455,1475.424577029869,0.1565566332266929,0.14882757327917237,9731032.31366187,83.86540762225934,1.0851935251055005,7215.000235435536,3605.56564789493,0.129686526975251,7.908622742873482,66.6956677724676,524.009232513208,317.9821361418127,0.000610930049178057,11.110000004024117,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-08,569085.2380671293,469.4684572626497,443.3578517714074,1475.5928671615438,0.16829013167502965,0.15141366638471887,9734905.59430023,83.86935081742723,1.0988679945078599,7215.000176576662,3663.1078978475116,0.13198241300777974,7.79022917738783,66.71005221913748,515.3780888330906,317.76321813738775,0.0009648232640975079,11.110000003018104,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-09,569569.4045684473,484.16650131802874,450.8032131659835,1475.7766154648898,0.1837483033458007,0.1568884656902847,9738870.55737273,83.87347416672277,1.109592657160793,7215.000132432507,3729.941799274456,0.13430807672416079,7.666091404695699,66.72428443746244,508.68433161612984,318.45255258170965,0.001402673685952902,11.110000002263595,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-10,570069.8435685469,500.43900009970525,460.6990491763629,1475.9774034215525,0.20078795666255062,0.1653814429975134,9742931.835440949,83.87777991398855,1.1169422304271575,7215.00009932439,3804.9464593459575,0.13655200130524103,7.5430446362625725,66.73839210152937,503.8264338462916,320.0358753283318,0.001917551482952076,11.110000001697712,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-11,570587.6185038189,517.7749352719355,472.86457825266723,1476.1950435163926,0.21764009484015834,0.17652832529920193,9747091.847480047,83.8822667120483,1.1206106805773186,7215.000074493303,3886.8828406309995,0.13859709729438024,7.428728208935789,66.75241329883619,500.4780379501426,322.4448767612784,0.0024969871416258274,11.1100000012733,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-12,571123.0115184597,535.3930146407656,486.89636597780105,1476.4278598835797,0.23281636718700344,0.18961877144692924,9751348.936070617,83.88693137695813,1.1203906219391313,7215.000055869988,3974.1707923995646,0.14030981392101163,7.330537753340508,66.76638696992555,498.1737327080775,325.56416823676403,0.0031227403562193775,11.11000000095499,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-13,571675.3207590783,552.3092406185841,502.22124264754035,1476.6728987911613,0.24503890758159105,0.20370712965177773,9755696.634712964,83.89177654661658,1.1162525656786553,7215.000041902501,4064.8160387082125,0.14158029192104335,7.255915596841202,66.7803150739213,496.377526213295,329.1720757574054,0.0037832317377527766,11.110000000716258,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-14,572242.7083456508,567.3875865725362,518.1359914555978,1476.9260865044912,0.25318771333002044,0.21769550560987438,9760122.80374159,83.89680346819353,1.1084003163081202,7215.0000314268855,4155.866020627804,0.1423151478354175,7.210294810106671,66.7941949633273,494.5269974864624,333.02862048967705,0.004471877584827196,11.11000000053721,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-15,572822.0863497367,579.3780040858348,533.8371146324232,1477.1823476838003,0.2562611793090865,0.23039606359654644,9764609.125313478,83.90202089057641,1.097235434386877,7215.000023570175,4243.460342878745,0.14248038156176046,7.196683615660168,66.80804196829388,492.0755919645462,336.9288667893656,0.00517485195074064,11.110000000402923,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-16,573411.209429401,589.1230796642477,548.8306622509828,1477.4293916613656,0.24704397756520236,0.23949371867349295,9769134.022188904,83.90742191793242,1.0833737315755503,7215.000017677641,4323.469707708516,0.14208523769038972,7.215731845552504,66.82184633966588,488.33423426992596,340.6717793745069,0.005874513235841529,11.11000000030221,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-17,574009.1143603515,597.9049309505137,562.7541203146116,1477.6658543471897,0.23646268582419291,0.24455661738262494,9773674.069549201,83.91300401251752,1.0676398655853487,7215.000013258241,4391.883567142091,0.14115749646430187,7.266191256497937,66.8356001918859,482.9766672156757,344.06753847399636,0.0065645791738107,11.110000000226673,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-18,574613.4400689069,604.3257085554848,575.1182883613635,1477.8953991637557,0.22954481656594716,0.24613191035435755,9778205.288777137,83.91876064513485,1.0509976755303185,7215.00000994369,4444.930112331364,0.1397590402538504,7.343880675728343,66.84929342930559,475.8451554986061,346.9392608367518,0.00722579378565862,11.11000000017002,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-19,575220.9878247902,607.5477558833243,585.4259145580306,1478.1248137554949,0.2294145917392635,0.24543312798231665,9782706.828785248,83.92466982935869,1.0344433115927951,7215.000007457777,4479.866281727522,0.13799478116000657,7.441842310286895,66.86290648115835,466.8908202490777,349.12324006841766,0.007832402869948569,11.110000000127531,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-20,575828.1413857234,607.1535609331793,593.260672020657,1478.3625825208896,0.23776876539462252,0.24410571217936872,9787163.144621432,83.93069849085128,1.0189292839531627,7215.000005593343,4495.394346072635,0.13600513564376077,7.5511554883712915,66.87641660941442,456.1787863783624,350.56563625687295,0.008357010620464027,11.110000000095665,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-21,576431.1821058738,603.0407201504347,598.3538910549248,1478.6178160115485,0.25523349065876627,0.2440511651946432,9791564.560377045,83.93680004784123,1.0052748556604132,7215.000004195018,4491.866606354741,0.13392143415040317,7.664265129529934,66.8898209412238,443.8924201630705,351.27892984294607,0.008774222089459218,11.110000000071764,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-22,577026.525267189,595.3431613151539,600.6346083364433,1478.8994479815142,0.281631969965633,0.2472951612262995,9795903.870752793,83.94293839237747,0.9941288954621825,7215.000003146273,4470.870413718873,0.13186544536070172,7.774310676494585,66.90311514030708,430.34780887712543,351.2914533615248,0.009063375035097014,11.110000000053839,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-23,577610.5368236958,584.0115565067282,599.9044567371426,1479.2156331742437,0.31618519272955825,0.25678358811429514,9800177.518870737,83.94908210714682,0.9859880743115703,7215.000002359715,4434.979200075845,0.12997051259195502,7.8747003635441875,66.91629821689814,415.83749058685044,350.6667315854621,0.009210588807027364,11.110000000040396,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-24,578181.4657399446,570.9289162488252,596.0508958818817,1479.5708231353715,0.35518996112764767,0.27335595223633585,9804386.287864283,83.95518900440678,0.9812003317517787,7215.000001769796,4387.652095596644,0.1283348656980065,7.960133223530809,66.92936433817466,400.7238458839213,349.5115386697047,0.009210301010571117,11.110000000030313,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-25,578738.6718162715,557.2060763268911,589.3197531977728,1479.967144500852,0.39632136548051344,0.29680235525676113,9808534.16414618,83.9612291805838,0.979948891347772,7215.000001327357,4332.886001238536,0.1269959779742161,8.02762092605148,66.94232423941003,385.29496544386495,347.9481498005983,0.00906642000485789,11.110000000022751,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-26,579282.5810115257,543.9091952542188,580.2288187768048,1480.4041722088668,0.43702770801471685,0.32610160483946865,9812627.789508324,83.96718109681483,0.9823364261061762,7215.000000995527,4274.609313469308,0.1260058716513151,8.074582856788137,66.955173043811,369.9046255328092,346.1155241151551,0.008793189276429466,11.110000000017079,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-27,579814.6519351157,532.070923589986,569.5030415228111,1480.878759408753,0.47458719988628084,0.3595997976826079,9816676.642757468,83.97301360218461,0.9883685122105321,7215.000000746656,4216.396610182788,0.12542715745535787,8.097776185900745,66.96788993153321,354.7608752634176,344.12261593704557,0.008415835719442342,11.110000000012825,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-28,580337.3507160435,522.6987809277844,558.0259262616954,1481.3849098927012,0.5061504839483248,0.39514425679460047,9820692.90075078,83.97871088037161,0.9978626802147847,7215.000000560002,4161.368595322941,0.12524554585493164,8.097044162696417,66.98046701232163,340.3272003306255,342.04960577954614,0.007946330571094371,11.110000000009634,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-29,580854.1321546806,516.7814386370154,546.8030815741004,1481.913682419528,0.5287725268267907,0.43018398445115474,9824691.80325783,83.9842584350041,1.0106672105489376,7215.000000420012,4112.730648172883,0.12546082390315755,8.072896244194268,66.99288831677201,327.0913285448466,339.94025863330256,0.007400924398909022,11.110000000007242,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-30,581365.1852504651,511.05309578448487,536.3806117623471,1482.460681982715,0.5469995631873208,0.46292903552647285,9828690.793906704,83.98963282108188,1.026607873975053,7215.000000315019,4073.4829570411093,0.12605618677029012,8.026546779137956,67.00513779543301,315.3400714654571,337.78652881660634,0.006800693299181774,11.110000000005448,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-05-31,581871.9841059168,506.7988554518097,527.2192350014637,1483.0226123273744,0.5619303446593991,0.4922749925466008,9832708.479642764,83.99482715298024,1.0454174439428296,7215.000000236274,4046.172770463449,0.1270109506788813,7.959696768257809,67.0172109742413,305.44974519781704,335.5332708852413,0.006159343503798102,11.110000000004101,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-01,582378.5549508024,506.57084488556126,519.9855807436647,1483.591668359948,0.5690560325734124,0.5168012670343858,9836764.180857651,83.99983293341661,1.0667363214833034,7215.000000177216,4032.9908415838563,0.12832220783786186,7.873596105605133,67.02910316442379,297.68313502037523,333.1276357754375,0.005485053846335975,11.110000000003092,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-02,582890.2482589979,511.6933081955227,515.3831585700311,1484.1576329764919,0.5659646165438287,0.5351038591316402,9840876.125940332,84.00463833532437,1.0901296489987105,7215.000000132922,4035.5950219442,0.12999747359009664,7.769972450890997,67.04081093020223,292.0911458103951,330.5161534637699,0.0047928466226317525,11.110000000002335,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-03,583412.8178361368,522.5695771388858,514.0255848292693,1484.70944968389,0.5518167073981761,0.5460449273157639,9845059.678274753,84.00923826587606,1.1150805916294482,7215.0000000997015,4054.8266963224096,0.13201184145630895,7.651079855298186,67.05234514820121,288.552733032825,327.700318071325,0.00410126069418778,11.110000000001767,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-04,583951.7301353451,538.9122992083992,516.3415026167813,1485.2364020657637,0.5269523818737781,0.5489399656872116,9849325.682530416,84.01364801501802,1.1410135788222817,7215.000000074786,4090.4951192036747,0.13442080740121704,7.517749128707004,67.063722298449,286.78539396837607,324.71161541192987,0.0034298563157281027,11.11000000000134,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-05,584511.6462440436,559.9161086984786,522.5032717589668,1485.728998381904,0.4925963161403051,0.5436981869350928,9853682.248320471,84.01788993821903,1.1672894342783162,7215.000000056099,4141.582118329718,0.1372756895845264,7.370882951895487,67.07495696300943,286.34786483529155,321.5955893870021,0.0027973437558652444,11.11000000000102,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-06,585089.5531219476,577.9068779039503,532.0534947048109,1486.178374513644,0.44937613174000623,0.5296547003176745,9858134.461267302,84.0219651669805,1.1932629709899283,7215.000000042085,4206.321688941218,0.1405970386816077,7.21165445697269,67.08607308748017,286.6299695302648,318.44417103184867,0.002220179762600291,11.110000000000781,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-07,585688.6798867104,599.1267647628052,545.2428999555643,1486.5794176014601,0.401043087815994,0.5065462934994072,9862683.939682983,84.02589230606935,1.218363841041414,7215.000000031574,4282.285949963838,0.14442660900474186,7.041126104526554,67.09709941806659,287.07213934508417,315.38392012909054,0.001711514912447956,11.110000000000602,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-08,586315.202335848,626.5224491377157,562.378578812828,1486.9306362456996,0.3512186442395006,0.4752817304671545,9867327.235229822,84.02969342961677,1.242061342319524,7215.0000000236905,4366.221298284132,0.1488058972836148,6.859647099403327,67.10807149309107,287.41754988696476,312.55317926941046,0.001283636184335967,11.110000000000467,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-09,586976.1318423846,660.9295065365458,583.697809998439,1487.2340631571276,0.303426911427848,0.43762451698417365,9872059.701570516,84.03338004312414,1.26391026013331,7215.000000017778,4454.858636932239,0.15377378301442432,6.667511665858258,67.11901338064581,287.4898622018384,310.07926712820563,0.0009627271382519752,11.110000000000365,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-10,587677.7320265856,701.600184201053,609.2734281193862,1487.4951821448353,0.2611189877079256,0.3959549746805999,9876876.91884112,84.03697362316416,1.2835338586423244,7215.000000013343,4545.370868455489,0.15931643939397944,6.466753658895964,67.12995541363571,287.411429326484,308.02711356528846,0.0007220453536889815,11.110000000000289,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-11,588424.331259759,746.5992331734155,638.942850016496,1487.7228733571742,0.22769121233879824,0.35309179662130996,9881784.620075155,84.04049645848507,1.300682714602301,7215.000000010017,4636.054961296374,0.16541476975233682,6.259976362465452,67.14095904568259,287.82697858827,306.46028346097387,0.0005415340152667361,11.110000000000232,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-12,589217.4320421051,793.1007823461263,672.2548445259478,1487.929372212453,0.20649885527866255,0.31215821398181987,9886789.373555357,84.04393997476242,1.3152188879232856,7215.000000007522,4725.800367707905,0.17205800685530007,6.048464818713997,67.15205065142429,288.81489565204106,305.38228434750846,0.0004061505114500521,11.11000000000019,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-13,590047.2417756004,829.8097334952133,708.2408997163753,1488.130238596963,0.20086638451006375,0.2766706966854601,9891892.934057126,84.0473192344656,1.3269419616761442,7215.000000005652,4813.988527235364,0.1791973512953215,5.83403607363473,67.163281201238,290.3989222238405,304.7873435127326,0.0003046128835875391,11.110000000000158,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-14,590916.7419975059,869.5002219055095,746.8656466683428,1488.3294985986615,0.19926000169864375,0.24794339096916962,9897089.098596888,84.05063761589457,1.3356759282706847,7215.000000004248,4900.479145911339,0.18676323648377324,5.618849615019203,67.17467954992665,292.55937266335593,304.6470687205227,0.0002284596626906543,11.110000000000134,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-15,591832.4235472576,915.6815497516934,788.17408664961,1488.5299293788626,0.20043078020093846,0.2265837552501483,9902362.682155771,84.05389660235414,1.3413047807214382,7215.000000003196,4985.507517158139,0.19464417914046436,5.40557386284812,67.18626572256143,295.2758050846753,304.89748641434204,0.00017134474701799074,11.110000000000117,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-16,592801.5782777679,969.1547305102808,832.2062804041448,1488.733209800794,0.20328042193157037,0.21253025341240137,9907687.973242838,84.05711492106113,1.3437581589088892,7215.000000002407,5069.274416149155,0.20270986350854833,5.197100565203323,67.19805457634263,298.45514082061743,305.4959008482489,0.00012850856026349304,11.110000000000104,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-17,593830.2678389021,1028.6895611341668,878.9333651188824,1488.9400334010177,0.20682360022372656,0.20508062477164773,9913029.33246527,84.06031267754452,1.343019330235321,7215.000000001815,5151.932670547556,0.21085689666179297,4.995777912590281,67.2100406898524,301.93531704618965,306.4023393401302,9.638142019761978e-05,11.110000000000094,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-18,594921.8002650857,1091.5324261835292,928.2095671487948,1489.150193117992,0.2101597169745179,0.20291308654900111,9918342.709488215,84.06350551656186,1.3391373160346052,7215.0000000013715,5233.612835166654,0.2189508496133457,4.8039714434924905,67.22219309011079,305.49329450733177,307.4859174010257,7.228606514821483e-05,11.110000000000086,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-19,596075.5874160096,1153.7871509240094,979.7362115606927,1489.3626448384962,0.21245172050399797,0.20410223572623076,9923577.815728273,84.06669337465488,1.3322432585191684,7215.000000001039,5314.400124112555,0.22682173449507753,4.624573605243809,67.2345064853272,308.8477342935568,308.6496998477962,5.4214548861161123e-05,11.110000000000081,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-20,597282.5973008575,1207.0098848478247,1033.62193517343,1489.5755550574454,0.21291021894942735,0.20613097543720732,9928680.398096316,84.0698880012563,1.3225347386534376,7215.0000000007885,5394.220988365613,0.2343346266631637,4.459690708134542,67.24693068817132,311.47446156912304,309.7592044268948,4.066091164587084e-05,11.110000000000076,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
2022-06-21,598545.111728068,1262.514427210531,1089.7667721622333,1489.788809150229,0.21325409278349938,0.20839671250873965,9933595.143114105,84.07309740042521,1.3102229673708168,7215.000000000601,5472.771219619402,0.24138445416026907,4.31037081067428,67.25943904715638,313.1037938174374,310.66581573128985,3.0495683734403132e-05,11.110000000000072,32.40000000000016,43290.70000000023,2.00000000000001,1472237.0000000081
