date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,gdp_per_capita,diabetes_prevalence,population
2020-03-11,3.0000000000000124,0.0,0.0,0.0,299.6400000000011,0.0,0.0,3575.100000000013,27.250000000000107,11335.000000000047
2020-03-12,3.0000000000000133,0.0,0.0,0.0,299.64000000000124,0.0,0.0,3575.100000000015,27.250000000000114,11335.000000000053
2020-03-13,3.000000000000014,0.0,0.0,0.0,299.64000000000135,0.0,0.0,3575.100000000016,27.25000000000012,11335.000000000056
2020-03-14,3.000000000000015,0.0,0.0,0.0,299.6400000000014,0.0,0.0,3575.1000000000167,27.250000000000128,11335.000000000058
2020-03-15,3.000000000000016,0.0,0.0,0.0,299.64000000000146,0.0,0.0,3575.1000000000176,27.250000000000135,11335.00000000006
2020-03-16,3.000000000000016,0.0,0.0,0.0,299.6400000000015,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000062
2020-03-17,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-18,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-19,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-20,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-21,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-22,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-23,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-24,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-25,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-26,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-27,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-28,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-29,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-30,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-03-31,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
2020-04-01,3.000000000000016,0.0,0.0,0.0,299.6400000000016,0.0,0.0,3575.1000000000186,27.250000000000135,11335.000000000064
