date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,hosp_patients,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,aged_70_older,life_expectancy,population,excess_mortality_cumulative,excess_mortality
2021-06-04,2871040.5131802885,877.6277979138895,1154.8741055589876,73485.36483204119,105.51857462463352,130.29412975155114,2.100000000000011,0.47443760605475443,4964.61928945441,50881.74690825456,0.01820935950047526,70.45993122805076,34.81937103941096,308139.789163123,300890.92308490997,0.3473414917094512,56.704036310355555,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,18.135100512681174,8.857090294248577
2021-06-05,2871836.6015141793,796.0883338911386,1059.687793293353,73583.1824637207,97.81763167952889,122.04592407513731,2.100000000000011,0.4746165044764252,4654.051668125072,50724.23005837263,0.017020788209713283,76.2941290933071,35.158712183889236,311414.01595120504,303358.7741171735,0.3444354982261742,56.23972358053662,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,18.11623751859531,8.439095077783128
2021-06-06,2872562.435864145,725.8343499658661,972.7837375039524,73674.38435910284,91.20189538214193,114.19360708350243,2.100000000000011,0.4755821262564792,4361.9905772088705,50590.34733369551,0.015944647395164747,82.38406159050407,35.49683067961058,314096.6771702562,306015.35490914754,0.3421483754472653,55.80723111462038,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,18.097134506108755,8.096661967678013
2021-06-07,2873237.298359005,674.8624948596621,892.0850151512359,73760.84521826066,86.46085915780887,106.7725236707394,2.100000000000011,0.47721115836398253,4088.19833045029,50478.959369049975,0.014966888907718115,88.73883158395772,35.83294993278491,315978.3675738788,308749.1822775301,0.340267066976529,55.411810213793416,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,18.07789451241934,7.82515581641786
2021-06-08,2873863.479215282,626.1808562772618,817.5417793013721,73842.76531317846,81.9200949178073,99.84001508660346,2.100000000000011,0.47939770296820416,3832.6885506819362,50386.799213277525,0.014069704495914654,95.37599020380554,36.16619435004122,316904.1940062014,311438.22862799285,0.3385167191076396,55.05457146125011,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,18.0585960851641,7.6207182567173195
2021-06-09,2874442.013887871,578.5346725893303,749.2566843467473,73920.2478213416,77.48250816314548,93.45236296330435,2.100000000000011,0.4820728408977763,3594.434367116175,50308.43583529758,0.013230849800507434,102.33183104975154,36.49561699717867,316766.7269202947,313934.06284138944,0.33661943978321884,54.73568118158731,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,18.039316234618322,7.479086226936374
2021-06-10,2874973.9733279953,531.9594401239633,687.2980389549544,73993.4116578615,73.16383651990282,87.64912338602069,2.100000000000011,0.4851653287987369,3371.8514379098565,50236.50016348037,0.01242313735038059,109.62842726275017,36.820455637347536,315834.63888770045,316060.4048556709,0.33427905947542363,54.45322985839482,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,18.020131626051494,7.395434925996916
2021-06-11,2875461.431676673,487.4583486773298,631.5596707805346,74062.47609956947,69.06444170796209,82.44137744578582,2.100000000000011,0.488589090328853,3164.998242297942,50162.11642836341,0.011638781584214027,117.28238541151013,37.140056983343605,314521.28902356507,317731.91456612333,0.3313062564682359,54.20238183141739,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,18.001117857963244,7.364421863534543
2021-06-12,2875908.1920348196,446.76035814665323,581.6558249987822,74127.82425308702,65.34815351755859,77.802919154152,2.100000000000011,0.4922480556264077,2972.9381290408483,50073.614422112965,0.010871943331017675,125.3014157554654,37.45347486420459,312878.64365843055,318883.86843913724,0.3275722909290701,53.97477118287145,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,17.982347304729267,7.3803817314767555
2021-06-13,2876320.3307908243,412.13875600494833,536.8423382061007,74190.05065587872,62.22640279169196,73.66364637918875,2.100000000000011,0.4960276706790825,2794.722003374046,49958.52199951951,0.010118243212548983,133.6766096511177,37.75973381460469,310816.09561820386,319437.52416387177,0.3230040404333899,53.7835400872183,33.10000000000018,41.800000000000225,10.200000000000053,78.73000000000042,39857144.00000021,17.96388588255473,7.437634391690964
