date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,male_smokers,hospital_beds_per_thousand,human_development_index,population
2021-08-22,56517.983045041285,345.59524891956175,427.39824288257364,514.5244465864912,6.011913645850445,6.690357357947667,9.318887173229655,0.6648006113470414,19285.32580668636,19603.583699778454,0.10691061905590865,57.25047391178764,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-08-23,56846.97770071705,328.994885299885,400.9394748251498,520.415248320606,5.890803366255973,6.470117889178275,9.416118676625551,0.6631872393764746,18996.709513385835,19421.01070631415,0.10434343617299174,56.99859331360809,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-08-24,57160.06758387659,313.0900553776291,376.34388730826157,526.193336692944,5.778089596443765,6.270370414298064,9.510728551748427,0.6622179990216911,18636.2623763667,19193.955848093752,0.10194390550724879,56.642422683977955,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-08-25,57457.37436276207,297.30690804905925,353.72581528727284,531.860080089198,5.666744314333478,6.0915100343822495,9.602554251561818,0.6618230015287127,18215.659015629928,18917.2542487077,0.0995663648124018,56.17722344478704,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-08-26,57738.947110145324,281.57284425592854,333.13952403817643,537.4143231567506,5.554243756112107,5.933021019645777,9.691359450791609,0.6619188025363221,17736.88077863693,18588.567173279345,0.09712758550328984,55.604681643060296,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-08-27,58005.13824146493,266.19120397410575,314.54555980303473,542.8557649919981,5.441442351667151,5.793311821618632,9.776934584861658,0.6624142150244144,17196.14261909946,18201.992865415254,0.09453751201046687,54.93339778691714,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-08-28,58256.8854684291,251.7472814550463,297.7855127740605,548.1874927808449,5.331728176161489,5.66959133227733,9.859428556616523,0.6632410103310138,16612.7154323272,17758.150951582473,0.09178128526835447,54.17925422254087,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-08-29,58495.92326421784,239.03783665689588,282.56308933167696,553.4178820290733,5.23038953871453,5.557776078393525,9.939076992769452,0.664305515343607,15977.455185536091,17262.583397914415,0.08889672671791107,53.36569066690572,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-08-30,58725.94608423327,230.02285066655713,268.42434479449173,558.5809292981471,5.1630474869382965,5.453681121497155,10.016196561642392,0.6655253549951012,15301.31940035657,16725.95999510681,0.08597167238167841,52.50756211782642,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
2021-08-31,58947.20743001408,221.26136876914887,255.30613545430478,563.6756775812388,5.09474844649009,5.355979166914729,10.091187498801297,0.6668444040937735,14601.147129452964,16160.687514106467,0.08309413890164352,51.613285033748035,26.300000000000146,1.400000000000007,50.50000000000027,4.500000000000023,0.7000000000000035,6630621.000000035
