date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,total_tests,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_70_older,median_age,aged_65_older,diabetes_prevalence,male_smokers,hospital_beds_per_thousand,population
2020-04-13,11.675203007948927,0.6982548391223533,0.699853768782494,1.000000000000005,0.0,0.0,0.5400000000000027,2.190000000000011,2340.000000000012,2340.000000000012,1146.000000000006,0.020000000000000108,43.600000000000236,3397.0000000000173,0.03000000000000016,94.52862579688485,2.320000000000012,24.40000000000013,4.030000000000021,4.00000000000002,51.20000000000026,1.500000000000008,7529477.000000041
2020-04-14,12.344540588217695,0.6981901597231492,0.7006519620102716,1.000000000000005,0.0,0.0,0.5400000000000027,2.190000000000011,2340.000000000012,2340.000000000012,1146.000000000006,0.020000000000000108,43.600000000000236,3397.0000000000173,0.03000000000000016,94.97146934766377,2.320000000000012,24.40000000000013,4.030000000000021,4.00000000000002,51.20000000000026,1.500000000000008,7529477.000000041
2020-04-15,13.014594839999749,0.6916936863728412,0.6996827336279374,1.000000000000005,0.0,0.0,0.5400000000000027,2.190000000000011,2340.000000000012,2340.000000000012,1146.000000000006,0.020000000000000108,43.600000000000236,3397.0000000000173,0.03000000000000016,95.30360201074797,2.320000000000012,24.40000000000013,4.030000000000021,4.00000000000002,51.20000000000026,1.500000000000008,7529477.000000041
2020-04-16,13.674779355597765,0.6764140915411057,0.6960996391026606,1.000000000000005,0.0,0.0,0.5400000000000027,2.190000000000011,2340.000000000012,2340.000000000012,1146.000000000006,0.020000000000000108,43.600000000000236,3397.0000000000173,0.03000000000000016,95.5527015080611,2.320000000000012,24.40000000000013,4.030000000000021,4.00000000000002,51.20000000000026,1.500000000000008,7529477.000000041
2020-04-17,14.314326274940106,0.6517191012996568,0.6889397907361754,1.000000000000005,0.0,0.0,0.5400000000000027,2.190000000000011,2340.000000000012,2340.000000000012,1146.000000000006,0.020000000000000108,43.600000000000236,3397.0000000000173,0.03000000000000016,95.73952613104596,2.320000000000012,24.40000000000013,4.030000000000021,4.00000000000002,51.20000000000026,1.500000000000008,7529477.000000041
2020-04-18,14.923462870393855,0.6182657319217375,0.6772919471245306,1.000000000000005,0.0,0.0,0.5400000000000027,2.190000000000011,2340.000000000012,2340.000000000012,1146.000000000006,0.020000000000000108,43.600000000000236,3397.0000000000173,0.03000000000000016,95.8796445982846,2.320000000000012,24.40000000000013,4.030000000000021,4.00000000000002,51.20000000000026,1.500000000000008,7529477.000000041
2020-04-19,15.4942939853746,0.5776779673317369,0.660422580252901,1.000000000000005,0.0,0.0,0.5400000000000027,2.190000000000011,2340.000000000012,2340.000000000012,1146.000000000006,0.020000000000000108,43.600000000000236,3397.0000000000173,0.03000000000000016,95.98473344871358,2.320000000000012,24.40000000000013,4.030000000000021,4.00000000000002,51.20000000000026,1.500000000000008,7529477.000000041
2020-04-20,16.025245375908803,0.5360865297974458,0.637328409009974,1.000000000000005,0.0,0.0,0.5400000000000027,2.190000000000011,2340.000000000012,2340.000000000012,1146.000000000006,0.020000000000000108,43.600000000000236,3397.0000000000173,0.03000000000000016,96.06355008653532,2.320000000000012,24.40000000000013,4.030000000000021,4.00000000000002,51.20000000000026,1.500000000000008,7529477.000000041
2020-04-21,16.511209403618764,0.4898153821573932,0.607590359763299,1.000000000000005,0.0,0.0,0.5400000000000027,2.190000000000011,2340.000000000012,2340.000000000012,1146.000000000006,0.020000000000000108,43.600000000000236,3397.0000000000173,0.03000000000000016,96.1366667665823,2.320000000000012,24.40000000000013,4.030000000000021,4.00000000000002,51.20000000000026,1.500000000000008,7529477.000000041
2020-04-22,16.94714331645036,0.43882242866717264,0.5714508499776139,1.000000000000005,0.0,0.0,0.5400000000000027,2.190000000000011,2340.000000000012,2340.000000000012,1146.000000000006,0.020000000000000108,43.600000000000236,3397.0000000000173,0.03000000000000016,96.20784251191165,2.320000000000012,24.40000000000013,4.030000000000021,4.00000000000002,51.20000000000026,1.500000000000008,7529477.000000041
2020-04-23,17.329507455017175,0.3845305254434955,0.5296952803403538,1.000000000000005,0.0,0.0,0.5400000000000027,2.190000000000011,2340.000000000012,2340.000000000012,1146.000000000006,0.020000000000000108,43.600000000000236,3397.0000000000173,0.03000000000000016,96.27002183222089,2.320000000000012,24.40000000000013,4.030000000000021,4.00000000000002,51.20000000000026,1.500000000000008,7529477.000000041
