date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,cardiovasc_death_rate,diabetes_prevalence,life_expectancy,human_development_index,population
2020-03-11,1.0000000000000038,0.0,0.0,20.00000000000008,0.0,0.0,0.0500000000000002,1.2200000000000049,520.000000000002,0.030000000000000117,11.00000000000004,281.0000000000011,0.0,9.952952207614961,16.700000000000063,281.0000000000011,6.100000000000024,54.24000000000021,0.4000000000000016,17723312.000000067
2020-03-12,1.0000000000000042,0.0006140917905623792,0.0,20.00000000000009,0.0,0.0,0.05000000000000021,1.2200000000000053,520.0000000000023,0.03000000000000013,11.000000000000046,281.0000000000012,0.0,11.097290862187268,16.70000000000007,281.0000000000012,6.100000000000026,54.24000000000023,0.4000000000000017,17723312.000000075
2020-03-13,1.0000000000000044,0.0030462184873949706,0.0,20.000000000000096,0.0,0.0,0.050000000000000225,1.2200000000000057,520.0000000000025,0.030000000000000138,11.000000000000052,281.0000000000013,0.0,12.307775030932653,16.700000000000074,281.0000000000013,6.100000000000028,54.240000000000244,0.4000000000000018,17723312.000000082
2020-03-14,1.0000000000000047,0.007245879120879156,0.0006493212669683272,20.0000000000001,0.0,0.0,0.05000000000000024,1.220000000000006,520.0000000000026,0.030000000000000145,11.000000000000055,281.00000000000136,0.0,13.562246754776762,16.700000000000077,281.00000000000136,6.100000000000029,54.24000000000026,0.4000000000000019,17723312.000000086
2020-03-15,1.0000000000000049,0.013013594861021398,0.002197398190045257,20.000000000000103,0.0,0.0,0.05000000000000025,1.2200000000000062,520.0000000000027,0.03000000000000015,11.000000000000057,281.0000000000014,0.0,14.830353618118796,16.70000000000008,281.0000000000014,6.10000000000003,54.240000000000265,0.400000000000002,17723312.00000009
2020-03-16,0.9949579831932823,0.014996136675824246,0.00425535310277959,20.000000000000107,0.0,0.0,0.0497226890756305,1.2200000000000064,520.0000000000027,0.030000000000000155,11.000000000000059,281.0000000000015,0.0,16.07415790912888,16.700000000000085,281.0000000000015,6.100000000000031,54.24000000000027,0.400000000000002,17723312.00000009
2020-03-17,0.9852941176470639,0.018260677167501696,0.006971896210407269,20.000000000000107,0.0,0.0,0.04919117647058849,1.2200000000000064,520.0000000000027,0.03000000000000016,11.00000000000006,281.0000000000015,0.0,17.272392510709004,16.700000000000085,281.0000000000015,6.100000000000032,54.24000000000028,0.400000000000002,17723312.00000009
2020-03-18,0.9748787976729204,0.02579958027381637,0.010806814853345233,20.000000000000107,0.0,0.0,0.048618333872010595,1.2200000000000064,520.0000000000027,0.03000000000000016,11.000000000000062,281.0000000000015,0.0,18.406416393374382,16.700000000000085,281.0000000000015,6.1000000000000325,54.24000000000028,0.400000000000002,17723312.00000009
2020-03-19,0.9695236748545623,0.03904910343419237,0.016361090454811808,20.000000000000107,0.0,0.0,0.0483238021170009,1.2200000000000064,520.0000000000027,0.03000000000000016,11.000000000000062,281.0000000000015,0.0,19.463948203240257,16.700000000000085,281.0000000000015,6.1000000000000325,54.24000000000028,0.400000000000002,17723312.00000009
2020-03-20,0.9758499313186865,0.05827842421429989,0.024249486231542012,20.000000000000107,0.0,0.0,0.04867174622252773,1.2200000000000064,520.0000000000027,0.03000000000000016,11.000000000000062,281.0000000000015,0.0,20.44233930369073,16.700000000000085,281.0000000000015,6.1000000000000325,54.24000000000028,0.400000000000002,17723312.00000009
2020-03-21,1.0004394846881113,0.08288141027449372,0.03500498797682402,20.000000000000107,0.0,0.0,0.05002417165784609,1.2200000000000064,520.0000000000027,0.03000000000000016,11.000000000000062,281.0000000000015,0.0,21.358641193993034,16.700000000000085,281.0000000000015,6.1000000000000325,54.24000000000028,0.400000000000002,17723312.00000009
2020-03-22,1.049198391796628,0.11159544684614206,0.04900713464777651,20.000000000000107,0.0,0.0,0.052705911548814516,1.2200000000000064,520.0000000000027,0.03000000000000016,11.000000000000062,281.0000000000015,0.0,22.237760307259514,16.700000000000085,281.0000000000015,6.1000000000000325,54.24000000000028,0.400000000000002,17723312.00000009
2020-03-23,1.1218373846684166,0.13888404473383115,0.06660473689404198,20.000000000000107,0.0,0.0,0.05670105615676289,1.2200000000000064,520.0000000000027,0.03000000000000016,11.000000000000062,281.0000000000015,0.0,23.086616933741375,16.700000000000085,281.0000000000015,6.1000000000000325,54.24000000000028,0.400000000000002,17723312.00000009
2020-03-24,1.2220179867883216,0.16919212210887405,0.08805406980046059,20.000000000000107,0.0,0.0,0.062210989273357664,1.2200000000000064,520.0000000000027,0.03000000000000016,11.000000000000062,281.0000000000015,0.0,23.900695731980278,16.700000000000085,281.0000000000015,6.1000000000000325,54.24000000000028,0.400000000000002,17723312.00000009
2020-03-25,1.3550719904144497,0.20346164167861783,0.11331867129022934,20.000000000000107,0.0,0.0,0.06952895947279472,1.2200000000000064,520.0000000000027,0.03000000000000016,11.000000000000062,281.0000000000015,0.0,24.67481155334853,16.700000000000085,281.0000000000015,6.1000000000000325,54.24000000000028,0.400000000000002,17723312.00000009
2020-03-26,1.5262910645626175,0.24126785375411577,0.14209566151550684,20.000000000000107,0.0,0.0,0.07894600855094396,1.2200000000000064,520.0000000000027,0.03000000000000016,11.000000000000062,281.0000000000015,0.0,25.404175407092882,16.700000000000085,281.0000000000015,6.1000000000000325,54.24000000000028,0.400000000000002,17723312.00000009
2020-03-27,1.7396439609946879,0.28116097434920084,0.17383548240036678,20.000000000000107,0.0,0.0,0.09068041785470782,1.2200000000000064,520.0000000000027,0.03000000000000016,11.000000000000062,281.0000000000015,0.0,26.085193934117378,16.700000000000085,281.0000000000015,6.1000000000000325,54.24000000000028,0.400000000000002,17723312.00000009
2020-03-28,1.9968144187098207,0.32092244375479073,0.20775670229801307,20.000000000000107,0.0,0.0,0.10482479302904012,1.2200000000000064,520.0000000000027,0.03000000000000016,11.000000000000062,281.0000000000015,0.0,26.71606901232046,16.700000000000085,281.0000000000015,6.1000000000000325,54.24000000000028,0.400000000000002,17723312.00000009
2020-03-29,2.296479592312913,0.35775712046961666,0.24285711948369126,20.000000000000107,0.0,0.0,0.12130637757721019,1.2200000000000064,520.0000000000027,0.03000000000000016,11.000000000000062,281.0000000000015,0.0,27.297247460597852,16.700000000000085,281.0000000000015,6.1000000000000325,54.24000000000028,0.400000000000002,17723312.00000009
