date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,total_deaths_per_million,reproduction_rate,weekly_hosp_admissions,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,population,excess_mortality_cumulative,excess_mortality
2022-03-06,71210.48297169044,91.37988424811708,87.27746022947768,624.2771365473059,0.8750419653788136,0.9828739460213052,1743725.6954327328,1181.909671098745,1.0269216906331484,30.09544942969521,1640.323866748004,1641.4280262148409,0.056161319268607304,18.339609962949567,233.28669916395515,88.29952874482382,593.0057970357987,645.1347937995158,0.03275323756313128,44.733336689289054,42.40000000000022,36513.320000000196,0.200000000000001,168.7100000000009,8.830000000000044,20.900000000000112,533293.0000000027,6.896666703708355,14.732495418661415
2022-03-07,71303.28963665415,92.80666496372207,88.14876970345938,625.1221058041455,0.844969256839541,0.9455297323020175,1745374.560472419,1183.509406362199,1.062032088918625,31.239217970784708,1648.8650396860862,1640.499510288153,0.05758802241848854,17.92717676762267,233.39539525208755,88.32728779972982,579.4081616100754,627.436518749767,0.03173154097131424,44.7307027432112,42.40000000000022,36513.320000000196,0.200000000000001,168.7100000000009,8.830000000000044,20.900000000000112,533293.0000000027,6.897081152538871,14.572568119541376
2022-03-08,71398.01024623668,94.72060958252018,89.42663286906202,625.938444252916,0.8163384487705747,0.9105273897242517,1747035.6252832112,1185.054899471069,1.0973681196947882,32.58616387055326,1661.0648107923626,1642.5169404084247,0.05925533484877277,17.4610031316317,233.5018681908436,88.35421100170441,567.4014831985075,611.0110186680145,0.030653374539086883,44.72818445883057,42.40000000000022,36513.320000000196,0.200000000000001,168.7100000000009,8.830000000000044,20.900000000000112,533293.0000000027,6.899191301194264,14.353757052810543
2022-03-09,71496.01178939642,98.00154315974096,91.22297125813148,626.7312733965399,0.7928291436238274,0.8782147084211795,1748712.3682028763,1186.5558523667164,1.1325593800102656,34.101288338319925,1676.7429196650564,1647.6898869482084,0.06117259357355446,16.950708715886044,233.60628478889902,88.38040243356673,556.3530354758045,595.876315067592,0.029555480160940926,44.725765364161774,42.40000000000022,36513.320000000196,0.200000000000001,168.7100000000009,8.830000000000044,20.900000000000112,533293.0000000027,6.902530769274598,14.066179480438104
2022-03-10,71599.05221632021,103.04042692378133,93.68411370539579,627.5081512335726,0.7768778370326744,0.8494100616972691,1750407.6625613386,1188.0265849763964,1.1672469428939323,35.74947027073141,1695.294358462434,1656.0841572926065,0.06336263845747686,16.40503056729594,233.7087497907696,88.40593757178151,545.9087326508102,582.0211826484647,0.028460889370867333,44.72342260101409,42.40000000000022,36513.320000000196,0.200000000000001,168.7100000000009,8.830000000000044,20.900000000000112,533293.0000000027,6.906586875552319,13.702575856057656
2022-03-11,71708.91379055312,109.86157423291375,96.954145072195,628.2781399280891,0.7699886945165882,0.8251231571326813,1752124.45960685,1189.4842682410256,1.2010043732984408,37.49989474294149,1716.79704551134,1667.8038257910475,0.06582676229495002,15.832695032776433,233.8093112118558,88.4308457127729,535.7606865275395,569.3212683696718,0.02740594498548732,44.721151630786494,42.40000000000022,36513.320000000196,0.200000000000001,168.7100000000009,8.830000000000044,20.900000000000112,533293.0000000027,6.910839916568211,13.25949653328437
2022-03-12,71827.12810309595,118.21431254281738,101.14741778927893,629.0511065620988,0.7729666340096142,0.8063455999115675,1753865.4998279582,1190.9475988860067,1.233414075061098,39.329582152413494,1741.0402211082974,1682.8274814958413,0.06856674269729536,15.241573633987644,233.9079963371404,88.45516660520036,525.8717269189262,557.6026351815856,0.026411763199361157,44.71893644448618,42.40000000000022,36513.320000000196,0.200000000000001,168.7100000000009,8.830000000000044,20.900000000000112,533293.0000000027,6.914803706933971,12.73791522478553
2022-03-13,71954.76983297817,127.64172988222639,106.32793551390506,629.8371986998554,0.786092137756727,0.7938938153182921,1755633.379137293,1192.4358054993484,1.2641255207431428,41.226242852189955,1767.8793093347808,1701.0319233390778,0.07158924577539569,14.639813063241235,234.00495943772955,88.47895559384868,516.7830291904882,546.7256674010573,0.025499029251492458,44.71675081429553,42.40000000000022,36513.320000000196,0.200000000000001,168.7100000000009,8.830000000000044,20.900000000000112,533293.0000000027,6.918067065914774,12.143688034620189
2022-03-14,72090.27517693152,135.5053439533636,112.42799171299846,630.6426695484865,0.8054708486310566,0.7884677111978344,1757431.5237194882,1193.9607434263876,1.2928921366788846,43.19062590126276,1798.144582195012,1722.3432863957134,0.07488553484867681,14.037708860132946,234.10025416136148,88.50220182790117,507.94750136927274,536.5312091803994,0.024674368900481043,44.71460755157498,42.40000000000022,36513.320000000196,0.200000000000001,168.7100000000009,8.830000000000044,20.900000000000112,533293.0000000027,6.920336013721805,11.487402165036167
2022-03-15,72234.59193538135,144.31675844983224,119.51338761151052,631.4725160592326,0.8298465107460797,0.7905655539219709,1759263.3018555527,1195.531880775998,1.3195462841510528,45.23956883494151,1831.7781360644904,1746.7196173501166,0.07846618733560276,13.442457469275551,234.19385723382038,88.52488714985296,498.9918154257917,526.7741340992627,0.0239196422215793,44.71251141675176,42.40000000000022,36513.320000000196,0.200000000000001,168.7100000000009,8.830000000000044,20.900000000000112,533293.0000000027,6.921442286401808,10.783227771159169
