date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2022-04-28,189109340.3770063,343210.2280269029,372036.6542191515,1843927.618149708,1125.2292226713505,1194.9079223515878,38.87202732515276,171.27264890111223,68.41349724270687,494966.24806181877,500777.49743328826,0.010015421916173366,744807803.0000042
2022-04-29,189442238.1281816,332897.7511753166,361915.5218188566,1845026.998163027,1099.3800133189634,1170.84147602355,38.90084030640502,171.33847487880792,68.42347878206257,488497.73140835564,499082.30945182533,0.010038877361499787,744807803.0000042
2022-04-30,189764832.67839247,322594.55021083495,352114.336288351,1846100.5385543995,1073.5403913725463,1146.9890216912258,38.929561063675834,171.40301905503378,68.43320410917146,480038.08021431515,495973.4688212549,0.010064387497530802,744807803.0000042
2022-05-01,190077742.80460912,312910.12621662696,342579.90599115053,1847149.855838879,1049.3172844796372,1123.4188035987377,38.95814413324497,171.46607198358325,68.4426071865975,470162.7740262832,491280.40770837874,0.01007737918164844,744807803.0000042
2022-05-02,190382985.47289798,305242.66828884423,333182.9891171513,1848180.74021465,1030.8843757708476,1100.137908128919,38.98653602494994,171.52747593338904,68.45162151793787,459179.00227149064,484967.6608233015,0.010061266448291936,744807803.0000042
2022-05-03,190680439.0574533,297453.5845553537,323914.51766882703,1849192.835299969,1012.095085318764,1077.1888119952039,39.014675935971724,171.5871169694344,68.46018381783294,447528.9431386541,477135.63322251884,0.009999569745721228,744807803.0000042
2022-05-04,190969745.18701398,289306.1295606656,314802.14954428386,1850184.7773314756,991.9420315068505,1054.6237961327975,39.042532485269085,171.64497993780645,68.46823563325198,436083.47640699695,468064.7422407423,0.009877505363589577,744807803.0000042
2022-05-05,191250585.31034803,280840.1233340419,305892.13464576984,1851155.0659494821,970.2886180063512,1032.4891720834391,39.0700460995692,171.70111601347142,68.47576027374322,425243.8609251577,458104.45941164973,0.00968317750362303,744807803.0000042
2022-05-06,191522888.12036633,272302.8100183081,297235.7144610569,1852102.7172869365,947.6513374543445,1010.8134517839769,39.09718308792841,171.75566619562417,68.48274958475159,415632.46649218816,447695.17752577085,0.009408472332630018,744807803.0000042
2022-05-07,191786985.1222078,264097.0018414625,288878.9217494776,1853027.7537861485,925.036499212285,989.5984749077965,39.123927878325155,171.8086927624262,68.48919001661808,406400.5742227292,437175.55161556334,0.009049728522258563,744807803.0000042
