date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_70_older,female_smokers,population
2020-03-11,1.0000000000000038,0.0,0.0,2.0000000000000075,0.0,9.520000000000037,19.040000000000074,1.2200000000000049,633.0000000000025,0.4100000000000016,5.460761028961257,150.03000000000057,22.300000000000086,4.030000000000016,11.800000000000047,106867.00000000041
2020-03-12,1.0000000000000042,0.0,0.0,2.0000000000000084,0.0,9.52000000000004,19.04000000000008,1.2200000000000053,633.0000000000027,0.4100000000000018,5.728907552587144,150.03000000000065,22.300000000000097,4.030000000000018,11.800000000000052,106867.00000000045
2020-03-13,1.0000000000000044,0.0,0.0,2.000000000000009,0.0,9.520000000000044,19.040000000000088,1.2200000000000057,633.000000000003,0.4100000000000019,6.214127173813347,150.0300000000007,22.300000000000104,4.030000000000019,11.800000000000056,106867.00000000048
2020-03-14,1.0000000000000047,0.0,0.0,2.0000000000000093,0.0,9.520000000000046,19.04000000000009,1.220000000000006,633.0000000000031,0.41000000000000203,6.962612510288918,150.03000000000074,22.30000000000011,4.03000000000002,11.80000000000006,106867.00000000051
2020-03-15,1.0000000000000049,0.0,0.0,2.0000000000000098,0.0,9.520000000000048,19.040000000000095,1.2200000000000062,633.0000000000032,0.41000000000000214,8.010128742768416,150.03000000000077,22.300000000000114,4.030000000000021,11.800000000000061,106867.00000000052
2020-03-16,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000033,0.41000000000000214,9.321559711568895,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000063,106867.00000000054
2020-03-17,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,10.904317488912632,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-18,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,12.786987308668985,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-19,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,15.00026730761683,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-20,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,17.559629375347434,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-21,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,20.4978315984143,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-22,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,23.852665230808185,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-23,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,27.621127559176006,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-24,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,31.76707676181904,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-25,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,36.226973052941595,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-26,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,40.92351227192994,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-27,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,45.767719207179596,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-28,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,50.65238572083405,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-29,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,55.45647707343106,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-30,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,60.15115515478251,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
2020-03-31,1.000000000000005,0.0,0.0,2.00000000000001,0.0,9.52000000000005,19.0400000000001,1.2200000000000064,633.0000000000034,0.41000000000000214,64.69816403900231,150.03000000000077,22.300000000000118,4.030000000000021,11.800000000000065,106867.00000000055
