date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,diabetes_prevalence,female_smokers,handwashing_facilities,hospital_beds_per_thousand,human_development_index,population
2020-03-11,1.7279931263805517,0.1363081359154939,0.09316700708732427,1.0000000000000038,0.0,0.0,0.0,0.3400000000000013,5573.000000000022,0.1000000000000004,10.50000000000004,0.07000000000000028,339.00000000000125,339.00000000000125,0.0,14.27806556971995,33.70000000000014,25.6000000000001,4.000000000000015,2.0000000000000075,66.23000000000026,0.8000000000000032,0.5900000000000022,16767851.000000061
2020-03-12,1.949816117780898,0.23361105305639118,0.11926963883544253,1.0000000000000042,0.0,0.0,0.0,0.34000000000000147,5573.000000000024,0.10000000000000042,10.500000000000044,0.07000000000000031,339.0000000000014,339.0000000000014,0.0,16.389089555463855,33.70000000000015,25.600000000000108,4.000000000000017,2.0000000000000084,66.23000000000029,0.8000000000000034,0.5900000000000025,16767851.000000069
2020-03-13,2.3437292505851928,0.4024384126106527,0.16677899060040255,1.0000000000000044,0.0,0.0,0.0,0.3400000000000016,5573.0000000000255,0.10000000000000045,10.500000000000048,0.07000000000000034,339.0000000000016,339.0000000000016,0.0,18.64393998495604,33.70000000000016,25.600000000000115,4.000000000000018,2.000000000000009,66.2300000000003,0.8000000000000036,0.5900000000000027,16767851.000000075
2020-03-14,2.977480195857453,0.6394823324056318,0.24438514792767804,1.0000000000000047,0.0,0.0,0.0,0.34000000000000163,5573.000000000027,0.10000000000000048,10.50000000000005,0.07000000000000035,339.0000000000017,339.0000000000017,0.0,20.997910386260703,33.700000000000166,25.600000000000122,4.000000000000019,2.0000000000000093,66.23000000000032,0.8000000000000038,0.5900000000000029,16767851.000000078
2020-03-15,3.907883902549207,0.9341204758717765,0.35942121388693593,1.0000000000000049,0.0,0.0,0.0,0.3400000000000017,5573.000000000027,0.1000000000000005,10.500000000000052,0.07000000000000037,339.00000000000176,339.00000000000176,0.0,23.415909842054976,33.70000000000017,25.60000000000013,4.0000000000000195,2.0000000000000098,66.23000000000033,0.800000000000004,0.590000000000003,16767851.000000082
2020-03-16,5.119875434992071,1.2147791093278815,0.517343221339573,1.000000000000005,0.0,0.0,0.0,0.34000000000000175,5573.000000000027,0.1000000000000005,10.500000000000053,0.07000000000000037,339.0000000000018,339.0000000000018,0.0,25.85127562653158,33.70000000000018,25.60000000000013,4.00000000000002,2.00000000000001,66.23000000000035,0.800000000000004,0.590000000000003,16767851.000000084
2020-03-17,6.651622801195588,1.5338380488672785,0.7224338865929169,1.000000000000005,0.0,0.0,0.0,0.3400000000000018,5573.000000000027,0.1000000000000005,10.500000000000053,0.07000000000000037,339.0000000000018,339.0000000000018,0.0,28.276195892490847,33.70000000000018,25.60000000000013,4.00000000000002,2.00000000000001,66.23000000000035,0.800000000000004,0.590000000000003,16767851.000000086
2020-03-18,8.559951748601947,1.90989695940418,0.976394257866474,1.000000000000005,0.0,0.0,0.0,0.34003781512605225,5573.000000000027,0.1000000000000005,10.500000000000053,0.07000000000000037,339.0000000000018,339.0000000000018,0.0,30.684693137855582,33.70000000000018,25.60000000000013,4.00000000000002,2.00000000000001,66.23000000000035,0.800000000000004,0.590000000000003,16767851.000000086
2020-03-19,10.901298653080444,2.3425229134768633,1.2780873870003755,1.000000000000005,0.0,0.0,0.0,0.34014810924369937,5573.000000000027,0.1000000000000005,10.500000000000053,0.07000000000000037,339.0000000000018,339.0000000000018,0.0,33.08851338926763,33.70000000000018,25.60000000000013,4.00000000000002,2.00000000000001,66.23000000000035,0.800000000000004,0.590000000000003,16767851.000000086
2020-03-20,13.717425185673322,2.8170085393416544,1.6233460832367106,1.000000000000005,0.0,0.0,0.0,0.3403239132191357,5573.000000000027,0.1000000000000005,10.500000000000053,0.07000000000000037,339.0000000000018,339.0000000000018,0.0,35.493691441433654,33.70000000000018,25.60000000000013,4.00000000000002,2.00000000000001,66.23000000000035,0.800000000000004,0.590000000000003,16767851.000000086
2020-03-21,17.02470431265516,3.307940632043416,2.004828728555527,1.000000000000005,0.0,0.0,0.0,0.3405031159098274,5573.000000000027,0.1000000000000005,10.500000000000053,0.07000000000000037,339.0000000000018,339.0000000000018,0.0,37.906319324449576,33.70000000000018,25.60000000000013,4.00000000000002,2.00000000000001,66.23000000000035,0.800000000000004,0.590000000000003,16767851.000000086
2020-03-22,20.806084795577387,3.7818766117184133,2.411911139176831,1.000000000000005,0.0,0.0,0.0,0.34059727875525403,5573.000000000027,0.1000000000000005,10.500000000000053,0.07000000000000037,339.0000000000018,339.0000000000018,0.0,40.33687265429394,33.70000000000018,25.60000000000013,4.00000000000002,2.00000000000001,66.23000000000035,0.800000000000004,0.590000000000003,16767851.000000086
2020-03-23,25.04792170915885,4.2422090101786045,2.8446600835358287,1.000000000000005,0.0,0.0,0.0,0.3404791484652775,5573.000000000027,0.1000000000000005,10.500000000000053,0.07000000000000037,339.0000000000018,339.0000000000018,0.0,42.755389461631964,33.70000000000018,25.60000000000013,4.00000000000002,2.00000000000001,66.23000000000035,0.800000000000004,0.590000000000003,16767851.000000086
2020-03-24,29.757434494538877,4.709791857827886,3.2986348493357824,1.000000000000005,0.0,0.0,0.0,0.3399996328421713,5573.000000000027,0.1000000000000005,10.500000000000053,0.07000000000000037,339.0000000000018,339.0000000000018,0.0,45.12728288484718,33.70000000000018,25.60000000000013,4.00000000000002,2.00000000000001,66.23000000000035,0.800000000000004,0.590000000000003,16767851.000000086
2020-03-25,34.89915214756874,5.141926957365753,3.760628528727765,1.000000000000005,0.0,0.0,0.0,0.33898954363615386,5573.000000000027,0.1000000000000005,10.500000000000053,0.07000000000000037,339.0000000000018,339.0000000000018,0.0,47.41219228645382,33.70000000000018,25.60000000000013,4.00000000000002,2.00000000000001,66.23000000000035,0.800000000000004,0.590000000000003,16767851.000000086
2020-03-26,40.40396979910585,5.50497462978903,4.21268406622909,1.000000000000005,0.0,0.0,0.0,0.3372730239197468,5573.000000000027,0.1000000000000005,10.500000000000053,0.07000000000000037,339.0000000000018,339.0000000000018,0.0,49.5765543635153,33.70000000000018,25.60000000000013,4.00000000000002,2.00000000000001,66.23000000000035,0.800000000000004,0.590000000000003,16767851.000000086
2020-03-27,46.17594115023445,5.772089084817541,4.63510629466213,1.000000000000005,0.0,0.0,0.0,0.3347259379462747,5573.000000000027,0.1000000000000005,10.500000000000053,0.07000000000000037,339.0000000000018,339.0000000000018,0.0,51.59672928265594,33.70000000000018,25.60000000000013,4.00000000000002,2.00000000000001,66.23000000000035,0.800000000000004,0.590000000000003,16767851.000000086
2020-03-28,52.09737279868111,5.9215199487133585,5.008720962108436,1.000000000000005,0.0,0.0,0.0,0.33128443406733415,5573.000000000027,0.1000000000000005,10.500000000000053,0.07000000000000037,339.0000000000018,339.0000000000018,0.0,53.48653484175934,33.70000000000018,25.60000000000013,4.00000000000002,2.00000000000001,66.23000000000035,0.800000000000004,0.590000000000003,16767851.000000086
