date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,median_age,aged_70_older,population,excess_mortality
2020-03-11,2.3197080602011004,0.27025716077006484,0.17873214834977436,1.0000000000000038,0.0,0.0,6.6350672713013665,2.8600000000000105,45.700000000000166,12.540000000000045,367512.00000000146,10.231698352144527
2020-03-12,2.506587767839905,0.3380933675165078,0.2116992972377434,1.0000000000000042,0.0,0.0,7.169930382370671,2.860000000000012,45.70000000000019,12.540000000000049,367512.00000000163,10.30964999101122
2020-03-13,2.8046337799846524,0.4415467547905816,0.25610689051072566,1.0000000000000044,0.0,0.0,8.022922253487778,2.8600000000000128,45.7000000000002,12.540000000000052,367512.00000000175,10.39080225570187
2020-03-14,3.2488373259387213,0.5774270344187293,0.3156231543083843,1.0000000000000047,0.0,0.0,9.2941713281249,2.860000000000013,45.70000000000021,12.540000000000056,367512.0000000018,10.473806079300658
2020-03-15,3.867057858707442,0.7386940637907778,0.3931155557765379,1.0000000000000049,0.0,0.0,11.063396595641208,2.8600000000000136,45.700000000000216,12.54000000000006,367512.00000000186,10.556814845513001
2020-03-16,4.606369670695103,0.8448253312949272,0.48437819882981875,1.000000000000005,0.0,0.0,13.17915313516015,2.860000000000014,45.70000000000022,12.54000000000006,367512.0000000019,10.637257540774344
2020-03-17,5.490184492840342,0.9728723921363555,0.5917051100144144,1.000000000000005,0.0,0.0,15.708433855895029,2.8600000000000145,45.70000000000023,12.54000000000006,367512.000000002,10.71306753225452
2020-03-18,6.5797747626490155,1.1615547465909566,0.720389045826908,1.000000000000005,0.0,0.0,18.826565857338245,2.860000000000015,45.70000000000024,12.54000000000006,367512.00000000204,10.77684761220688
2020-03-19,7.951718596227242,1.4271453747460645,0.8767937236074161,1.000000000000005,0.0006140917905623792,0.0,22.752670514529264,2.860000000000015,45.70000000000024,12.54000000000006,367512.00000000204,10.827268264100232
2020-03-20,9.680983517306199,1.7690823665475937,1.0669079947094429,1.000000000000005,0.0030462184873949706,0.0,27.701258542005604,2.860000000000015,45.70000000000024,12.54000000000006,367512.00000000204,10.867293762023845
