date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,total_deaths_per_million,reproduction_rate,icu_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_70_older,median_age,aged_65_older,extreme_poverty,male_smokers,hospital_beds_per_thousand,population,excess_mortality_cumulative,excess_mortality
2020-11-03,128127.05255438792,3234.9477264303155,2848.8620527939597,2465.401839680344,32.85866279132298,27.407295418891884,3473670.7865578607,236.67196157170918,1.294684687444175,281.1247724661301,33613.66724736511,32120.068166666715,0.1063878152836171,9.599310042898413,11556.000000000064,0.1100000000000006,71.53844096467347,14.920000000000078,46.200000000000244,21.500000000000107,0.5000000000000026,30.000000000000156,3.3900000000000174,10270857.000000052,5.780150637463375,17.78267872803973
2020-11-04,131499.102586444,3372.050032056097,2978.203387042145,2500.332391395685,34.930551715341025,29.242331292675747,3507777.2772971983,240.02536565195612,1.2872887256671666,290.79784567151137,34106.490739337714,32614.937550339448,0.1093747334730556,9.340941808191921,11556.000000000064,0.1100000000000006,71.56464100146255,14.920000000000078,46.200000000000244,21.500000000000107,0.5000000000000026,30.000000000000156,3.3900000000000174,10270857.000000052,5.82721291807353,18.62139728594118
2020-11-05,135019.1079029877,3520.005316543694,3112.374541251232,2537.6687667206525,37.33637532496737,31.204387448175254,3542357.1537873833,243.60967776191507,1.2795101770881272,300.4229479252565,34579.8764901853,33107.74595525625,0.11231304751914223,9.101233182259014,11556.000000000064,0.1100000000000006,71.395265334161,14.920000000000078,46.200000000000244,21.500000000000107,0.5000000000000026,30.000000000000156,3.3900000000000174,10270857.000000052,5.876455606922503,19.447345060217295
2020-11-06,138693.18844178526,3674.0805387975624,3250.0759586210406,2577.6902628232983,40.02149610264608,33.29435878264087,3577389.510460129,247.45171081012444,1.2713630788406607,309.93700732403335,35032.35667274568,33594.719162628404,0.115198748147437,8.877290432912758,11556.000000000064,0.1100000000000006,71.04632699027825,14.920000000000078,46.200000000000244,21.500000000000107,0.5000000000000026,30.000000000000156,3.3900000000000174,10270857.000000052,5.927716255011814,20.247964354309737
2020-11-07,142519.69247872118,3826.504036935928,3389.6542837686297,2620.5522963417825,42.86203351848431,35.506407904046,3612859.0456440677,251.5663886344198,1.2628490706043176,319.26592614590203,35469.53518393875,34074.192959560234,0.11802882840210992,8.667568665020715,11556.000000000064,0.1100000000000006,70.54842817742113,14.920000000000078,46.200000000000244,21.500000000000107,0.5000000000000026,30.000000000000156,3.3900000000000174,10270857.000000052,5.980810300502567,21.012172014462596
2020-11-08,146486.91766220852,3967.225183487343,3529.1682331884685,2666.234471125119,45.68217478333648,37.82636927645085,3648759.2453513495,255.9517609328288,1.2539645340456769,328.4361769946888,35900.19970728185,34544.67556970255,0.12081363810830531,8.469412762501811,11556.000000000064,0.1100000000000006,69.9311611459942,14.920000000000078,46.200000000000244,21.500000000000107,0.5000000000000026,30.000000000000156,3.3900000000000174,10270857.000000052,6.035542599326513,21.731100083891583
2020-11-09,150565.6715368958,4078.753874687265,3667.6500611227725,2714.371797105963,48.13732598084439,40.26279602650433,3685083.3267736984,260.5728106802296,1.244705947399159,337.4862310007036,36324.08142234896,35003.79198755492,0.12357564551723434,8.28045970115885,11556.000000000064,0.1100000000000006,69.22364235270841,14.920000000000078,46.200000000000244,21.500000000000107,0.5000000000000026,30.000000000000156,3.3900000000000174,10270857.000000052,6.091722075545315,22.398853989874116
2020-11-10,154756.63973864494,4190.968201749133,3804.224277096125,2765.067115444215,50.69531833825134,42.81103076260618,3721823.3238456314,265.4394113391965,1.2350365710858933,346.4650934185954,36739.997071933074,35450.41818265073,0.12633913556003326,8.097869016334565,11556.000000000064,0.1100000000000006,68.46073031010349,14.920000000000078,46.200000000000244,21.500000000000107,0.5000000000000026,30.000000000000156,3.3900000000000174,10270857.000000052,6.149220128087567,23.014189642835024
2020-11-11,159061.64345944615,4305.003720801191,3937.503263736773,2818.4207470550464,53.35363161083144,45.443077370597244,3758958.723637299,270.5611876252769,1.2249328904992955,355.4036681570305,37135.399791668024,35883.126209709495,0.1291131105581958,7.919680042793921,11556.000000000064,0.1100000000000006,67.68069317537021,14.920000000000078,46.200000000000244,21.500000000000107,0.5000000000000026,30.000000000000156,3.3900000000000174,10270857.000000052,6.207898589463043,23.576781210794692
2020-11-12,163480.79851249047,4419.155053044338,4065.953141403103,2874.4689054755163,56.04815842047015,48.116391415149046,3796465.5739012184,275.9416064591003,1.2143447874607693,364.30498124059176,37506.85026391914,36301.271208671955,0.13188008178742533,7.7465053456054696,11556.000000000064,0.1100000000000006,66.92345944196731,14.920000000000078,46.200000000000244,21.500000000000107,0.5000000000000026,30.000000000000156,3.3900000000000174,10270857.000000052,6.2675874151788316,24.086310628753548
