date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,hospital_beds_per_thousand,population
2022-05-04,63434.50419023847,7.582981620693836,7.096782022248309,1227.9783576830823,0.009586490325981238,0.02492399008508567,7.670087683407321,1.411597455068721,2771.000000000011,0.3400000000000003,3.0000000000000453,58.68389804478977,280.880029348338,0.010001269500618186,25.878648361095284,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-05,63442.636998528964,8.13280829050423,7.298948507636469,1227.9837682623133,0.007189867744485929,0.018692992563814254,7.684495072741114,1.4360744649279165,2771.000000000012,0.3400000000000007,3.000000000000038,58.694171525096706,285.4601189731156,0.010000952125463654,25.877868462159572,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-06,63451.59780384187,8.960805312900812,7.60811231802536,1227.9878261967367,0.005392400808364447,0.014019744422860692,7.699046643922362,1.4598158680883118,2771.0000000000127,0.34000000000000097,3.000000000000033,58.704396096957716,289.55202200294633,0.010000714094097755,25.877029174674014,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-07,63461.640806016585,10.043002174720877,8.050580683250772,1227.990869647554,0.004044300606273335,0.010514808317145519,7.713609643575266,1.4824404401741869,2771.0000000000136,0.3400000000000012,3.0000000000000293,58.714529619583274,292.8279466896698,0.01000053557057333,25.876105753015885,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-08,63472.96635111886,11.325545102275328,8.645615376691486,1227.9931522356674,0.0030332254547050016,0.007886106237859139,7.727992208210132,1.5035544736341975,2771.0000000000136,0.34000000000000136,3.0000000000000266,58.724532776604605,294.9247900107886,0.010000401677930012,25.875090950185353,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-09,63485.295157650806,12.328806531942456,9.37820797725037,1227.9910826641471,0.002274919091028751,0.005914579678394354,7.741985498848532,1.5227702508300458,2771.0000000000136,0.34000000000000147,3.000000000000024,58.734367400349925,295.48764551390957,0.010000301258447523,25.873990643149718,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-10,63498.78827192274,13.493114271936827,10.263735491664363,1227.985118720801,0.0017061893182715635,0.004435934758795766,7.755395071130591,1.5397043849551157,2771.0000000000136,0.3400000000000016,3.000000000000022,58.744001956209516,294.24099270039704,0.010000225943835657,25.87282055185166,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-11,63513.8065400766,15.018268153855685,11.326136137171044,1227.9782701976806,0.0012796419887036725,0.0033269510690968245,7.76806417203389,1.5540082499315946,2771.0000000000136,0.34000000000000163,3.0000000000000213,58.753415194186495,291.0351078090732,0.010000169457876757,25.87160377846538,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-12,63530.779371767305,16.97283169069884,12.589280674306876,1227.974976080712,0.002802006863214892,0.0024952133018226186,7.779890981551054,1.5654098719994414,2771.0000000000136,0.3400000000000017,3.0000000000000204,58.76259842583665,285.87136964154996,0.010000127093407581,25.87036896183873,26.300000000000146,1.600000000000008,808727.0000000042
2022-05-13,63550.10631292382,19.326941156518025,14.070500906505877,1227.980262441919,0.009858454080830727,0.001871409976366964,7.790864722450124,1.573677798311154,2771.0000000000136,0.34000000000000175,3.0000000000000195,58.771567574571954,278.9165686015571,0.0100000953200557,25.869148893324784,26.300000000000146,1.600000000000008,808727.0000000042
