date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_65_older,gdp_per_capita,extreme_poverty,female_smokers,population
2020-03-11,2.0000000000000075,0.0,0.0,57.00000000000022,0.0,0.0,0.08000000000000031,1.250000000000005,68.00000000000027,0.0,2.961259770940828,15.100000000000055,2.55000000000001,926.0000000000035,44.50000000000017,0.1000000000000004,26207982.000000104
2020-03-12,2.0000000000000084,0.0012281835811247584,0.0,57.00000000000024,0.0,0.0,0.08000000000000035,1.2500000000000056,68.0000000000003,0.0,4.340759718066902,15.100000000000062,2.5500000000000114,926.0000000000039,44.500000000000185,0.10000000000000042,26207982.000000115
2020-03-13,2.000000000000009,0.006092436974789941,0.0,57.00000000000026,0.0,0.0,0.08000000000000038,1.250000000000006,68.00000000000033,0.0,6.065183718737652,15.100000000000065,2.5500000000000123,926.0000000000042,44.5000000000002,0.10000000000000045,26207982.000000123
2020-03-14,2.0000000000000093,0.014491758241758312,0.0013450226244343922,57.00000000000028,0.0,0.0,0.08000000000000039,1.2500000000000062,68.00000000000034,0.0,8.14365701982249,15.100000000000069,2.5500000000000127,926.0000000000044,44.50000000000021,0.10000000000000048,26207982.00000013
2020-03-15,2.0000000000000098,0.026027189722042796,0.0045517533936651755,57.000000000000284,0.0,0.0,0.0800000000000004,1.2500000000000064,68.00000000000036,0.0,10.566860896735022,15.100000000000072,2.550000000000013,926.0000000000045,44.50000000000021,0.1000000000000005,26207982.000000134
2020-03-16,1.9773109243697577,0.019520392291532098,0.007063459518422776,57.00000000000029,0.0,0.0,0.07910504201680713,1.2500000000000067,68.00000000000037,0.0,13.29587902743171,15.100000000000076,2.550000000000013,926.0000000000047,44.50000000000021,0.1000000000000005,26207982.000000138
2020-03-17,1.9338235294117745,0.014640294218649073,0.009334116940045269,57.0000000000003,0.0,0.0,0.07738970588235333,1.2500000000000067,68.00000000000037,0.0,16.2822221341808,15.100000000000076,2.550000000000013,926.0000000000048,44.50000000000021,0.1000000000000005,26207982.00000014
2020-03-18,1.8869545895281286,0.02726981342416783,0.013660413173682964,57.000000000000306,0.0,0.0,0.07554098658694286,1.2500000000000067,68.00000000000037,0.0,19.47659387923939,15.100000000000076,2.550000000000013,926.0000000000049,44.50000000000021,0.1000000000000005,26207982.00000014
2020-03-19,1.8628565368455168,0.06599211443140986,0.023305749440701823,57.000000000000306,0.0,0.0,0.07459045228668429,1.2500000000000067,68.00000000000037,0.0,22.824603295661003,15.100000000000076,2.550000000000013,926.0000000000049,44.50000000000021,0.1000000000000005,26207982.00000014
2020-03-20,1.8913246909340755,0.1333337755456005,0.04184324226798607,57.000000000000306,0.0,0.0,0.07571336280906632,1.2500000000000067,68.00000000000037,0.0,26.27235292423449,15.100000000000076,2.550000000000013,926.0000000000049,44.50000000000021,0.1000000000000005,26207982.00000014
2020-03-21,2.0019776810964873,0.22795766844006726,0.07266297468741507,57.000000000000306,0.0,0.0,0.08007800853213923,1.2500000000000067,68.00000000000037,0.0,29.780319638230868,15.100000000000076,2.550000000000013,926.0000000000049,44.50000000000021,0.1000000000000005,26207982.00000014
2020-03-22,2.2213927630848125,0.34562888481421433,0.11860243463547113,57.000000000000306,0.0,0.0,0.08873271454390096,1.2500000000000067,68.00000000000037,0.0,33.30323778943598,15.100000000000076,2.550000000000013,926.0000000000049,44.50000000000021,0.1000000000000005,26207982.00000014
2020-03-23,2.4146547856297085,0.3261576687819602,0.162950856357987,57.000000000000306,0.0,0.0,0.09634462317360136,1.2500000000000067,68.00000000000037,0.0,36.78381538150821,15.100000000000076,2.550000000000013,926.0000000000049,44.50000000000021,0.1000000000000005,26207982.00000014
2020-03-24,2.6093750581944892,0.3330474694274528,0.20895522371645442,57.000000000000306,0.0,0.0,0.10400378089022055,1.2500252100840403,68.00000000000037,0.0,40.16202540167745,15.100000000000076,2.550000000000013,926.0000000000049,44.50000000000021,0.1000000000000005,26207982.00000014
2020-03-25,2.932112095197261,0.46378043077130143,0.27169702541500773,57.000000000000306,0.0,0.0,0.11671081886094288,1.250098739495805,68.00000000000037,0.0,43.38207431951931,15.100000000000076,2.550000000000013,926.0000000000049,44.50000000000021,0.1000000000000005,26207982.00000014
2020-03-26,3.5606871741775246,0.7688437264398227,0.37236536763914924,57.000000000000306,0.03500323206205562,0.0,0.1414927133700125,1.2502243455074404,68.00000000000037,0.0,46.39762846103581,15.100000000000076,2.550000000000013,926.0000000000049,44.50000000000021,0.1000000000000005,26207982.00000014
2020-03-27,4.68842100442113,1.2634783022636134,0.533961808534793,57.000000000000306,0.17363445378151332,0.0,0.18598960613287496,1.2503893321751844,68.00000000000037,0.0,49.17573378921585,15.100000000000076,2.550000000000013,926.0000000000049,44.50000000000021,0.1000000000000005,26207982.00000014
2020-03-28,6.497311228428984,1.9364904332264807,0.7780789840675477,57.000000000000306,0.41301510989011186,0.03775339366515845,0.2573949195317835,1.2505468472244734,68.00000000000037,0.0,51.706764142816944,15.100000000000076,2.550000000000013,926.0000000000049,44.50000000000021,0.1000000000000005,26207982.00000014
2020-03-29,9.137915548018592,2.75686039117714,1.1224845774171794,57.000000000000306,0.7417749070782198,0.12776300904977425,0.36166044304250367,1.2506200578488675,68.00000000000037,0.0,53.96818186600096,15.100000000000076,2.550000000000013,926.0000000000049,44.50000000000021,0.1000000000000005,26207982.00000014
2020-03-30,12.251659026883395,3.216093903596177,1.5351790439226165,56.99873949579863,1.1409142443034967,0.2890168269230783,0.48462283712997195,1.2504744163666137,68.00000000000037,0.0,55.95856723337282,15.100000000000076,2.550000000000013,926.0000000000049,44.50000000000021,0.1000000000000005,26207982.00000014
