date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_vaccinations_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,male_smokers,population
2020-11-27,7321.80937443225,25.859921946428702,29.07228805127494,160.03859936215164,0.6205530676045696,0.7148358424371313,0.03000000000000016,0.8121258548249608,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98225857910055,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-11-28,7346.197754806098,24.388380373848705,28.035902528436846,160.60276981896365,0.564170456812025,0.683554483637804,0.03000000000000016,0.8123292004270604,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.9816939343255,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-11-29,7369.092999362502,22.895244556404652,26.898163321667035,161.10433980766186,0.5015699886982241,0.6464916545835574,0.03000000000000016,0.813311703164511,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98127045074423,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-11-30,7390.602070142442,21.509070779940878,25.66207788879394,161.54115078334843,0.43681097568656435,0.6022816368652706,0.03000000000000016,0.8152224651561897,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98095283805827,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-01,7410.660392296564,20.058322154121804,24.331778196815264,161.90844873715602,0.3672979538075867,0.5506129729624635,0.03000000000000016,0.8181948062039244,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98071462854381,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-02,7429.247168818425,18.586776521861573,22.930383421367132,162.2046073996675,0.2961586625114755,0.49243742849366445,0.03000000000000016,0.8223211208132548,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98053597140796,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-03,7446.401908611244,17.154739792818305,21.49287596292259,162.43163913087562,0.22703173120810566,0.42958469709746266,0.03000000000000016,0.8276230319480159,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98040197855607,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-04,7462.236822537951,15.83491392670812,20.06075845894051,162.59557808765274,0.17027379840607926,0.3644734290932976,0.03000000000000016,0.8340789417050338,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98030148391715,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-05,7476.946120458742,14.70929792079064,18.678046542977217,162.70676759935324,0.12770534880455944,0.29989450297705156,0.03000000000000016,0.8416232011074773,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98022611293796,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-06,7490.812984009226,13.866863550483105,17.388263414020262,162.78007569951515,0.09577901160341959,0.23884847904274348,0.03000000000000016,0.8501624557756642,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98016958470356,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-07,7504.214796184047,13.401812174820975,16.23001769626182,162.8337962704349,0.07183425870256469,0.18424721901056443,0.03000000000000016,0.8595318289035011,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98012718852777,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-08,7517.236404183942,13.021607999894028,15.224648372390305,162.87261611038943,0.053875694026923514,0.13818541425792333,0.03000000000000016,0.8695262149226174,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98009539139593,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-09,7529.94435226531,12.707948081368501,14.384634307734892,162.9009391351517,0.040406770520192634,0.1036390606934425,0.03000000000000016,0.879939586854537,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98007154354704,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-10,7542.393396713537,12.449044448227426,13.712161897575587,162.92279549551398,0.030919169680706855,0.07772929552008187,0.03000000000000016,0.8905510055901606,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98005365766038,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-11,7554.631392072979,12.237995359441431,13.198050802625794,162.94177341543013,0.02577502690500333,0.0582969716400614,0.03000000000000016,0.9011563052592022,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98004024324538,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-12,7566.70295581945,12.071563746471845,12.820948250644216,162.96096807062258,0.024292485434085423,0.043722728730046054,0.03000000000000016,0.9115735961066525,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98003018243413,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-13,7578.652216864599,11.949261045148017,12.546724762643812,162.9829432475373,0.025798549595926097,0.034502453787353546,0.03000000000000016,0.9216533709649292,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98002263682571,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-14,7590.567734077032,11.915517212432457,12.334134392926638,163.0034000665517,0.023324348525322093,0.028307674212525512,0.03000000000000016,0.9312283928002981,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98001697761939,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-15,7602.46508627207,11.897352195038644,12.173290678340761,163.02428566723785,0.023036247819330953,0.024628784101540235,0.03000000000000016,0.9401979591121836,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98001273321464,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-16,7614.325737780986,11.860651508916362,12.052051072750416,163.05126208494704,0.028589403059068402,0.023556268102011696,0.03000000000000016,0.9484812101227622,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98000954991107,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-17,7626.111061577509,11.785323796522452,11.957086785493662,163.0918079082483,0.041755562313693775,0.025515940572307126,0.03000000000000016,0.9560299444375805,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.9800071624334,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-18,7637.7728566227015,11.661795045194053,11.874685160225628,163.1537945220074,0.06289391801839914,0.031070374950885216,0.03000000000000016,0.9628613400347155,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98000537182514,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-19,7649.26123587363,11.48837925092852,11.791351459050944,163.24441828969583,0.09130424588290108,0.040769975783299744,0.03000000000000016,0.9690330444571951,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98000402886896,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-20,7660.530542289848,11.269306416218384,11.694260200623066,163.36939969012278,0.1254917590728096,0.05504128274245231,0.03000000000000016,0.9746107561935765,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98000302165181,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-21,7671.497147182814,10.966604892965353,11.55881215111373,163.53112216578234,0.16210524464397408,0.07480908099672305,0.03000000000000016,0.9796906140100836,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98000226623896,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-22,7682.139941835085,10.642794652270894,11.379769100407064,163.73328021515792,0.20244512611387955,0.10030913783222255,0.03000000000000016,0.9843907788656766,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98000169967932,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-23,7692.484222698238,10.344280863152763,11.163390658530911,163.97832150590648,0.24525659830228155,0.1310823705040961,0.03000000000000016,0.9888451203483539,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98000127475959,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-24,7702.589605291305,10.105382593065944,10.923704920207182,164.2667889639485,0.2886289387073194,0.1661469427132373,0.03000000000000016,0.9931490309529281,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98000095606979,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-25,7712.540959624598,9.95135433329333,10.679711463264644,164.59682734028547,0.3301594868359201,0.20412733696382307,0.03000000000000016,0.9973776103187698,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98000071705243,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
2020-12-26,7722.441611767586,9.900652142988756,10.453283597448497,164.96381313611283,0.3670766287016014,0.24335115883146513,0.03000000000000016,1.0015729621023626,437.00000000000244,0.18000000000000094,5.500000000000031,110.00000000000054,0.020000000000000108,68.98000053778942,39.50000000000021,34.300000000000175,9.000000000000046,20.400000000000105,409989.0000000022
