date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,female_smokers,male_smokers,hospital_beds_per_thousand,population,excess_mortality_cumulative,excess_mortality
2020-03-11,4027.040811967856,663.6088646606308,462.6496306491023,136.59248811295348,23.80808551816295,14.895247407086682,0.0,2.2892656382257,10418.00000000004,0.18000000000000066,5.50000000000002,0.11000000000000043,0.060000000000000234,3000.0000000000114,0.0,39.281138526131805,32.40000000000012,19082.62000000007,0.2000000000000008,270.3100000000011,0.8000000000000032,21.100000000000083,1.5000000000000062,88550568.00000034,1.579088740777927,17.905956888865674
2020-03-12,4650.627890013115,710.2624180464362,515.0383236066076,162.29577135365463,28.208048504181292,17.671613768127873,0.0,2.1483051310625103,10418.000000000044,0.18000000000000077,5.500000000000023,0.11000000000000049,0.06000000000000026,3000.0000000000127,0.0,40.616528783058875,32.400000000000134,19082.620000000083,0.20000000000000084,270.3100000000012,0.8000000000000034,21.100000000000094,1.5000000000000067,88550568.00000037,1.6470205217853133,20.349944099287974
2020-03-13,5347.823794045076,759.9757243299157,569.3921694987512,194.27392935557748,33.78583599028859,21.04097212312245,0.0,2.009612978872192,10418.000000000047,0.18000000000000083,5.500000000000026,0.11000000000000051,0.060000000000000275,3000.0000000000136,0.0,41.953849399188215,32.40000000000015,19082.62000000009,0.2000000000000009,270.3100000000013,0.8000000000000036,21.1000000000001,1.500000000000007,88550568.0000004,1.7460124363108227,23.103935634720894
2020-03-14,6113.701216574543,808.6113666152469,624.4474133231595,233.32569588546187,40.28037569989171,25.035567327636006,0.0,1.878277122648005,10418.000000000051,0.18000000000000088,5.5000000000000275,0.11000000000000054,0.06000000000000029,3000.000000000014,0.0,43.26823999056769,32.400000000000155,19082.620000000094,0.20000000000000095,270.31000000000137,0.8000000000000038,21.100000000000104,1.5000000000000075,88550568.00000042,1.8794338585841222,26.121520568962502
2020-03-15,6936.66369523635,851.2580886330591,678.6091380466694,279.79336693672144,47.2818881097605,29.643532961790413,0.0,1.7599940410810282,10418.000000000053,0.18000000000000094,5.500000000000028,0.11000000000000057,0.0600000000000003,3000.0000000000146,0.0,44.52700998646172,32.40000000000016,19082.620000000097,0.200000000000001,270.3100000000014,0.800000000000004,21.100000000000108,1.500000000000008,88550568.00000043,2.0488286260001507,29.32056059478916
2020-03-16,7787.898805687135,872.4568179292236,729.0448284865223,332.82734582309763,53.64464168025196,34.86333265605522,0.0,1.6607725185289373,10418.000000000055,0.18000000000000094,5.500000000000029,0.1100000000000006,0.06000000000000031,3000.000000000015,0.0,45.69058683696982,32.40000000000016,19082.620000000097,0.200000000000001,270.3100000000014,0.800000000000004,21.10000000000011,1.500000000000008,88550568.00000045,2.2536182374380616,32.5835002780247
2020-03-17,8665.620645958967,893.6381208806617,775.1486643513183,392.88901292259226,60.519664194901424,40.70767062972734,0.0,1.580971599627151,10418.000000000055,0.18000000000000094,5.50000000000003,0.1100000000000006,0.06000000000000032,3000.0000000000155,0.0,46.75807845998341,32.40000000000016,19082.620000000097,0.200000000000001,270.3100000000014,0.800000000000004,21.100000000000115,1.500000000000008,88550568.00000046,2.491735425238953,35.78660239939494
2020-03-18,9574.861719116947,921.1782836146025,817.2595278368578,460.5600208425592,68.01450574152203,47.127519779018286,0.0,1.5194979304895957,10418.000000000055,0.18000000000000094,5.500000000000031,0.1100000000000006,0.06000000000000032,3000.000000000016,0.0,47.739588256752334,32.40000000000016,19082.620000000097,0.200000000000001,270.3100000000014,0.800000000000004,21.100000000000115,1.500000000000008,88550568.00000046,2.760181174617649,38.79537436857388
2020-03-19,10524.064550488343,958.1557392138623,856.3890216048587,536.2960014108473,75.99360393445453,54.02600635010093,0.0,1.4744763890436692,10418.000000000055,0.18000000000000094,5.500000000000031,0.1100000000000006,0.06000000000000032,3000.000000000016,0.0,48.65645913050873,32.40000000000016,19082.620000000097,0.200000000000001,270.3100000000014,0.800000000000004,21.100000000000115,1.500000000000008,88550568.00000046,3.0547931669545614,41.47744868205427
2020-03-20,11522.525400584442,1005.1755309779485,894.017482266994,620.2418459191581,84.13906203293541,61.26882344389449,0.0,1.4440518619185003,10418.000000000055,0.18000000000000094,5.500000000000031,0.1100000000000006,0.06000000000000032,3000.000000000016,0.0,49.54612036598117,32.40000000000016,19082.620000000097,0.200000000000001,270.3100000000014,0.800000000000004,21.100000000000115,1.500000000000008,88550568.00000046,3.3702817345750553,43.713545325835724
