date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,people_vaccinated_per_hundred,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,life_expectancy,population
2020-11-09,497.0489315894854,0.3427284703879372,0.4977950566256448,1.000000000000005,0.0,0.0,9197.96952328653,7.520000000000037,83.00000000000043,0.010000000000000054,27.780000000000154,80.67000000000044,53117.00000000028
2020-11-10,497.353634697286,0.30470310780064935,0.4449697572397576,1.000000000000005,0.0,0.0,9203.608294856636,7.520000000000037,83.00000000000043,0.010000000000000054,27.780000000000154,80.67000000000044,53117.00000000028
2020-11-11,497.62404955237696,0.27041485509095264,0.3957888887119776,1.000000000000005,0.0,0.0,9208.612515098534,7.520000000000037,83.00000000000043,0.010000000000000054,27.780000000000154,80.67000000000044,53117.00000000028
2020-11-12,497.86564543836226,0.2415958859853123,0.3514830692489156,1.000000000000005,0.0,0.0,9213.083395050482,7.520000000000037,83.00000000000043,0.010000000000000054,27.780000000000154,80.67000000000044,53117.00000000028
2020-11-13,498.0853523722436,0.21970693388135676,0.3130487919172946,1.000000000000005,0.0,0.0,9217.149178964022,7.520000000000037,83.00000000000043,0.010000000000000054,27.780000000000154,80.67000000000044,53117.00000000028
2020-11-14,498.29135752417375,0.20600515193008695,0.2810984879263358,1.000000000000005,0.0,0.0,9220.961377274096,7.520000000000037,83.00000000000043,0.010000000000000054,27.780000000000154,80.67000000000044,53117.00000000028
2020-11-15,498.49295253227126,0.20159500809753314,0.25574807408954847,1.000000000000005,0.0,0.0,9224.691941326626,7.520000000000037,83.00000000000043,0.010000000000000054,27.780000000000154,80.67000000000044,53117.00000000028
2020-11-16,498.6991584845305,0.20620595225931693,0.23672168905132449,1.000000000000005,0.0,0.0,9228.507825096469,7.520000000000037,83.00000000000043,0.010000000000000054,27.780000000000154,80.67000000000044,53117.00000000028
2020-11-17,498.91384850140764,0.21469001687709954,0.22432859710523567,1.000000000000005,0.0,0.0,9232.480703179184,7.520000000000037,83.00000000000043,0.010000000000000054,27.780000000000154,80.67000000000044,53117.00000000028
2020-11-18,499.14033143100147,0.2264829295938302,0.21849531660720756,1.000000000000005,0.0,0.0,9236.671803240897,7.520000000000037,83.00000000000043,0.010000000000000054,27.780000000000154,80.67000000000044,53117.00000000028
2020-11-19,499.3810081078349,0.2406766768333821,0.21877080872237428,1.000000000000005,0.0,0.0,9241.125547162424,7.520000000000037,83.00000000000043,0.010000000000000054,27.780000000000154,80.67000000000044,53117.00000000028
