date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_vaccinations_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_70_older,extreme_poverty,female_smokers,population
2022-03-16,1161747.3073174993,84.74134450307321,111.4804367027136,16021.867428793135,3.9690988272257535,5.226957895149738,144.23660784246636,0.49220558399605374,7381.395674418773,8206.884343865651,0.01044653058570544,110.6737526777384,66.38105763002767,51870.004613265664,21687.930959484198,0.0003060579850895646,40.84219145967516,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-17,1161826.4653943963,79.15807689702058,101.44668450828934,16025.496321433271,3.6288926401348975,4.767191433644144,144.28780982202744,0.5192761983396397,7134.76970749476,7973.113694227626,0.010334897939279095,112.35468587223414,66.38533507982321,51870.00345994932,21052.46311941925,0.00022954348881717345,40.8382408798243,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-18,1161900.8779404336,74.41254603734211,93.1232221724259,16028.798307655456,3.3019862221826246,4.355610446597042,144.33708795525976,0.5481769289745109,6894.8956750942525,7765.964246107057,0.010251173454459335,113.53437413268256,66.38946348844522,51870.00259496206,20415.40016761876,0.0001721576166128801,40.83464930886634,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-19,1161971.4975147967,70.6195743631715,86.35344442505318,16031.79911858906,3.0008109336052975,3.988954764488833,144.3843525580047,0.5786066786313365,6662.269901925093,7582.885207851149,0.010188380090844516,114.22324827889153,66.39342473564326,51870.001946221615,19763.71948576581,0.00012911821245966006,40.83130663258711,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-20,1162039.4285659634,67.93105116669028,80.88399395227414,16034.541081023266,2.7419624342052686,3.6604830416924203,144.42953284125744,0.61025074265159,6436.248608570524,7421.446226508928,0.010141285068133402,114.43792909863228,66.39720373272802,51870.00145966628,19088.822048067108,9.683865934474505e-05,40.82813511341905,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-21,1162105.772458734,66.34389277062219,76.3291934280066,16037.101366682145,2.560285658879552,3.359077698205324,144.4725912229647,0.6428034416040781,6214.406200286983,7279.812223210729,0.010105963801100066,114.19967985564858,66.40079027761425,51870.00109474978,18387.97204671616,7.262899450855878e-05,40.825090669259566,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-22,1162170.9609697792,65.18851104532291,72.62770470254996,16039.488646213958,2.38727953181319,3.083510439135573,144.51354623037696,0.6758941132004741,5999.262128398826,7156.195641228354,0.010079472850825064,113.53583940046316,66.4041803831409,51870.00082106241,17666.1806995491,5.447174588141909e-05,40.82217756884842,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-23,1162235.4407499605,64.4797801812127,69.73294077642774,16041.70239286993,2.2137466559704313,2.8327210646458005,144.552464582579,0.7090724918169694,5798.442237055428,7049.360725749975,0.010059604638118813,112.50657412048326,66.40737544425768,51870.000615796875,16931.377589949498,4.085380941106432e-05,40.819412750004176,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-24,1162299.642133254,64.20138329363425,67.5960554530384,16043.73954513728,2.0371522673495126,2.6053585101844177,144.5894522360765,0.7418848472079125,5612.639875108967,6957.753495185148,0.010044703478589124,111.17716556127404,66.41038233538234,51870.000461847725,16192.886392203578,3.064035705829824e-05,40.816799058301505,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-25,1162363.9557434458,64.31361019162203,66.15318557814346,16045.599503714004,1.8599585767241598,2.399436626659001,144.6246360419574,0.7738215216373512,5442.767943662049,6879.788489197532,0.010033527608941857,109.60206938750383,66.41321199541062,51870.00034638587,15460.940602168215,2.2980267793723682e-05,40.8143271541011,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-26,1162428.71494915,64.75920570447937,65.31588271948358,16047.287879239953,1.6883755259497149,2.212076015566328,144.65814806631573,0.8043965226113372,5290.036635671559,6813.326337809599,0.010025145706706408,107.82422818801004,66.4158780201815,51870.00025978947,14746.18689958998,1.7235200845292763e-05,40.81199892084414,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-27,1162494.1827050769,65.46775592671128,64.9639369264906,16048.819303095144,1.5314238551927337,2.039310405339906,144.69012161270345,0.8331795832965779,5154.489617186772,6755.418961502005,0.01001885928002982,105.85589253725848,66.4183964022491,51870.00019484218,14058.385665965936,1.2926400633969572e-05,40.80981981118908,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-28,1162560.5278174323,66.34511235550544,64.96413320553386,16050.225838019505,1.4065349243615848,1.874693534450956,144.72068488937734,0.8597431231543998,5035.072501351624,6702.9052198336885,0.010014144460022379,103.72155902802481,66.42078482152002,51870.00014613171,13405.421828659988,9.694800475477179e-06,40.807793106614234,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-29,1162627.9082418736,67.38042444116053,65.2773573378932,16051.50834102273,1.2825030032259408,1.7171059620857947,144.749952910143,0.8837008459210693,4931.933266608424,6652.622483071786,0.010010608345016799,101.45680760327473,66.42306159903956,51870.000109598855,12791.68636179882,7.271100356607884e-06,40.80591561211975,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-30,1162696.4170734559,68.50883158232492,65.85309557290934,16052.665919632616,1.15757860988552,1.566483802527502,144.77801807039614,0.9047294159534084,4850.738245851606,6601.855550086654,0.010007956258762614,99.09688495261777,66.42524439813972,51870.000082199214,12217.97643909315,5.453325267455913e-06,40.804174427254054,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-03-31,1162766.0735517,69.65647824395128,66.63260771717401,16053.699116518279,1.0331968856623635,1.4233253599757831,144.80493972956174,0.9225906948028082,4789.41658435639,6548.272561078251,0.010005967194071975,96.69582790321589,66.42734873610856,51870.00006164948,11681.491169009598,4.089993950591935e-06,40.80254452438371,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-04-01,1162836.8163143906,70.74276269072053,67.55130695142294,16054.612297957574,0.9131814392952543,1.2883211046618646,144.8307330483321,0.9371539131512349,4745.277552197486,6490.178628953494,0.010004475395553995,94.31159620213731,66.42938635375043,51870.00004623718,11176.28220998281,3.067495462943951e-06,40.80104898798726,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-04-02,1162908.4983379277,71.68202353710967,68.54054469320532,16055.41544518766,0.8031472300855331,1.162076154934667,144.85542048487838,0.9484034115925807,4714.4165149884575,6426.7316446304485,0.01000335654666551,91.98273399711053,66.43137106846355,51870.000034677956,10696.616651022996,2.3006215972079635e-06,40.79969705126845,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-04-03,1162980.8831425877,72.38480465994289,69.52894924388599,16056.125497917918,0.7100527302564582,1.0449021388254356,144.87903260440143,0.9563702703945015,4693.009760190929,6358.035982988036,0.010002517409999146,89.75035851334691,66.43331609338765,51870.000026008536,10237.332607853556,1.7254661979059726e-06,40.79848755897499,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-04-04,1163053.851190168,72.96804758028371,70.47530792515765,16056.769882973043,0.644385055126087,0.936119073414488,144.9016097566534,0.9611097971720894,4677.757320143203,6284.941676963079,0.010001888057499374,87.66261374603164,66.43523215268927,51870.00001950648,9794.320383491988,1.2940996484294794e-06,40.79739895947047,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-04-05,1163127.320341561,73.46915139303448,71.34531109900732,16057.352347588563,0.58246461552039,0.8361306754551783,144.92318950756908,0.9626953084479113,4666.317990107409,6208.582825272415,0.010001416043124545,85.783771880306,66.43712619395022,51870.00001462993,9364.23209434169,9.705747363221096e-07,40.79639278779942,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-04-06,1163201.0787823522,73.75844079105909,72.0953904024715,16057.875136580264,0.52278899169847,0.745381943242968,144.9437907712521,0.9612955601982489,4657.738492580564,6130.291579199956,0.010001062032343423,84.17164274345521,66.43899774726292,51870.00001097252,8944.156585300558,7.279310522415822e-07,40.795427266997,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
2022-04-07,1163274.842490127,73.76370777493631,72.68221507076129,16058.340499170838,0.4653625905741115,0.6641193598239524,144.96342432725584,0.9571589681448096,4651.303869435429,6051.860814328869,0.010000796524257581,82.87360115907826,66.44084145586395,51870.000008229465,8532.605835872648,5.459482891811867e-07,40.79445490402932,29.600000000000158,4.210000000000022,1.000000000000005,0.800000000000004,37457976.00000019
