date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,gdp_per_capita,female_smokers,hospital_beds_per_thousand,population
2020-03-11,4.7855870842219606,0.8284237769413441,0.5483150207355367,4.000000000000015,0.0,0.0,0.22000000000000086,2.39000000000001,1000.0000000000039,665.8962180413735,0.00016259918748776572,551.9139996007466,403.0000000000016,0.0,1.1736374446428797,46.10000000000017,40.300000000000146,17167.970000000063,10.50000000000004,11.00000000000004,9534956.00000004
2020-03-12,5.6882902140197755,0.9986085284356199,0.6396199503058136,4.000000000000017,0.0,0.0,0.22000000000000097,2.390000000000011,1000.0000000000043,687.1487497276399,0.00035950595170179835,537.6538102813826,403.00000000000176,0.0,1.6012280834821637,46.10000000000019,40.30000000000016,17167.970000000074,10.500000000000044,11.000000000000046,9534956.000000043
2020-03-13,6.8640683392478765,1.2451102424805638,0.7583124094003377,4.000000000000018,0.0,0.0,0.22000000000000103,2.3900000000000112,1000.0000000000045,710.7827969434363,0.0006508511832333644,520.749160232046,403.0000000000019,0.0,2.0829210626116277,46.10000000000021,40.300000000000175,17167.97000000008,10.500000000000048,11.000000000000052,9534956.000000045
2020-03-14,8.375992430906512,1.5590427658940396,0.9110216373669973,4.000000000000019,0.0,0.0,0.22000000000000108,2.3900000000000117,1000.0000000000048,736.0611927302027,0.001029993591044936,500.76986791159175,403.000000000002,0.0,2.6034407969587265,46.10000000000022,40.30000000000018,17167.970000000085,10.50000000000005,11.000000000000055,9534956.000000047
2020-03-15,10.267854051686692,1.92303126640502,1.1024347800614493,4.0000000000000195,0.0,0.0,0.22000000000000114,2.390000000000012,1000.000000000005,762.4372326213443,0.0014806399896637964,477.14144747538796,403.00000000000205,0.0,3.1530805977190512,46.10000000000023,40.30000000000019,17167.97000000009,10.500000000000052,11.000000000000057,9534956.000000048
2020-03-16,12.554009478648691,2.3095326611806284,1.3431109913162902,4.00000000000002,0.0,0.0,0.2200000000000012,2.3900000000000126,1000.0000000000052,789.4302030697586,0.0019792582727908388,450.2420972419649,403.0000000000021,0.0,3.726310448289296,46.100000000000236,40.300000000000196,17167.97000000009,10.500000000000053,11.000000000000059,9534956.00000005
2020-03-17,15.266153521397667,2.7296769684129494,1.6356288155622047,4.00000000000002,0.0,0.0,0.2200000000000012,2.3900000000000126,1000.0000000000052,816.6597078937875,0.002484282101490355,421.4381614899745,403.00000000000216,0.0,4.3115789900631345,46.100000000000236,40.3000000000002,17167.97000000009,10.500000000000053,11.00000000000006,9534956.00000005
2020-03-18,18.418603505624887,3.1655996784752,1.974700926474502,4.00000000000002,0.0,0.0,0.2200000000000012,2.3900000000000126,1000.0000000000052,843.7586626268708,0.002963728706046667,391.9547313307974,403.00000000000216,0.0,4.89416501177813,46.100000000000236,40.3000000000002,17167.97000000009,10.500000000000053,11.000000000000062,9534956.00000005
2020-03-19,22.00407867963888,3.595337444699975,2.3493943115333216,4.00000000000002,0.0,0.0,0.2200000000000012,2.3898739495798447,1000.0000000000052,870.3083634859915,0.003403792004648129,362.866195556922,403.00000000000216,0.0,5.4536395959376796,46.100000000000236,40.3000000000002,17167.97000000009,10.500000000000053,11.000000000000062,9534956.00000005
2020-03-20,25.990534769263796,3.9938527926394034,2.744795410443791,4.00000000000002,0.0,0.0,0.2200000000000012,2.3894306722689205,999.6848739495852,895.8010851548959,0.003779088347377507,335.139890688377,403.00000000000216,0.0,5.975212728627478,46.100000000000236,40.3000000000002,17167.97000000009,10.500000000000053,11.000000000000062,9534956.00000005
