date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,gdp_per_capita,diabetes_prevalence,female_smokers,male_smokers,population
2020-10-06,74653.56753322354,719.8490683266234,693.1777655886531,1179.581621169326,8.687638881935536,9.527324378264804,1290551.139448001,1.0269424421878732,6862.244855409081,6995.921532044704,0.10335929182736851,9.876095568434927,0.35000000000000175,28129.00000000014,32074.000000000167,0.03000000000000016,73.2414371429251,19.800000000000104,1729.930000000009,7.47000000000004,0.400000000000002,8.500000000000046,123379928.00000066
2020-10-07,75382.58070809487,729.0131748713422,701.8145758075218,1188.0964776740225,8.514856504696654,9.23043542978782,1297414.2033416587,1.031402856204578,6863.063893657661,6941.461333261074,0.10549506680200682,9.653739420346893,0.35000000000000175,28129.00000000014,32074.000000000167,0.03000000000000016,72.42843289921072,19.800000000000104,1729.930000000009,7.47000000000004,0.400000000000002,8.500000000000046,123379928.00000066
2020-10-08,76120.22059894456,737.639890849694,710.7346466261661,1196.485642030567,8.38916435654448,8.97473251933506,1304287.9508740546,1.0332591557280955,6873.747532395808,6906.233039376972,0.1073553013943301,9.461035011284746,0.35000000000000175,28129.00000000014,32074.000000000167,0.03000000000000016,71.60001342683218,19.800000000000104,1729.930000000009,7.47000000000004,0.400000000000002,8.500000000000046,123379928.00000066
2020-10-09,76865.43088230485,745.2102833602839,719.5585303800974,1204.8036626800053,8.318020649438107,8.765926086333884,1311177.8477224463,1.032520643460585,6889.896848391889,6887.256550702745,0.10888444631077682,9.301272379989104,0.35000000000000175,28129.00000000014,32074.000000000167,0.03000000000000016,70.76654206753858,19.800000000000104,1729.930000000009,7.47000000000004,0.400000000000002,8.500000000000046,123379928.00000066
2020-10-10,77616.62948041006,751.1985981052173,727.9263552834582,1213.10938889753,8.305726217524617,8.60693907024493,1318084.0435326253,1.0293321438753367,6906.195810178866,6881.155648321185,0.11005829271627604,9.176814013498628,0.35000000000000175,28129.00000000014,32074.000000000167,0.03000000000000016,69.93841010592229,19.800000000000104,1729.930000000009,7.47000000000004,0.400000000000002,8.500000000000046,123379928.00000066
2020-10-11,78371.70344514928,755.0739647392243,735.5176793585223,1221.4636027591218,8.354213861592086,8.49707986829457,1325002.8777690572,1.0239406075832977,6918.834236431832,6883.804308962294,0.11084850298904947,9.08882253339483,0.35000000000000175,28129.00000000014,32074.000000000167,0.03000000000000016,69.12528156134226,19.800000000000104,1729.930000000009,7.47000000000004,0.400000000000002,8.500000000000046,123379928.00000066
2020-10-12,79129.44839834172,757.7449531924283,742.2446539920667,1229.9146380745144,8.451035315392526,8.433401045370907,1331926.6548684884,1.0166535810914823,6923.777099431189,6891.16779216129,0.11124432811444401,9.037062924609806,0.35000000000000175,28129.00000000014,32074.000000000167,0.03000000000000016,68.33552678186652,19.800000000000104,1729.930000000009,7.47000000000004,0.400000000000002,8.500000000000046,123379928.00000066
2020-10-13,79889.03135370146,759.5829553597391,747.9211136356155,1238.4911660154867,8.576527940972332,8.417410674138083,1338847.7275605474,1.0078114527869388,6921.072692058857,6899.579981160408,0.11128150077232314,9.019361511492274,0.35000000000000175,28129.00000000014,32074.000000000167,0.03000000000000016,67.575797639729,19.800000000000104,1729.930000000009,7.47000000000004,0.400000000000002,8.500000000000046,123379928.00000066
2020-10-14,80648.84744869573,759.8160949942721,752.321725498206,1247.2184876337888,8.727321618301982,8.447666279682435,1345758.131320057,0.9977301151234956,6910.403759509569,6906.350208882597,0.11100459681389022,9.032226369559748,0.35000000000000175,28129.00000000014,32074.000000000167,0.03000000000000016,66.85186859178779,19.800000000000104,1729.930000000009,7.47000000000004,0.400000000000002,8.500000000000046,123379928.00000066
2020-10-15,81406.9229976402,758.075548944477,755.2413013957952,1256.114366694962,8.89587906117317,8.519980802198813,1352651.2042107945,0.9866917363103025,6893.0728907375515,6909.116373533321,0.11043880636930599,9.07163584051824,0.35000000000000175,28129.00000000014,32074.000000000167,0.03000000000000016,66.16598176058301,19.800000000000104,1729.930000000009,7.47000000000004,0.400000000000002,8.500000000000046,123379928.00000066
2020-10-16,82161.2177815205,754.2947838803045,756.5392816383147,1265.1859043037055,9.071537608743498,8.627577069005294,1359520.195934439,0.975009429252767,6868.99172364464,6906.132238133194,0.10962807051712185,9.13367031930272,0.35000000000000175,28129.00000000014,32074.000000000167,0.03000000000000016,65.51713047040502,19.800000000000104,1729.930000000009,7.47000000000004,0.400000000000002,8.500000000000046,123379928.00000066
2020-10-17,82909.85176535834,748.6339838378312,756.173097944962,1274.4271948729004,9.241290569194998,8.761203648554241,1366362.0696883877,0.9629694184166289,6841.873753948745,6896.9415186128335,0.1086137484275959,9.215710076257919,0.35000000000000175,28129.00000000014,32074.000000000167,0.03000000000000016,64.90127189934555,19.800000000000104,1729.930000000009,7.47000000000004,0.400000000000002,8.500000000000046,123379928.00000066
