date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,icu_patients,hosp_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_70_older,extreme_poverty,female_smokers,hospital_beds_per_thousand,population,excess_mortality_cumulative,excess_mortality
2020-11-14,256182.0557823765,3850.4457670040506,3519.0564224615664,10379.246436141291,49.30828771590515,43.79107969478069,0.010000000000000054,1.1681669124038954,242.05052870672094,1790.398912593177,91127.11052064854,88865.51586164281,0.0466478039494373,21.80214370765358,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,68.69634438587936,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.406741755349842,8.359931543787393
2020-11-15,260144.59194990492,3962.5361675284157,3624.250769334868,10430.508922128607,51.26248598731679,45.54835615117608,0.010000000000000054,1.1650930252854699,252.1809960775524,1835.876883216702,92088.65764808188,89585.84439461622,0.047378386898729634,21.391278110410543,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,69.02038401662358,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.422638895697907,8.420215302960143
2020-11-16,264194.2924433599,4049.7004934549796,3729.8970385396183,10483.300566838874,52.7916447102679,47.323759841242506,0.010000000000000054,1.1616733565529858,262.3171303807245,1882.0933605379332,93088.56906023737,90383.04485058415,0.04800001512556636,21.050153799356092,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,69.34216842617172,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.4381465925879144,8.428644832100533
2020-11-17,268333.0389996179,4138.746556258015,3835.347457799354,10537.676701793684,54.37613495480831,49.11524683632949,0.010000000000000054,1.1580494582680052,272.33745993809714,1929.0950527240734,94126.78243512644,91249.7934795672,0.04850324340623043,20.77570035274916,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,69.65748475531086,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.453307030967859,8.397484847641762
2020-11-18,272565.9939717565,4232.954972138572,3939.823559736076,10593.77740352692,56.10070173323624,50.91855875362082,0.010000000000000054,1.1543459172304174,282.17646276223525,1976.9646638158442,95216.90882052726,92182.47903016681,0.048906521113173215,20.558645012461056,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,69.96196860850006,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.4681908882411356,8.340921051005134
2020-11-19,276898.1255208346,4332.131549078079,4042.5505734866138,10651.75136227675,57.97395874983031,52.728123816346915,0.010000000000000054,1.1506750811031636,291.7782908337971,2025.8534752374517,96370.7854292288,93177.48155769311,0.04921512031128593,20.391325388305095,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,70.25581679250959,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.48289529010735,8.27390946033808
2020-11-20,281331.6015097278,4433.475988893246,4142.858218414902,10711.698783504602,59.947421227854406,54.53773264894418,0.010000000000000054,1.1471263819327395,301.11078664506385,2075.9725886517504,97575.77373578728,94227.90307195453,0.04943865115783426,20.26230464239239,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,70.54324494732347,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.497538121934567,8.211047456782797
2020-11-21,285863.8349235051,4532.233413777245,4240.256299396186,10773.628564034414,61.92978052981139,56.34104512342445,0.010000000000000054,1.1437567127585413,310.2039367840569,2127.463846789398,98837.00740268095,95329.30493809661,0.04959159341039257,20.161167719027674,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,70.82800384623931,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.5122496067801388,8.165461116642884
2020-11-22,290486.01793471066,4622.183011205598,4334.491403280177,10837.426174157048,63.797610122633365,58.13197049415213,0.010000000000000054,1.1405941990808661,319.0892163243069,2180.6013757190713,100147.32875821642,96480.53067513046,0.0496936950577945,20.07820125791978,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,71.1055447398832,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.527161833397973,8.147704757973447
2020-11-23,295169.28757837665,4683.269643666002,4425.001118717411,10902.70856080526,65.282386648213,59.91647350733041,0.010000000000000054,1.137628422419895,327.82638218505355,2235.738055060154,101499.90634565018,97682.13619316119,0.04977027129334595,20.006157407563975,0.010000000000000054,0.0,721.000000000004,721.000000000004,0.0,71.37035764993512,4.0400000000000205,41.40000000000022,10.80000000000006,0.5000000000000026,12.000000000000064,2.5000000000000133,38454328.00000019,3.542396746735621,8.164669647988823
