date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,median_age,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
2020-03-29,18.336867922096943,1.9186715085796027,1.3838313272332556,1.000000000000005,0.0,0.0,61.4672563153076,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,33.10760345980375
2020-03-30,20.433888821340034,2.101463230659011,1.5485575613590106,1.000000000000005,0.0,0.0,68.49704776330694,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,32.39398348413164
2020-03-31,22.725028768558396,2.2944716957802997,1.7262032388925643,1.000000000000005,0.0,0.0,76.17751772293283,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,31.72047855639917
2020-04-01,25.219450309450515,2.496920352313574,1.9145328428733697,1.000000000000005,0.0,0.0,84.53936760700262,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,31.095110591045838
2020-04-02,27.920954894337456,2.7033786934530264,2.1100153399766213,1.000000000000005,0.0,0.0,93.59532854946674,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,30.524772164357465
2020-04-03,30.8244750589238,2.9049257460109126,2.3083112787381257,1.000000000000005,0.0,0.0,103.32840478314097,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,30.01484552598307
2020-04-04,33.91344355986841,3.090022687013038,2.5046381132229585,1.000000000000005,0.0,0.0,113.68305617300557,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,29.568969563270237
2020-04-05,37.15782022646246,3.2451673061453685,2.694044195776952,1.000000000000005,0.0,0.0,124.55858511617973,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,29.18928705794538
2020-04-06,40.53908268762326,3.381855440824287,2.8768327589852722,1.000000000000005,0.0,0.0,135.89290360765864,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,28.87447488575753
2020-04-07,44.04836502153523,3.509727068659591,3.050291990053439,1.000000000000005,0.0,0.0,147.65628985829755,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,28.61904709838412
2020-04-08,47.6584133912323,3.6103819207577885,3.20919313604364,1.000000000000005,0.0,0.0,159.7573898242341,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,28.41283223486025
2020-04-09,51.33028386372166,3.672120635784895,3.34741198196163,1.000000000000005,0.0,0.0,172.06566793378673,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,28.2496024982433
2020-04-10,55.01836577432657,3.6882695330765563,3.4591449593219066,1.000000000000005,0.0,0.0,184.42824513262866,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,28.12277032413962
2020-04-11,58.67414924994347,3.655924192470641,3.5398212275715903,1.000000000000005,0.0,0.0,196.68252741766833,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,28.025757491927358
2020-04-12,62.24905085148485,3.575007139181686,3.586786735158336,1.000000000000005,0.0,0.0,208.66567723745973,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.95241936328945
2020-04-13,65.71039835192984,3.461426653675215,3.598014744322862,1.000000000000005,0.0,0.0,220.2681918324261,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.897510466229246
2020-04-14,69.03391382535668,3.323574838349499,3.5713008126054353,1.000000000000005,0.0,0.0,231.40869688013768,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.857181088198153
2020-04-15,72.19670233734341,3.162833035678741,3.5072661718328786,1.000000000000005,0.0,0.0,242.01045381718188,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.827966278333527
2020-04-16,75.18207749638194,2.9854085518075397,3.409089253955465,1.000000000000005,0.0006140917905623792,0.0,252.01753444821324,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.806855381019094
2020-04-17,77.98318061743848,2.8011281656332923,3.2823043354245858,1.000000000000005,0.0030462184873949706,0.0,261.40695190274084,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.79139153576436
2020-04-18,80.60569509462391,2.622533260617991,3.134650520476006,1.000000000000005,0.007245879120879156,0.0006493212669683272,270.1977588527186,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.77979365182331
2020-04-19,83.06988218069657,2.4642011736470772,2.975958478592302,1.000000000000005,0.013013594861021398,0.002197398190045257,278.4578711757385,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.771095238867524
2020-04-20,85.4007632838742,2.330891668858452,2.814473060624902,1.000000000000005,0.02003815348254697,0.004973840497737579,286.27115629066014,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.76457142915068
2020-04-21,87.60097647066273,2.200221111049142,2.654037568577923,1.000000000000005,0.027924542713720253,0.009067484445701404,293.6464582005424,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.759678571863052
2020-04-22,89.68316609572504,2.08219556825777,2.499720968935061,1.000000000000005,0.03621490024795996,0.014386586184954829,300.6261629781383,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.75600892889733
2020-04-23,91.66780443604732,1.9846427977188632,2.3568198152597986,1.000000000000005,0.04440422625255055,0.020703966788037445,307.27889598926026,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.753256696673038
2020-04-24,93.58155791656375,1.9137568235638749,2.2301096901455626,1.000000000000005,0.05195216775017578,0.02769087101862996,313.6940448103038,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.75119252250482
2020-04-25,95.45606177937513,1.874506370096955,2.1232837866783405,1.000000000000005,0.058291856905068926,0.03494236140876893,319.97765141639024,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.749644391878654
2020-04-26,97.32700108566272,1.8709411867517751,2.0385318445336447,1.000000000000005,0.06283653973762532,0.04199636381675778,326.2493313224742,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.74848329390903
2020-04-27,99.23342146712372,1.9064217918091475,1.977837797427385,1.000000000000005,0.06624505186204263,0.0485244221838354,332.63996293917353,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.74761247043181
2020-04-28,101.19001438735005,1.9565939779874388,1.942917294418311,1.000000000000005,0.06901151998896905,0.05432091844783141,339.19879250173034,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.746959352823897
2020-04-29,103.20561680214811,2.015603208118895,1.9332285331925334,1.000000000000005,0.07040763805248967,0.05914114132456144,345.9554413381599,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.746469514617964
2020-04-30,105.28322035856016,2.077604151402684,1.9462829060353206,1.000000000000005,0.07004877960594783,0.06275630848210897,352.91993653044653,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.746102135963515
2020-05-01,107.41997829413037,2.136758381813167,1.9778779843099452,1.000000000000005,0.06780807791713064,0.06499483317153659,360.0827339104404,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.745826601972677
2020-05-02,109.60721061135425,2.187232651906097,2.0222722568168185,1.000000000000005,0.06375198603965801,0.06577327419991952,367.41473530678047,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.745619951479547
2020-05-03,111.83040795851585,2.2231975981732734,2.0723161835628434,1.000000000000005,0.05809194686652443,0.06511954841012073,374.86730148008587,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.745464963609702
2020-05-04,114.0326799184669,2.20227214820979,2.11431939365145,1.000000000000005,0.05114814567025536,0.063013869452387,382.2497282109053,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.745348722707316
2020-05-05,116.21316540103521,2.1804856237623875,2.146069215568261,1.000000000000005,0.043322324508024444,0.059423298016892126,389.55912809095264,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.745261542030526
2020-05-06,118.39699428348504,2.183828988345388,2.169905014455772,1.000000000000005,0.03507739302549152,0.05448150066199042,396.87973747093,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.745196156522933
2020-05-07,120.62410317867732,2.2271089746139245,2.1911163820441595,1.000000000000005,0.02692213655968102,0.04844709834717159,404.34542608315934,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.74514711739224
2020-05-08,122.9408472611898,2.3167441420787402,2.21674177909938,1.000000000000005,0.020191602419760764,0.041672427832776915,412.1115792585563,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.74511033804422
2020-05-09,125.3937091369074,2.4528619203922846,2.2546675172592505,1.000000000000005,0.015143701814820573,0.034580112729786325,420.3340095893606,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.745082753533207
2020-05-10,128.02458049521465,2.6308713918132867,2.3129519954105047,1.000000000000005,0.01135777636111543,0.027645491787158756,429.15314067618397,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.745062065149945
2020-05-11,130.7928536002412,2.768273130156026,2.393923918988393,1.000000000000005,0.008518332270836572,0.021383440107337396,438.4328550223293,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.7450465488625
2020-05-12,133.72770419500978,2.9348506136157315,2.5018768435722616,1.000000000000005,0.006388749203127429,0.016037580080503048,448.2709513831019,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.745034911646915
2020-05-13,136.89642455866866,3.168720377794221,2.6428290935712493,1.000000000000005,0.004791561902345571,0.012028185060377287,458.89299601955076,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.745026183735227
2020-05-14,140.3806732994154,3.4842487513482574,2.8227302558604066,1.000000000000005,0.0035936714267591784,0.009021138795282966,470.57271113877493,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.74501963780146
2020-05-15,144.25866269919007,3.877989407725809,3.046116050007786,1.000000000000005,0.002695253570069384,0.0067658540964622245,483.572266224153,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.745014728351133
2020-05-16,148.591799222195,4.333136528968249,3.315099480944759,1.000000000000005,0.002021440177552038,0.005074390572346668,498.09749653301526,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.74501104626339
2020-05-17,153.41466389628448,4.822864678562007,3.6286142034687563,1.000000000000005,0.0015160801331640284,0.003805792929260001,514.264316969898,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.745008284697583
2020-05-18,158.56741356539396,5.1527496724638535,3.9696075498220003,1.000000000000005,0.0011370600998730214,0.002854344696945001,531.5369106427443,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.74500621352323
2020-05-19,164.09535655413623,5.5279429912580476,4.340374860815118,1.000000000000005,0.000852795074904766,0.002140758522708751,550.0671532470881,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.745004660142463
2020-05-20,170.13105199866644,6.0356954464170425,4.7502305638401765,1.000000000000005,0.0006395963061785746,0.0016055688920315631,570.2993983871593,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.767163158972433
2020-05-21,176.84243896667948,6.711386969428178,5.21149257381744,1.000000000000005,0.0004796972296339309,0.0012041766690236723,592.796600180157,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.810004302002472
2020-05-22,184.39393329740807,7.551494331789958,5.7364705939054295,1.000000000000005,0.0003597729222254482,0.0009031325017677543,618.1099052094562,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.856856183838676
2020-05-23,192.91725023162132,8.523316935009259,6.335207341033478,1.000000000000005,0.0002698296916690861,0.0006773493763258157,646.6808464895107,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.882231585196436
2020-05-24,202.48952138412355,9.572271153099237,7.013784465051139,1.000000000000005,0.0002023722687518146,0.0005080120322443618,678.7679889395323,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.856659710228975
2020-05-25,212.95175642270837,10.46223503903259,7.772333500695285,1.000000000000005,0.00015177920156386095,0.00038100902418327135,713.8383882786645,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.750357339232856
2020-05-26,224.38642559111048,11.43466916873794,8.616162213433567,1.000000000000005,0.0001138344011728957,0.0002857567681374535,752.1684983841773,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.529788966655723
2020-05-27,236.94103121660407,12.554605625745463,9.547404303901953,1.000000000000005,8.537580087967177e-05,0.00021431757610309015,794.2527693925298,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,27.166575310733815
2020-05-28,250.77015608860083,13.829124872185655,10.564151644216075,1.000000000000005,6.403185065975383e-05,0.0001607381820773176,840.6093861911343,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,26.64342197155349
2020-05-29,265.9919997425984,15.221843654139267,11.65980345520474,1.000000000000005,4.802388799481537e-05,0.0001205536365579882,891.6345722871789,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,25.957813200430778
2020-05-30,282.65578067314186,16.66378093064973,12.822578189335058,1.000000000000005,3.6017915996111526e-05,9.041522741849115e-05,947.4933177092448,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,25.124029502779482
2020-05-31,300.7172879935447,18.06150732048248,14.035147442906293,1.000000000000005,2.7013436997083644e-05,6.781142056386836e-05,1008.037424933519,25.300000000000136,304568.0000000016,9.60000000000005,0.6000000000000031,24.179779364595028
