date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,new_people_vaccinated_smoothed_per_hundred,new_people_vaccinated_smoothed,stringency_index,aged_65_older,median_age,handwashing_facilities,hospital_beds_per_thousand,population
2021-05-25,64514.85423745311,352.79818889476746,295.22960833016555,2766.8804685135824,9.504312693279932,8.55876045473706,1589.8643480056596,1.3480501159747391,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.00574914167623664,2892.2120478732854,37.681853695373604,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-05-26,64895.706822239896,380.85258478678406,314.1516624531838,2776.880244727143,9.999776213560482,8.883278809055394,1599.2497052511765,1.3538102114154453,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.004636678493764424,2547.73482776017,38.97163429221546,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-05-27,65313.029340985115,417.32251874522774,336.9903182684599,2787.6052708110365,10.725026083893715,9.287036191471586,1609.53384067077,1.3587884924335962,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.0036672309129865384,2249.11162502181,40.15751175665358,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-05-28,65774.73299474991,461.703653764804,364.1387684363164,2799.2872756680745,11.682004857037953,9.789854389886834,1620.911715667915,1.3627920803788511,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.002845284206071514,1990.6063593610588,41.20908372052838,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-05-29,66286.79772602374,512.0647312738301,395.7572815631785,2812.1227612113057,12.835485543230975,10.407471593966532,1633.5306962532009,1.365648520529777,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.0021677382030345664,1765.6786059784556,42.1056411679012,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-05-30,66852.20202754957,565.4043015258326,431.69995777871947,2826.245125207126,14.122363995820153,11.148983785972655,1647.4641794297218,1.3672415616966238,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.0016258036522759248,1567.8220604954786,42.814652336818014,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-05-31,67463.0564333966,610.8544058470258,471.57054331788015,2841.3697197941656,15.12459458703967,11.99710225447628,1662.517737351867,1.367491287626704,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.0012193527392069436,1391.1722014802074,43.30258443684111,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-01,68123.10226363837,660.0458302417669,515.4631788200206,2857.6248981197073,16.25517832554158,12.961500575795823,1678.7835688510067,1.3663518206004437,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.0009145145544052077,1231.1464103215335,43.56230161140594,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-02,68838.61892461963,715.5166609812618,563.2724468170204,2875.3022223939215,17.677324274214392,14.058363311614182,1696.4164177500868,1.3638205881394103,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.0006858859158039058,1082.9313332744412,43.61408755309233,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-03,69615.87875390438,777.2598292847518,614.6921720552357,2894.7460106868475,19.443788292926502,15.304047532191593,1715.570851935709,1.3599436570063048,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.0005144144368529294,944.3825174089666,43.49342894859436,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-04,70459.2381539869,843.3594000825052,669.2145217369678,2916.270497026129,21.52448633928121,16.71032895877527,1736.3542226621917,1.3547560620824615,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.00038581082763969706,815.1797290392724,43.24886146580911,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-05,71369.70594257495,910.4677885880602,726.1293307015635,2940.0977014703117,23.827204444182993,18.28083657040663,1758.7913840296133,1.348342579852087,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.0002893581207297728,697.4594250923183,42.94035424415327,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-06,72343.86961530236,974.1636727274075,784.5235953112418,2966.310832663824,26.21313119351221,20.008378559026728,1782.798232592348,1.3408070318509286,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.0002170185905473296,596.1607129692067,42.63809826230053,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-07,73368.57491671282,1024.7053014104572,843.64520310916,2994.354213702785,28.043381038960966,21.854218308410356,1808.0505973595837,1.3322833605074613,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.0001627639429104972,518.8526452634276,42.421597613984666,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
2021-06-08,74445.1050239924,1076.5301072795642,903.1429883047222,3024.386523237662,30.03230953487688,23.822679730014983,1834.580096856148,1.3229049896760081,1301.0000000000068,0.03000000000000016,0.4900000000000026,2.100000000000011,0.00012675944716348026,475.30229907362144,42.31030115166503,2.5800000000000134,18.6000000000001,37.75000000000019,0.5000000000000026,41128772.00000022
