date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests_smoothed,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,female_smokers,population
2022-04-02,32890.39660131762,3.705679328146436,5.550330181248976,696.9999167614912,3.665367379679409e-05,9.21764401318354e-05,14387.045742501638,0.24555271890278488,985.3130082161995,758.0056985410508,0.046252248070510406,35.48587969592195,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-03,32893.935573160205,3.5389718425868835,4.945203518289679,696.9999375711194,2.749025534759557e-05,6.913233009887655e-05,14388.593736740502,0.24047013064444514,976.3279849921444,769.0787082949295,0.04913149374519058,35.25520647523821,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-04,32897.54101406541,3.6054409052110143,4.459316504263484,696.9999531783405,2.0617691510696675e-05,5.1849247574157414e-05,14390.170794798449,0.23514089791869291,959.9199544842517,778.6033751126009,0.05159635786545411,35.071259413636206,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-05,32901.30058924982,3.759575184402772,4.112317210130392,696.9999648837564,1.5463268633022508e-05,3.888693568061806e-05,14391.815261742036,0.2295580005237,936.7259387138687,786.5070562213295,0.05363295036418439,34.94424126352391,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-06,32905.29386469113,3.9932754413079032,3.9125018054646397,696.9999736628183,1.1597451474766881e-05,2.9165201760463547e-05,14393.561940327232,0.2237476859131373,907.7565257871803,792.8257672791204,0.05525671018748873,34.880907191986864,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-07,32909.58318132382,4.289316632693928,3.8569731543570516,696.9999802471148,8.698088606075162e-06,2.187390132034766e-05,14395.438099395413,0.21776115228229992,874.3273975724484,797.7132168620564,0.0565147692275591,34.88363288267798,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-08,32914.206810685864,4.623629362044694,3.9317597623418106,696.9999851853371,6.523566454556371e-06,1.6405425990260746e-05,14397.460480170368,0.21166782607339293,837.9245559362863,801.3684614506803,0.05746299999759249,34.94971561223478,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-09,32919.17382165375,4.967010967881299,4.111904986591531,696.9999888890038,4.892674840917278e-06,1.230406949269556e-05,14399.633050981061,0.20554918888277604,800.0488144958485,804.0168115049474,0.058159790398970145,35.077845855911754,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-10,32924.46023049375,5.286408840002774,4.3615339435635665,696.9999916667539,3.6695061306879587e-06,9.228052119521671e-06,14401.94532330369,0.19949253161036928,762.0520278078925,805.8903397211487,0.058659758765614245,35.26686209070568,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-11,32929.94939071134,5.48916021759097,4.630676798978437,696.9999937500664,2.752129598015969e-06,6.921039089641253e-06,14404.346269465505,0.1935846540406796,725.0553104486804,807.2080909253164,0.05900742411622757,35.50871799660074,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-12,32935.651845877765,5.702455166425298,4.908314806732222,696.9999953125508,2.064097198511977e-06,5.19077931723094e-06,14406.84050268092,0.18790552349754291,689.8002902056127,808.1560681939884,0.059255568087170765,35.79719945414097,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-13,32941.60895551374,5.957109635969596,5.1889780248940385,696.9999964844142,1.5480728988839826e-06,3.893084487923205e-06,14409.446120869792,0.1825092977621361,656.7033850750247,808.8670511454925,0.05944167606537816,36.114678679164285,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-14,32947.873555678656,6.264600164921616,5.471290241359616,696.9999973633116,1.161054674162987e-06,2.919813365942404e-06,14412.186244983328,0.17743207028346397,625.9692647274069,809.2225572666835,0.059581257049033706,36.43579520846829,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-15,32954.495454412565,6.621898733904539,5.756877668091475,696.9999980224848,8.707910056222402e-07,2.189860024456803e-06,14415.082672748506,0.17268345801317997,597.6015930187298,809.1053633281649,0.05968594278677536,36.730290814883915,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-16,32961.51055331755,7.015098904985623,6.049550461799063,696.9999985168646,6.530932542166802e-07,1.6423950183426022e-06,14418.151118976397,0.16827552175810756,571.4421934712232,808.5222028451875,0.0597644570900816,36.9788582210531,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-17,32968.932688743866,7.422135426315183,6.354688864448857,696.9999988876494,4.898199406625101e-07,1.2317962637569517e-06,14421.397645793404,0.1642071261278892,547.2637879605609,807.6754756633035,0.059823342817561284,37.16520620619065,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-18,32976.7702017551,7.8375130112360765,6.690114741420042,696.9999991657381,3.6736495549688255e-07,9.238471978177138e-07,14424.82590548276,0.16050052882345428,524.8820361869695,806.994244110116,0.05986750711317104,37.277104234474976,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-19,32985.04083812956,8.270636374458098,7.0568468834729305,696.9999993743046,2.755237166226619e-07,6.928853983632854e-07,14428.443666022238,0.15719310831765554,504.2584082003441,807.1359545758007,0.059900630334878364,37.30716592634109,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-20,32993.73100028435,8.690162154793168,7.447038362346147,696.9999995307295,2.0664278746699642e-07,5.196640487724641e-07,14432.244985457228,0.1543075655627409,485.44398391367173,808.9613712324335,0.05992547275115886,37.25343666195044,22.200000000000113,0.400000000000002,2305826.000000012
2022-04-21,33002.799219831926,9.068219547575175,7.8472320684629215,696.9999996480482,1.5498209060024732e-07,3.8974803657934806e-07,14436.211729235152,0.15185316932396278,468.4315335073294,813.6731939059035,0.059944104563369224,37.119834283793196,22.200000000000113,0.400000000000002,2305826.000000012
