date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,new_vaccinations_smoothed,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2022-03-09,7593.999812191164,6.686660318968714,9.067551866991717,30.99671887079757,0.0014100637353610997,0.0036958688286422283,265024.06898970273,1081.755503030104,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-10,7599.958068581005,5.958256389840633,8.241833745104817,30.99753915309822,0.0010575478015208248,0.002771901621481671,265232.00774987275,1081.7841272725796,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-11,7605.227956736346,5.2698881553410475,7.457137590664431,30.99815436482371,0.0007931608511406186,0.002078926216111253,265415.92325180373,1081.8055954544361,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-12,7609.884509892283,4.656553155936947,6.722280309998975,30.998615773617825,0.0005948706383554639,0.0015591946620834398,265578.434001232,1081.8216965908287,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-13,7614.04403852782,4.15952863553707,6.044316567340866,30.99896183021341,0.00044615297876659794,0.0011693959965625798,265723.59902694245,1081.833772443123,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-14,7617.396151067821,3.3521125400012193,5.3563830299012585,30.999221372660102,0.00033461473407494846,0.0008770469974219348,265840.5858178801,1081.8428293323436,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-15,7620.011560618265,2.6154095504437063,4.668963419807977,30.99941602949512,0.00025096105055621136,0.0006577852480664511,265931.86215785134,1081.8496219992592,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-16,7622.281456501201,2.269895882936206,4.038230160201816,30.99956202212138,0.0001882207879171585,0.0004933389360498383,266011.08018561575,1081.8547164994457,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-17,7624.780016099247,2.498559598045726,3.5442796014054037,30.99967151659108,0.00014116559093786888,0.00037000420203737875,266098.27817945136,1081.8585373745857,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-18,7628.161288738958,3.3812726397107724,3.2748084405498536,30.99975363744335,0.00010587419320340165,0.00027750315152803406,266216.2818955779,1081.861403030941,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-19,7633.081858603357,4.920569864398477,3.312871036294747,30.999815228082557,7.940564490255123e-05,0.00020812736364602555,266388.0055719747,1081.863552273207,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
2022-03-20,7640.142841916329,7.0609833129724375,3.727697394868125,30.99986142106196,5.9554233676913424e-05,0.00015609552273451917,266634.4276812438,1081.8651642049067,196.00000000000102,7245.000000000039,92.0000000000005,0.3400000000000018,27052.00000000014
