date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,median_age,life_expectancy,population,excess_mortality_cumulative,excess_mortality
2020-12-17,8448.70177046715,8.887731326737972,8.94776165598427,151.13251323678946,0.3581353172322734,0.30331792794330814,21961.62321178041,392.85461554896847,43.400000000000226,82.14000000000043,395762.0000000021,6.5112628660747545,5.985017089829822
2020-12-18,8457.80805053945,9.106280072299777,8.8681693350716,151.50287555461233,0.37036296174450295,0.31797018480686756,21985.29405605576,393.81753729197897,43.400000000000226,82.14000000000043,395762.0000000021,6.468496415416265,5.925954617169216
2020-12-19,8467.186500089472,9.378449550023166,8.903187117657946,151.87731826906224,0.37444319739111853,0.33341542141058106,22009.672354743856,394.79107313705197,43.400000000000226,82.14000000000043,395762.0000000021,6.423082557198923,5.885332386369393
2020-12-20,8476.866345655351,9.679845565878734,9.026617713809085,152.2463371180865,0.3690192112301526,0.3470547787276196,22034.834095243445,395.7505107351425,43.400000000000226,82.14000000000043,395762.0000000021,6.375142881053693,5.856525954289012
2020-12-21,8486.9821121827,10.115766527350242,9.227403653811901,152.60319175259224,0.3568549061601714,0.35612382483433835,22061.128972369912,396.678324227828,43.400000000000226,82.14000000000043,395762.0000000021,6.324776197635786,5.834909587149956
2020-12-22,8497.549189179055,10.567076996353034,9.49655209394653,152.94369956751484,0.3405080186634386,0.35951368310539233,22088.59699624579,397.5636381288548,43.400000000000226,82.14000000000043,395762.0000000021,6.271925924198776,5.818593424086734
2020-12-23,8508.475450384627,10.926261205571192,9.808355893342911,153.2627843718225,0.3190849571132871,0.3566011640743582,22116.998703713136,398.3932538067257,43.400000000000226,82.14000000000043,395762.0000000021,6.216540735512189,5.805105032050652
2020-12-24,8519.598960122032,11.123509737404008,10.12754891742155,153.55566940362468,0.2928851464063942,0.34726632231239485,22145.91316983401,399.1547512794146,43.400000000000226,82.14000000000043,395762.0000000021,6.158657283095966,5.793533155790699
2020-12-25,8530.716253058568,11.117292936537185,10.414672515474065,153.81877209150346,0.2631027738319452,0.3319056240872377,22174.81151651581,399.8388155604018,43.400000000000226,82.14000000000043,395762.0000000021,6.098446074336019,5.784004677998263
2020-12-26,8541.60354402794,10.887290969371229,10.630100378848615,154.05037512551212,0.2316030984735066,0.31144182310744545,22203.112043980294,400.4409814182011,43.400000000000226,82.14000000000043,395762.0000000021,6.036229721510634,5.777280796336918
2020-12-27,8552.032635396532,10.429091368592752,10.737057184588966,154.2511297604239,0.2007546832604307,0.2873313673305844,22230.221579365345,400.9629419460043,43.400000000000226,82.14000000000043,395762.0000000021,5.972480468249985,5.774442613135974
2020-12-28,8561.758898008302,9.726262611771013,10.681382578163783,154.42443329316882,0.17330356900640911,0.26102793726264445,22255.50424447879,401.41352998891557,43.400000000000226,82.14000000000043,395762.0000000021,5.907802174070496,5.7767320891344704
2020-12-29,8570.676542607725,8.917644599422967,10.445766248425695,154.5692945884935,0.14486132252080564,0.23298944034194152,22278.68505359183,401.7901685000906,43.400000000000226,82.14000000000043,395762.0000000021,5.842835816534965,5.783165282567917
2020-12-30,8578.748809670738,8.07226706301261,10.03811104701741,154.68569750892044,0.11640294082402379,0.2039414984852863,22299.668446948912,402.09281545069877,43.400000000000226,82.14000000000043,395762.0000000021,5.7783019016476995,5.792800432514181
