date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,total_deaths_per_million,reproduction_rate,icu_patients,hosp_patients,total_vaccinations_per_hundred,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,extreme_poverty,diabetes_prevalence,female_smokers,population,excess_mortality_cumulative,excess_mortality
2021-08-22,1144837.502679234,1932.361701192658,1890.7402731371412,25407.88278460131,4.3159948765339955,3.8988316849928446,0.010000000000000054,2182.4659182356027,1.1302275302066147,162.11182827971749,565.6169785814266,136.24183079589483,45153.53941136642,46804.51531540618,0.044374364651444606,21.918460907875012,71.97095353580443,41699.67014865362,48095.51190284584,0.0943160168881603,47.258838003116296,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.826523921514497,1.6106520919887546
2021-08-23,1146778.6003772356,1941.0976980018008,1904.2991057901565,25412.346816957805,4.464032356495526,4.02724238042208,0.010000000000000054,2182.8490002474873,1.1268485726711228,165.61163462284588,575.5107300575963,136.5861171176065,44576.72104204136,46270.31373283782,0.04513872436124027,21.56038252641372,72.04764792496266,40120.853387185154,45816.29624129087,0.08910869980251335,47.250473040152414,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.812454027108735,1.5772692964671737
2021-08-24,1148728.070321713,1949.4699444774362,1916.8937412689293,25416.966172834742,4.619355876938555,4.166580460171123,0.010000000000000054,2183.245493559891,1.1235195904600341,168.84274342026976,584.670426340871,136.9185668298017,44020.36545832487,45720.26524468337,0.04589589847455018,21.208350889639018,72.12152375884814,38742.1224094904,43798.12890365728,0.08450040009428976,47.223560662467314,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.798285621448933,1.5644873403437334
2021-08-25,1150685.7171886037,1957.646866890724,1928.4824313557074,25421.74308470043,4.776911865687117,4.314260005761834,0.010000000000000054,2183.655598515106,1.1202554006666174,171.8404770868574,593.1673317142837,137.2407884061265,43490.71431675599,45163.954605781495,0.0466355631577873,20.864404731547324,72.19311518500564,37551.63469658133,42026.4092343041,0.08050668339327721,47.17184696743878,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.784078954289685,1.5663223495339742
2021-08-26,1152651.3102088429,1965.5930202391512,1939.0295977572487,25426.673085988186,4.930001287759204,4.466403957133275,0.010000000000000054,2184.0789369277027,1.1170703481728799,174.66739724630037,601.0484464263084,137.5537134765408,42996.95125146492,44611.78641328899,0.04736419660880596,20.5320058757452,72.26280681538651,36469.19724092344,40462.4669451205,0.07708347085135749,47.090305393646375,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.769910725551979,1.5810092691532838
2021-08-27,1154624.430264908,1973.1200560649513,1948.5307004187796,25431.743776999258,5.070691011068279,4.618418998877759,0.010000000000000054,2184.5144446156246,1.113975191640327,177.3967664221205,608.3859308119752,137.8578684946068,42560.533348101,44076.331972216314,0.048077769305344034,20.21663368929115,72.33096306241264,35448.124498242716,39061.253877230854,0.07417685653218337,46.97550215447855,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.755874243720742,1.6080558637374065
2021-08-28,1156604.3552132268,1979.9249483189167,1957.0308887594656,25436.933899329957,5.190122330699407,4.7654267249178615,0.010000000000000054,2184.9602907985027,1.1109868882357414,180.0740777254465,615.246930332641,138.1530350167213,42192.98449717794,43570.210953952206,0.04876598696607985,19.9236097207499,72.3977759490397,34402.196040133276,37776.23118038602,0.07170116211471615,46.82587031333797,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.742076081719372,1.648424327698092
2021-08-29,1158589.973875985,1985.6186627582595,1964.6389900990139,25442.212641692073,5.278742362116354,4.902587012014195,0.010000000000000054,2185.413817646391,1.1080986018587726,182.76764620617305,621.7334039550408,138.43829226124834,41879.826107208006,43102.540229038874,0.049415472771424857,19.656692423076997,72.46323968640819,33250.112543997864,36569.15110022169,0.06957241327963772,46.64191534004556,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.728630105891996,1.704549599853665
2021-08-30,1160580.2244761565,1990.2506001714771,1971.6608119019943,25447.51895121091,5.3063095188400204,5.022643070904642,0.010000000000000054,2185.869768050569,1.105316517651353,185.5284334264465,627.9641609171541,138.7126750782894,41612.96899863489,42679.15134178568,0.05001215402911817,19.419557132433823,72.52736528516823,31984.45137632423,35406.80715192778,0.06773506303018734,46.426369278143476,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.715649534816553,1.7802352060157784
2021-08-31,1162574.7737385023,1994.5492623458051,1978.1007118676748,25452.84519272302,5.326241512109984,5.123478586307124,0.010000000000000054,2186.3274839241612,1.1026622427957238,188.38485124953777,634.0629881733223,138.9756651645673,41396.05650010744,42304.25665436775,0.050543052173422406,19.214278385847695,72.59024164325572,30658.69153806092,34252.03083259487,0.06612321065337749,46.184306370372376,31.40000000000017,41.800000000000225,0.200000000000001,4.290000000000022,25.10000000000013,11655923.000000065,8.703260929854693,1.8829350387347568
