date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_70_older,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,handwashing_facilities,life_expectancy,human_development_index,population
2022-03-31,8548228.065470498,163504.2066833043,190398.77347896,42131.024982186085,57.66669953856726,63.228103811227484,48.10375885536912,81.45416635298314,0.7881159511929257,121727.6080897307,143552.57814458833,0.9801639749122943,1.001292188617012,347105.4257890889,344387.2191661532,0.02154813898527048,63.21754436767783,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-01,8701511.649943221,153283.58447272403,181461.7442955486,42186.42224342695,55.39726124086798,61.32595730250602,48.377520849133035,81.47273174599151,0.7625690254502866,114474.35367681531,136802.20235440132,0.9792975394690746,1.0000140671253333,331407.3611132564,337753.92453945056,0.02065512492415004,62.77568090019285,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-02,8844824.8891381,143313.2391948793,172281.35527967714,42239.475005130065,53.05276170311387,59.36657673576776,48.63756137052793,81.48994554511107,0.7386576999215879,107568.55732289926,130007.56588991232,0.9774636469525937,0.9993205050951326,312538.1407282846,329359.0808965082,0.01957925578102464,62.242513099191264,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-03,8979115.303618293,134290.41448019326,163067.39092242773,42290.25399140417,50.7789862741034,57.36141897716526,48.882739763082405,81.50594620365135,0.7163552658914181,101080.46745888432,123322.21213559857,0.9739306376061725,1.0012971015104264,291695.74202003406,319348.59422118566,0.01838563769872907,61.6249121353179,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-04,9106851.715318775,127736.41170048123,154025.34886958438,42339.21163123903,48.957639834860096,55.31819400016554,49.11293792940086,81.52098866049558,0.6956305412091267,95071.87746875934,116895.62825166674,0.9679379318784079,1.0083516238057366,270418.4743869823,308104.0925954307,0.017170449993503836,60.93267181965269,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-05,9228029.659808422,121177.94448964679,145245.7370443992,42386.27987727548,47.068246036455406,53.24041570051207,49.3291765401341,81.53546569274306,0.6764441405545512,89588.35049006347,110885.4919709092,0.9587151651337589,1.0235778742861075,250238.8363009028,296150.1526883316,0.01604218785065472,60.185135732871466,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-06,9342300.165541528,114270.50573310464,136796.61668746892,42431.314449003854,45.034571728375866,51.13748258986375,49.53356563608535,81.5498435595811,0.6587862405161081,84641.18638079915,105444.7077629267,0.9454824792155434,1.0501090682873035,232628.29583831472,284083.8334561327,0.015094989304280649,59.38777681581399,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-07,9449257.247960296,106957.08241876848,128718.45585512996,42474.174653818234,42.860204814381504,49.02233075299904,49.727564283086494,81.56413161926577,0.6426245866572824,80222.24308461136,100689.22915768318,0.927568091904656,1.0902304760700365,216851.32393782915,272240.9307482084,0.014336432669871783,58.537011183289145,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-08,9548653.530071722,99396.28211142618,121020.26954325452,42514.783252807174,40.60859898893743,46.909673565718954,49.9123456428256,81.5782740268821,0.627930786470015,76306.42740765013,96677.8869781526,0.9047980792710917,1.1445377568586055,202129.70241119366,260874.88440569444,0.013749900455862161,57.637039253659566,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-09,9640561.957880244,91908.42780852124,113676.72478009776,42553.17136009671,38.388107289537636,44.8146814832744,50.08944451007661,81.59225157704599,0.6146801519081035,72861.34226365162,93382.45262857254,0.8775706829180905,1.2120684760149967,188625.28803307764,250319.82254796862,0.013313556563616094,56.697300125441906,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-10,9725497.086962232,84935.12908198894,106625.96944593317,42589.51211735766,36.34075726094771,42.75199188168662,50.2602359628204,81.60615539254543,0.6027943737888677,69855.30456688647,90704.20606806819,0.8466936068879871,1.290416903229737,177134.9692905378,240871.64483599292,0.013025083389098642,55.730562359757,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-11,9804819.853699388,79322.76673715436,99709.7341945017,42624.32746229109,34.81534493342899,40.73153786730897,50.42687832958144,81.6203755672491,0.5921358579111409,67257.1444077118,88501.8280481424,0.8134187184174457,1.3759574738023956,168982.84015067667,232798.60486164267,0.012906498385392194,54.75149206716753,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-12,9878486.746560916,73666.89286152777,92922.44087761521,42657.60227092652,33.27480863543054,38.760881422459796,50.591752369250365,81.63532959075691,0.5825517964714948,65037.86582032822,86612.74653707654,0.7791929980891033,1.4644018480796595,164690.7764702044,226232.0771110028,0.012956215094797234,53.77557897280623,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
2022-04-13,9946382.645554185,67895.89899326937,86297.49686910355,42689.236722587324,31.63445166080048,36.84638084706467,50.75735928340197,81.65170469145177,0.5738589022986769,63173.70374469033,84880.3820585929,0.745546817086544,1.5512651869647245,164914.99955665052,221217.19783002033,0.013218615749022961,52.818330965222074,32.600000000000165,4.720000000000024,2.00000000000001,245.46000000000134,6.000000000000032,1.000000000000005,85.85000000000045,75.4000000000004,0.7000000000000035,98186856.00000052
