date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_fully_vaccinated_per_hundred,total_tests,reproduction_rate,icu_patients,hosp_patients,weekly_icu_admissions,weekly_hosp_admissions,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_boosters_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_70_older,median_age,aged_65_older,extreme_poverty,cardiovasc_death_rate,female_smokers,male_smokers,life_expectancy,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality
2020-08-05,4768.037417934183,51.66391175519508,56.42489151730023,92.51512402821396,0.29476517492368004,0.29115973591792305,0.07000000000000037,487047.80334094143,0.949161922192941,5.999897370288629,53.274811113211804,2.34899823585222,31.362739262898636,6965.591000122381,7717.638913235121,0.009989173975550382,122.2620748408585,0.010000000000000054,0.07000000000000037,348.0000000000017,348.0000000000017,0.05000000000000025,34.33126236101262,9.840000000000051,39.70000000000021,14.310000000000079,0.200000000000001,128.28000000000065,20.900000000000112,26.000000000000135,82.25000000000043,647601.0000000035,12.800000000000065,0.3100000000000016,12.669649447388707
2020-08-06,4817.599928350451,49.56251041626709,54.881442716837554,92.80578387442499,0.2906601772496447,0.29087060995395664,0.07000000000000037,493778.539028008,0.930876612943996,6.002767242325401,52.47026476671242,2.102234871366958,30.883225838807597,6730.7356870665835,7464.615190097649,0.009991880481662802,124.0876986645807,0.010000000000000054,0.07000000000000037,348.0000000000017,348.0000000000017,0.05000000000000025,34.73218917541368,9.840000000000051,39.70000000000021,14.310000000000079,0.200000000000001,128.28000000000065,20.900000000000112,26.000000000000135,82.25000000000043,647601.0000000035,12.800000000000065,0.3100000000000016,13.178296278449483
2020-08-07,4864.922489895683,47.32256154523205,53.15113908352351,93.0874503815784,0.28166675543238584,0.2895419361338583,0.07000000000000037,500290.59047010174,0.9145228443233828,5.953998508667135,51.50806379804666,1.8769485701841913,30.30358199799945,6512.051442093741,7219.057336335367,0.009993910361247116,126.3563315291403,0.010000000000000054,0.07000000000000037,348.0000000000017,348.0000000000017,0.05000000000000025,35.17502908259457,9.840000000000051,39.70000000000021,14.310000000000079,0.200000000000001,128.28000000000065,20.900000000000112,26.000000000000135,82.25000000000043,647601.0000000035,12.800000000000065,0.3100000000000016,13.720116047141687
2020-08-08,4909.992578475421,45.07008857973857,51.280660388919365,93.35524518760604,0.26779499223686243,0.28641210820899143,0.07000000000000037,506587.9130529649,0.9002911313033011,5.859713490420852,50.42372722797915,1.6795832532914832,29.627698041578395,6297.322582863138,6980.775452154571,0.00999543277093535,128.98023345616375,0.010000000000000054,0.07000000000000037,348.0000000000017,348.0000000000017,0.05000000000000025,35.64891208343919,9.840000000000051,39.70000000000021,14.310000000000079,0.200000000000001,128.28000000000065,20.900000000000112,26.000000000000135,82.25000000000043,647601.0000000035,12.800000000000065,0.3100000000000016,14.293443728033358
2020-08-09,4952.956990417659,42.96441194223772,49.3275948392009,93.60478230699425,0.24953725904513255,0.2808056874915856,0.07000000000000037,512675.65390737145,0.8883429444697201,5.727461265197676,49.2545439665565,1.5140507237436622,28.860140047020934,6087.740854406573,6749.391964035135,0.009996574578201528,131.83392266807647,0.010000000000000054,0.07000000000000037,348.0000000000017,348.0000000000017,0.05000000000000025,36.15156043620582,9.840000000000051,39.70000000000021,14.310000000000079,0.200000000000001,128.28000000000065,20.900000000000112,26.000000000000135,82.25000000000043,647601.0000000035,12.800000000000065,0.3100000000000016,14.892542660740158
2020-08-10,4994.14555470724,41.188564289580725,47.328392961979915,93.83379035015533,0.22900814790375912,0.271815804080228,0.07000000000000037,518567.1747065474,0.8788052044738168,5.563857099512356,48.026638420942,1.3811747590326995,28.005738519428633,5891.520799175978,6526.685230298499,0.00999743093365116,134.7656359247809,0.010000000000000054,0.07000000000000037,348.0000000000017,348.0000000000017,0.05000000000000025,36.67968454822746,9.840000000000051,39.70000000000021,14.310000000000079,0.200000000000001,128.28000000000065,20.900000000000112,26.000000000000135,82.25000000000043,647601.0000000035,12.800000000000065,0.3100000000000016,15.508972791104132
2020-08-11,5033.538642436384,39.39308772914422,45.30684126317859,94.03975775938457,0.2059674877862552,0.2591016720646962,0.07000000000000037,524290.1676653347,0.8717567798905932,5.368804266133951,46.75233175688303,1.2782049218924962,27.065336764259847,5722.992958787291,6315.394142504102,0.009998073200238385,137.69372274190522,0.010000000000000054,0.07000000000000037,348.0000000000017,348.0000000000017,0.05000000000000025,37.22878829804848,9.840000000000051,39.70000000000021,14.310000000000079,0.200000000000001,128.28000000000065,20.900000000000112,26.000000000000135,82.25000000000043,647601.0000000035,12.800000000000065,0.3100000000000016,16.133719262272628
2020-08-12,5071.165326365111,37.626683928726344,43.301744392762146,94.22063926330068,0.18088156283387383,0.24276969296254958,0.07000000000000037,529860.3518317426,0.8671979986218892,5.142650387706482,45.46363472587177,1.2012084056127432,26.04043299151609,5570.184166407864,6116.063302417839,0.009998554900178803,140.5048476478965,0.010000000000000054,0.07000000000000037,348.0000000000017,348.0000000000017,0.05000000000000025,37.79302302702704,9.840000000000051,39.70000000000021,14.310000000000079,0.200000000000001,128.28000000000065,20.900000000000112,26.000000000000135,82.25000000000043,647601.0000000035,12.800000000000065,0.3100000000000016,16.759052963649737
2020-08-13,5107.119647650376,35.9543212852649,41.35797668500476,94.37538571767604,0.1547464985636731,0.22328428329657304,0.07000000000000037,535293.4116436848,0.8650683438274394,4.889760900023564,44.18746424737738,1.145538772581523,24.935544523856876,5433.0598119422975,5930.691820704789,0.009998916175134116,143.06727826985923,0.010000000000000054,0.07000000000000037,348.0000000000017,348.0000000000017,0.05000000000000025,38.36858223471766,9.840000000000051,39.70000000000021,14.310000000000079,0.200000000000001,128.28000000000065,20.900000000000112,26.000000000000135,82.25000000000043,647601.0000000035,12.800000000000065,0.3100000000000016,17.370139812773346
2020-08-14,5141.572815892928,34.453168242552465,39.51977081368898,94.50434148605936,0.12895580152456484,0.20140099527785985,0.07000000000000037,540604.1913927515,0.8652403335008328,4.614767345993761,42.92406618811874,1.106302938979961,23.759403798747336,5310.77974906662,5759.090180977856,0.0099991871313506,145.20727835333193,0.010000000000000054,0.07000000000000037,348.0000000000017,348.0000000000017,0.05000000000000025,38.95319265535311,9.840000000000051,39.70000000000021,14.310000000000079,0.200000000000001,128.28000000000065,20.900000000000112,26.000000000000135,82.25000000000043,647601.0000000035,12.800000000000065,0.3100000000000016,17.952153352053948
