date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,total_deaths_per_million,reproduction_rate,new_tests,new_tests_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_70_older,female_smokers,life_expectancy,population
2020-03-11,37.20965529557741,12.144847966486882,5.38004925400009,1.0000000000000038,0.0,0.0,10811.00000000004,0.3500000000000013,0.8733526528520716,10811.00000000004,12408.000000000051,34.65000000000013,3.710000000000014,21042.000000000084,1351.0000000000052,0.46000000000000185,21.187514944977732,31.900000000000126,0.6200000000000023,0.8000000000000032,80.23000000000033,2695131.0000000107
2020-03-12,51.9867997150989,14.987425511120795,7.474789984025188,1.0000000000000042,0.0,0.0,10811.000000000045,0.3500000000000014,0.8637101661345051,10811.000000000045,12408.000000000055,34.65000000000015,3.7100000000000155,21042.00000000009,1351.0000000000057,0.4600000000000021,23.324394771625954,31.90000000000014,0.6200000000000025,0.8000000000000034,80.23000000000036,2695131.0000000116
2020-03-13,69.67188711664107,17.83830668990172,9.837540936629129,1.0000000000000044,0.0,0.0,10811.00000000005,0.35000000000000153,0.8506601294489731,10811.00000000005,12408.000000000058,34.65000000000016,3.710000000000017,21042.0000000001,1351.0000000000061,0.4600000000000022,25.820592297206908,31.900000000000148,0.6200000000000028,0.8000000000000036,80.23000000000039,2695131.0000000126
2020-03-14,90.07970719268464,20.51387869228089,12.367599141385902,1.0000000000000047,0.0,0.0,10811.000000000051,0.35000000000000164,0.8346594474422577,10811.000000000051,12408.000000000062,34.65000000000017,3.7100000000000177,21042.000000000102,1351.0000000000064,0.4600000000000023,28.670547972097218,31.900000000000155,0.620000000000003,0.8000000000000038,80.2300000000004,2695131.000000013
2020-03-15,112.80966727234178,22.801844054763393,14.942292116220454,1.0000000000000049,0.0,0.0,10811.000000000053,0.3500000000000017,0.8164494983160189,10811.000000000053,12408.000000000065,34.650000000000176,3.710000000000018,21042.000000000106,1351.0000000000066,0.4600000000000024,31.828975135504777,31.900000000000162,0.6200000000000031,0.800000000000004,80.23000000000042,2695131.0000000135
2020-03-16,137.49637456543957,24.74062027442747,17.482282273978562,1.000000000000005,0.0,0.0,10811.000000000055,0.35000000000000175,0.7970753267105122,10811.000000000055,12408.000000000065,34.650000000000176,3.7100000000000186,21042.00000000011,1351.0000000000068,0.46000000000000246,35.24008477761443,31.900000000000166,0.6200000000000032,0.800000000000004,80.23000000000043,2695131.000000014
2020-03-17,164.0442104651272,26.588270635684903,19.935275700312662,1.000000000000005,0.0,0.0,10811.000000000056,0.35000000000000175,0.7780626359507907,10811.000000000056,12408.000000000065,34.650000000000176,3.710000000000019,21042.00000000011,1351.000000000007,0.4600000000000025,38.848204177910304,31.90000000000017,0.6200000000000032,0.800000000000004,80.23000000000044,2695131.000000014
2020-03-18,192.15723671115995,28.143352298030692,22.224350763599116,1.000000000000005,0.0,0.0,10811.000000000056,0.35000000000000175,0.7613677591221114,10811.000000000056,12408.000000000065,34.650000000000176,3.7100000000000195,21042.00000000011,1351.000000000007,0.4600000000000025,42.60016832412447,31.90000000000017,0.6200000000000032,0.800000000000004,80.23000000000044,2695131.000000014
2020-03-19,221.40268836077828,29.268196188616795,24.266582723636677,1.000000000000005,0.0006140917905623792,0.0,10811.000000000056,0.35000000000000175,0.7495497366007959,10811.000000000056,12408.000000000065,34.650000000000176,3.71000000000002,21042.00000000011,1351.000000000007,0.4600000000000025,46.44864644348128,31.90000000000017,0.6200000000000032,0.800000000000004,80.23000000000044,2695131.000000014
2020-03-20,251.25859351686734,29.87296356033788,25.987012188170347,1.000000000000005,0.0030462184873949706,0.0,10811.000000000056,0.35000000000000175,0.7453410354822722,10811.000000000056,12408.000000000065,34.650000000000176,3.71000000000002,21042.00000000011,1351.000000000007,0.4600000000000025,50.33021931871318,31.90000000000017,0.6200000000000032,0.800000000000004,80.23000000000044,2695131.000000014
