date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests_smoothed,tests_per_case,total_boosters_per_hundred,new_vaccinations,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,extreme_poverty,population
2022-04-10,920961.6639202163,4108.902071845116,4717.867074123256,13606.82148901467,109.63280683038334,132.6258585135088,646.2098142284487,1.0855945796905777,14769984.00000008,1300.5390602758662,49.69907757109133,2821146.5536752716,0.019991877360936355,79.05272697661164,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-11,924963.696097888,4002.0321776718183,4506.939796381071,13710.982470995023,104.16098198122332,125.2994960182927,649.0179031729535,1.1001744415552652,14769984.00000008,1187.3892144053493,49.85762187302723,2765009.721332734,0.019993908020702295,78.99607011933666,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-12,928877.0242550592,3913.3281571711277,4325.2814411772115,13809.678886213322,98.69641521894928,118.21740498075263,651.7636592801686,1.1092321563118932,14769984.00000008,1086.8012272228882,50.012502511520886,2717442.585117201,0.01999543101552675,78.9350514582809,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-13,932734.0213425562,3856.9970874969677,4174.7631738046975,13902.736152378175,93.0572661653433,111.40843948217093,654.4697992435791,1.112666521888091,14769984.00000008,999.0007264934438,50.16420181361272,2677566.7804668634,0.01999657326164509,78.87315963443476,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-14,936574.6377263756,3840.6163838192406,4057.905814904271,13989.988749707052,87.2525973292435,104.9025497150543,657.1643657545987,1.1106062262576986,14769984.00000008,923.6447707912215,50.3130859571253,2643766.714309427,0.019997429946233845,78.81421022356373,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-15,940441.4289411954,3866.7912148198334,3976.725228825267,14071.423398091556,81.43464838478016,98.72115759980086,659.8772369856333,1.10336190951228,14769984.00000008,860.3077991664616,50.45940173351955,2614060.7661780985,0.01999807245967541,78.76226400251454,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-16,944375.82650551,3934.397564314622,3931.8663648962665,14147.286439971402,75.86304188005256,92.86993849720047,662.6375087023804,1.0913816454503071,14769984.00000008,808.235144785319,50.60328106897035,2586133.4705611793,0.019998554344756586,78.72156564894485,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-17,948415.34103298,4039.5145274699735,3921.9537883780877,14218.164377489884,70.87793751863678,87.33340749280995,665.4715308480532,1.0751798992461028,14769984.00000008,766.4382622735409,50.744844378235356,2558853.3188226335,0.01999891575856747,78.69182129553226,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-18,952514.1754903148,4098.834457334871,3935.782675317185,14285.01906527645,66.8546877866829,82.00387591695727,668.34719548575,1.055364724046731,14769984.00000008,733.6359446043161,50.884176316274235,2531101.70534193,0.01999918681892563,78.66873361870813,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-19,956698.6925582674,4184.517067952678,3974.524006487894,14347.930588550118,62.91152327375497,76.8917593940852,671.2830126453413,1.0325678222852113,14769984.00000008,708.5215609096051,51.02131567211817,2502001.1335636587,0.01999939011419425,78.65315654887283,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-20,961038.156086446,4339.463528178478,4043.447910651317,14407.062114004722,59.131525454669884,72.04531162701194,674.3275957800638,1.0073990405988482,14769984.00000008,689.7171823176282,51.15624526518545,2471328.1287764967,0.020012147627662524,78.64920790939229,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-21,965620.7590331617,4582.602946715637,4149.446180402844,14462.692771670336,55.63065766566311,67.52805078554668,677.5428388841761,0.980369254592641,14769984.00000008,675.8929982443628,51.28889108815512,2439991.3131305333,0.020036421645116667,78.65877697276831,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-22,970535.6444203155,4914.885387153736,4299.174159057796,14515.242316309334,52.549544639034075,63.401829297951295,680.9912993312004,0.9519239997680115,14769984.00000008,665.8371290969769,51.41911290420806,2406971.264421271,0.020062545710243476,78.68208159835463,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-23,975859.4210495625,5323.776629247017,4497.657155815656,14565.289623463435,50.047307154130166,59.714136194536586,684.7267350026029,0.9224426766198042,14769984.00000008,658.569611528616,51.546718947248365,2370466.6351291435,0.02007599784118296,78.7180860856439,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-24,981646.0502894358,5786.629239873217,4747.245257133242,14613.586561488999,48.29693802558475,56.48857386535951,688.7870071343061,0.8922289046852809,14769984.00000008,653.2972926800762,51.671470788195656,2328258.8645175137,0.02006023044294284,78.76481456423303,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-25,987685.5409976213,6039.490708185464,5024.482145338628,14661.156630877598,47.57006938861332,53.73392571252972,693.0247784599743,0.8615705149716217,14769984.00000008,649.422969510058,51.79309142237675,2279237.4256990626,0.01999879274170942,78.81958603629705,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-26,994036.247910467,6350.706912845637,5333.93810544871,14708.248614076125,47.09198319853827,51.47428381251629,697.4809956096876,0.8306946929514064,14769984.00000008,646.5172271325443,51.911275772741945,2223198.253501837,0.019876922610580737,78.87919065844463,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
2022-04-27,1000891.8764790702,6855.6285686032115,5693.390497315372,14754.982032632099,46.733418555981984,49.70340565188889,702.2915640957606,0.79980091628757,14769984.00000008,644.3379203494092,52.02570300494977,2159889.866596969,0.019682740438866413,78.9400219531096,48.40000000000025,38.7000000000002,0.7000000000000035,1425887360.0000074
