date,total_cases,new_cases,total_deaths,new_deaths,population
2020-03-11,4.000000000000015,0.0,0.0,0.0,47.00000000000018
2020-03-12,4.000000000000017,0.0,0.0,0.0,47.0000000000002
2020-03-13,4.000000000000018,0.0,0.0,0.0,47.00000000000021
2020-03-14,4.000000000000019,0.0,0.0,0.0,47.00000000000022
2020-03-15,4.0000000000000195,0.0,0.0,0.0,47.00000000000023
2020-03-16,4.00000000000002,0.0,0.0,0.0,47.000000000000234
2020-03-17,4.00000000000002,0.0,0.0,0.0,47.00000000000024
2020-03-18,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-03-19,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-03-20,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-03-21,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-03-22,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-03-23,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-03-24,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-03-25,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-03-26,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-03-27,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-03-28,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-03-29,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-03-30,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-03-31,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-04-01,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-04-02,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-04-03,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-04-04,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-04-05,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-04-06,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-04-07,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-04-08,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-04-09,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-04-10,4.00000000000002,0.0,0.0,0.0,47.00000000000025
2020-04-11,4.00000000000002,0.0,0.0,0.0,47.00000000000025
