date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_70_older,median_age,aged_65_older,extreme_poverty,cardiovasc_death_rate,female_smokers,hospital_beds_per_thousand,life_expectancy,human_development_index,population
2020-10-11,78567.53192849492,609.5987086013889,591.6448085404088,2390.632182863193,15.291836481504406,16.13612427367457,0.03000000000000016,1.0362329952291278,276.0000000000015,0.0,78.69397980491962,2.880000000000015,24.90000000000013,4.650000000000025,16.00000000000008,240.2100000000013,2.00000000000001,0.7000000000000035,75.27000000000041,0.6300000000000033,10432858.000000056
2020-10-12,79176.1772430746,608.6453145796786,597.4590521066649,2405.586338181658,14.954155318465105,15.896779856839661,0.03000000000000016,1.0355676035647046,276.0000000000015,0.0,78.7294486545948,2.880000000000015,24.90000000000013,4.650000000000025,16.00000000000008,240.2100000000013,2.00000000000001,0.7000000000000035,75.27000000000041,0.6300000000000033,10432858.000000056
2020-10-13,79783.15754445862,606.9803013840165,601.7809338763797,2420.164220346008,14.577882164349816,15.609545138266483,0.03000000000000016,1.0348899883878155,276.0000000000015,0.0,78.78462301324744,2.880000000000015,24.90000000000013,4.650000000000025,16.00000000000008,240.2100000000013,2.00000000000001,0.7000000000000035,75.27000000000041,0.6300000000000033,10432858.000000056
2020-10-14,80388.8164615115,605.6589170528807,604.6436110407698,2434.304807147034,14.140586801025794,15.275638168502727,0.03000000000000016,1.0342032055765773,276.0000000000015,0.0,78.86185446096997,2.880000000000015,24.90000000000013,4.650000000000025,16.00000000000008,240.2100000000013,2.00000000000001,0.7000000000000035,75.27000000000041,0.6300000000000033,10432858.000000056
2020-10-15,80994.1891884091,605.3727268976122,606.2739650679084,2447.946575625308,13.641768478274212,14.897927883002794,0.03000000000000016,1.0335095470395772,276.0000000000015,0.0,78.96223279789307,2.880000000000015,24.90000000000013,4.650000000000025,16.00000000000008,240.2100000000013,2.00000000000001,0.7000000000000035,75.27000000000041,0.6300000000000033,10432858.000000056
2020-10-16,81600.7297225933,606.540534184199,607.0475416742354,2461.0439491721195,13.097373546811685,14.481235666615397,0.03000000000000016,1.0328107317082558,276.0000000000015,0.0,79.08545223255048,2.880000000000015,24.90000000000013,4.650000000000025,16.00000000000008,240.2100000000013,2.00000000000001,0.7000000000000035,75.27000000000041,0.6300000000000033,10432858.000000056
2020-10-17,82210.10629323791,609.3765706446143,607.4547558031886,2473.579632855176,12.535683683056421,14.032561526949284,0.03000000000000016,1.0321080487811933,276.0000000000015,0.0,79.22971102315246,2.880000000000015,24.90000000000013,4.650000000000025,16.00000000000008,240.2100000000013,2.00000000000001,0.7000000000000035,75.27000000000041,0.6300000000000033,10432858.000000056
2020-10-18,82824.04793259825,613.94163936032,608.0755453591796,2485.573864912879,11.994232057702803,13.5612537243975,0.03000000000000016,1.031402465157325,276.0000000000015,0.0,79.39163620854093,2.880000000000015,24.90000000000013,4.650000000000025,16.00000000000008,240.2100000000013,2.00000000000001,0.7000000000000035,75.27000000000041,0.6300000000000033,10432858.000000056
2020-10-19,83443.13654738027,619.0886147820379,609.5677480626952,2497.100178904443,11.526313991564123,13.071396498857288,0.03000000000000016,1.0306947060108524,276.0000000000015,0.0,79.5662271564058,2.880000000000015,24.90000000000013,4.650000000000025,16.00000000000008,240.2100000000013,2.00000000000001,0.7000000000000035,75.27000000000041,0.6300000000000033,10432858.000000056
2020-10-20,84068.2803678721,625.14382049183,612.1627549707456,2508.1461264213867,11.045947516943952,12.566729985649122,0.03000000000000016,1.0299853152224265,276.0000000000015,0.0,79.75031742612799,2.880000000000015,24.90000000000013,4.650000000000025,16.00000000000008,240.2100000000013,2.00000000000001,0.7000000000000035,75.27000000000041,0.6300000000000033,10432858.000000056
