date,total_cases,new_cases,total_deaths,new_deaths,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2021-10-17,0.0,0.0,0.0,0.0,2136.2408868089296,0.47800792563586214,382836.00000000204
2021-10-18,0.0,0.0,0.0,0.0,2116.662517078258,0.47434628036135107,382836.00000000204
2021-10-19,0.0,0.0,0.0,0.0,2091.5958535488385,0.46823498499628863,382836.00000000204
2021-10-20,0.0,0.0,0.0,0.0,2059.226059521683,0.4592445968596929,382836.00000000204
2021-10-21,0.0,0.0,0.0,0.0,2018.3017682999591,0.44706919425110514,382836.00000000204
2021-10-22,0.0,0.0,0.0,0.0,1968.2127515643385,0.43158243867475476,382836.00000000204
2021-10-23,0.0,0.0,0.0,0.0,1909.044437622836,0.4128439072219683,382836.00000000204
2021-10-24,0.0,0.0,0.0,0.0,1841.3387580813828,0.3910529368806008,382836.00000000204
2021-10-25,0.0,0.0,0.0,0.0,1765.9587550510198,0.36649170653892543,382836.00000000204
2021-10-26,0.0,0.0,0.0,0.0,1684.160404361958,0.339561895612016,382836.00000000204
2021-10-27,0.0,0.0,0.0,0.0,1597.5827143897636,0.3107664443334467,382836.00000000204
2021-10-28,0.0,0.0,0.0,0.0,1508.1680797483682,0.28072318489843695,382836.00000000204
2021-10-29,0.0,0.0,0.0,0.0,1418.0363700892353,0.2500931320481007,382836.00000000204
2021-10-30,0.0,0.0,0.0,0.0,1329.3254676121767,0.2195540119320033,382836.00000000204
2021-10-31,0.0,0.0,0.0,0.0,1244.178231284441,0.1898103053290931,382836.00000000204
2021-11-01,0.0,0.0,0.0,0.0,1164.8175777942952,0.16160158807891428,382836.00000000204
2021-11-02,0.0,0.0,0.0,0.0,1093.3517095254251,0.13561941988917933,382836.00000000204
2021-11-03,0.0,0.0,0.0,0.0,1031.6105662423247,0.11244339491042042,382836.00000000204
2021-11-04,0.0,0.0,0.0,0.0,981.0081670863988,0.09247895859393365,382836.00000000204
2021-11-05,0.0,0.0,0.0,0.0,942.4279417336754,0.07594486858992346,382836.00000000204
2021-11-06,0.0,0.0,0.0,0.0,916.1216188729791,0.06283744911535795,382836.00000000204
2021-11-07,0.0,0.0,0.0,0.0,900.9816795716715,0.05288956065681584,382836.00000000204
2021-11-08,0.0,0.0,0.0,0.0,895.7061853413276,0.045734397383368215,382836.00000000204
2021-11-09,0.0,0.0,0.0,0.0,899.3330488314656,0.04094818006726117,382836.00000000204
2021-11-10,0.0,0.0,0.0,0.0,911.5789075027214,0.038127586246308874,382836.00000000204
2021-11-11,0.0,0.0,0.0,0.0,933.0325969166352,0.036884474429398795,382836.00000000204
2021-11-12,0.0,0.0,0.0,0.0,965.245617693942,0.036887337722501634,382836.00000000204
2021-11-13,0.0,0.0,0.0,0.0,1010.7381563861659,0.037925199478043056,382836.00000000204
2021-11-14,0.0,0.0,0.0,0.0,1074.7632488345516,0.03999092611144121,382836.00000000204
2021-11-15,0.0,0.0,0.0,0.0,1162.89245925035,0.04308789400180981,382836.00000000204
2021-11-16,0.0,0.0,0.0,0.0,1279.5272629898009,0.047214918562120206,382836.00000000204
2021-11-17,0.0,0.0,0.0,0.0,1426.9355894530836,0.05229935957446678,382836.00000000204
2021-11-18,0.0,0.0,0.0,0.0,1604.6797625487684,0.05823744792907255,382836.00000000204
2021-11-19,0.0,0.0,0.0,0.0,1809.3404133789359,0.0648453451581814,382836.00000000204
2021-11-20,0.0,0.0,0.0,0.0,2034.462372089797,0.0718893417710279,382836.00000000204
2021-11-21,0.0,0.0,0.0,0.0,2270.379746100319,0.07905291453770869,382836.00000000204
2021-11-22,0.0,0.0,0.0,0.0,2506.011102400066,0.08600203238033402,382836.00000000204
2021-11-23,0.0,0.0,0.0,0.0,2729.763934427721,0.09239066455674388,382836.00000000204
2021-11-24,0.0,0.0,0.0,0.0,2930.410168015366,0.09789448516610365,382836.00000000204
2021-11-25,0.0,0.0,0.0,0.0,3097.942419159558,0.10221627434645895,382836.00000000204
2021-11-26,0.0,0.0,0.0,0.0,3224.4097717064546,0.10514313659371638,382836.00000000204
2021-11-27,0.0,0.0,0.0,0.0,3304.74302690525,0.10654594326623121,382836.00000000204
2021-11-28,0.0,0.0,0.0,0.0,3335.816174509906,0.10635806766298964,382836.00000000204
2021-11-29,0.0,0.0,0.0,0.0,3315.5836564157244,0.10453309502649254,382836.00000000204
2021-11-30,0.0,0.0,0.0,0.0,3243.9909582135424,0.10109115934356054,382836.00000000204
2021-12-01,0.0,0.0,0.0,0.0,3123.3985515625527,0.09613301074878235,382836.00000000204
2021-12-02,0.0,0.0,0.0,0.0,2958.6383771496166,0.08984248592196178,382836.00000000204
2021-12-03,0.0,0.0,0.0,0.0,2756.793521065189,0.08245555545633891,382836.00000000204
2021-12-04,0.0,0.0,0.0,0.0,2526.77397079243,0.07426474351533117,382836.00000000204
2021-12-05,0.0,0.0,0.0,0.0,2279.700145191933,0.06562696746196708,382836.00000000204
