date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,population
2020-03-11,1.9508962015683444,0.13401224425487407,0.12256528566008817,6.000000000000025,0.0,0.0,0.06860107511509313,1.410000000000005,696.0000000000027,0.0,1.3372509100107681,18.80000000000007,27914542.00000011
2020-03-12,1.9641740904134941,0.16570929228266768,0.13002437646482243,6.000000000000027,0.0,0.0,0.06925268093231218,1.4100000000000055,696.000000000003,0.0,2.5263464168077205,18.800000000000082,27914542.00000012
2020-03-13,2.0522514469310025,0.23249140683320363,0.14542083567764094,6.000000000000028,0.0,0.0,0.07263343442256973,1.410000000000006,696.0000000000032,0.0,4.175629560504962,18.80000000000009,27914542.000000127
2020-03-14,2.2517451462842284,0.3334021685702817,0.17360069463153416,6.00000000000003,0.0,0.0,0.0800599174458867,1.4100000000000064,696.0000000000034,0.0,6.299796022996709,18.800000000000093,27914542.000000134
2020-03-15,2.594804334826298,0.4640464551284235,0.2188916974442393,6.000000000000032,0.0,0.0,0.09268520957762785,1.4100000000000068,696.0000000000034,0.0,8.888909396045227,18.800000000000097,27914542.00000014
2020-03-16,3.0269371231300717,0.538031609284263,0.2771918823268775,6.000000000000032,0.0,0.0,0.10852521940041567,1.4100000000000068,696.0000000000034,0.0,11.901383404500011,18.800000000000097,27914542.00000014
2020-03-17,3.5728531332331452,0.6352625563491066,0.35147584451826813,6.000000000000032,0.0,0.0,0.12847019121482395,1.4100000000000068,696.0000000000034,0.0,15.264548542386033,18.800000000000097,27914542.00000014
2020-03-18,4.3015047497309435,0.8008328254712691,0.4486141555283271,6.000000000000032,0.0,0.0,0.15501311529217837,1.4100000000000068,696.0000000000034,0.0,18.873774205755307,18.800000000000097,27914542.00000014
2020-03-19,5.301128562298219,1.0549879028785027,0.5769675655796661,6.000000000000032,0.0036845507433742753,0.0,0.19134645573222403,1.4100000000000068,696.0000000000034,0.0,22.660941190838827,18.800000000000097,27914542.00000014
2020-03-20,6.660526447580175,1.399337242608137,0.7445826554387913,6.000000000000032,0.018277310924369822,0.0,0.24068469635637602,1.4100126050420236,696.0000000000034,0.0,26.585763100627556,18.800000000000097,27914542.00000014
2020-03-21,8.455026380610812,1.8215132745546847,0.9578385752895028,6.000000000000032,0.04347527472527493,0.003988687782805438,0.3057562501276576,1.4100367647058893,696.0000000000034,0.0,30.569244432775186,18.800000000000097,27914542.00000014
2020-03-22,10.735953043376686,2.298665660505547,1.2204320988879442,6.000000000000032,0.07808156916612839,0.013498303167420867,0.3884223912156536,1.4100628030058249,696.0000000000034,0.0,34.49863128838236,18.800000000000097,27914542.00000014
2020-03-23,12.965587924096859,2.2429391290249283,1.4643727166998977,5.991176470588267,0.11140539148351707,0.029293087427278732,0.46923599186035136,1.4100887958548876,696.0000000000034,0.0,38.27080297501341,18.800000000000097,27914542.00000014
2020-03-24,15.228828952122445,2.273219214254154,1.6986575271823277,5.974264705882385,0.15063549157643907,0.05202379100678758,0.5512699156793628,1.4101097449196096,696.0000000000034,0.0,41.79734592873912,18.800000000000097,27914542.00000014
2020-03-25,17.96693522411126,2.7455899116602387,1.9767004821676153,5.9560378959276346,0.1990625915330085,0.08209444312580842,0.6504883126483403,1.410098468999987,696.0000000000034,0.0,45.00835915566883,18.800000000000097,27914542.00000014
2020-03-26,21.806827145297447,3.8455046509397577,2.3755093629185406,5.946666430995507,0.25705389258317646,0.11956242898301209,0.789571308823684,1.410015997839197,696.0000000000034,0.0,47.85530831309947,18.800000000000097,27914542.00000014
2020-03-27,27.433061535443727,5.630443937461459,2.9800685121695194,5.957737379807725,0.32278395531327186,0.16406354765839715,0.9932835236345716,1.4098319725229032,696.0000000000034,0.0,50.313166270377366,18.800000000000097,27914542.00000014
2020-03-28,35.49181295830556,8.061908583348217,3.871625883157529,6.000769098204218,0.3927828598269069,0.21475580554017845,1.2850004578519818,1.4095042314930195,696.0000000000034,0.0,52.38201852954458,18.800000000000097,27914542.00000014
2020-03-29,46.518859718729274,11.029414630788501,5.118908326395308,6.086097185644123,0.4623473258656562,0.27027726139495345,1.6841032845654607,1.4090008303747763,696.0000000000034,0.0,54.08139366445005,18.800000000000097,27914542.00000014
