date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,life_expectancy,population
2020-11-10,13.00000000000001,2.765047953718775e-14,6.949861270602155e-14,1.000000000000005,1.1656435827337176e-25,2904.380000000001,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-11,13.000000000000025,2.073785965289081e-14,5.2123959529516165e-14,1.000000000000005,8.742326870502882e-26,2904.3800000000047,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-12,13.000000000000036,1.555339473966811e-14,3.9092969647137124e-14,1.000000000000005,6.556745152877162e-26,2904.3800000000074,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-13,13.000000000000044,1.1665046054751082e-14,2.931972723535284e-14,1.000000000000005,4.9175588646578716e-26,2904.380000000009,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-14,13.000000000000052,8.74878454106331e-15,2.198979542651463e-14,1.000000000000005,3.6881691484934037e-26,2904.380000000011,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-15,13.000000000000057,6.561588405797483e-15,1.649234656988597e-14,1.000000000000005,2.766126861370053e-26,2904.380000000012,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-16,13.00000000000006,4.9211913043481125e-15,1.2369259927414478e-14,1.000000000000005,2.0745951460275398e-26,2904.380000000013,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-17,13.000000000000064,3.6908934782610844e-15,9.276944945560858e-15,1.000000000000005,1.5559463595206547e-26,2904.3800000000138,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-18,13.000000000000066,2.7681701086958135e-15,6.957708709170643e-15,1.000000000000005,1.166959769640491e-26,2904.380000000014,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
2020-11-19,13.000000000000068,2.07612758152186e-15,5.2182815318779826e-15,1.000000000000005,8.752198272303683e-27,2904.3800000000147,43.00000000000021,0.9700000000000049,74.1600000000004,4413.000000000024
