date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,total_vaccinations_per_hundred,reproduction_rate,people_vaccinated_per_hundred,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,median_age,cardiovasc_death_rate,population
2021-06-20,161.01229738075833,0.013014571995058875,0.002199942288981083,1.000000000000005,4.889889346750338e-21,1.2275014950487989e-20,4.180000000000021,23.22388409893987,0.0006109127545248945,15.047225020964692,198.77301469797885,0.061446749139602665,29.40000000000016,243.9600000000013,125459.00000000067
2021-06-21,161.0317181874759,0.02003888633307508,0.00497574857193944,1.000000000000005,3.667417010062753e-21,9.206261212865993e-21,4.180000000000021,23.42121681877969,0.000964810293107636,15.108976273341973,209.44084699633515,0.06158296101436595,29.40000000000016,243.9600000000013,125459.00000000067
2021-06-22,161.05917972011588,0.02792509235161634,0.009068915501352788,1.000000000000005,2.750562757547065e-21,6.904695909649494e-21,4.180000000000021,23.630935123088403,0.0014026639577104979,15.170496980147327,221.5444199919188,0.06172261184028328,29.40000000000016,243.9600000000013,125459.00000000067
2021-06-23,161.09504736280854,0.036215312476382024,0.014387659476693352,1.000000000000005,2.0629220681602987e-21,5.178521932237121e-21,4.180000000000021,23.852968426072916,0.001917544186770273,15.231641573415068,234.78144039794722,0.06181894659837674,29.40000000000016,243.9600000000013,125459.00000000067
2021-06-24,161.1391911458946,0.044404535423867096,0.020704771756841323,1.000000000000005,1.547191551120224e-21,3.883891449177841e-21,4.180000000000021,24.086581730950048,0.0024969816694894753,15.292245793599045,248.74980040188683,0.06182235474516273,29.40000000000016,243.9600000000013,125459.00000000067
2021-06-25,161.19094798126991,0.051952399628663194,0.027691474745232855,1.000000000000005,1.160393663340168e-21,2.9129185868833807e-21,4.180000000000021,24.330375858652133,0.003110131210100307,15.3521374802995,262.95970001052996,0.06169692119785081,29.40000000000016,243.9600000000013,125459.00000000067
2021-06-26,161.24909333889383,0.058292030813934484,0.034942814203721084,1.000000000000005,8.70295247505126e-22,2.1846889401625355e-21,4.180000000000021,24.582342333549576,0.0037464639537937256,15.411149975124452,276.86697927421983,0.06142185056225374,29.40000000000016,243.9600000000013,125459.00000000067
2021-06-27,161.3118200041706,0.0628366701692745,0.04199670341297188,1.000000000000005,6.527214356288445e-22,1.6385167051219016e-21,4.180000000000021,24.840038493628835,0.004409072270451961,15.469126679330248,289.8421543005263,0.06098154629273111,29.40000000000016,243.9600000000013,125459.00000000067
2021-06-28,161.377982650187,0.0662451496857795,0.048524676880995966,1.000000000000005,4.895410767216334e-22,1.2288875288414262e-21,4.180000000000021,25.100691858493892,0.005086054364442084,15.52590720360612,301.2173300111095,0.0603707751041638,29.40000000000016,243.9600000000013,125459.00000000067
2021-06-29,161.44693236579172,0.06901159335677172,0.05432110947070182,1.000000000000005,3.6715580754122505e-22,9.216656466310697e-22,4.180000000000021,25.361315020013222,0.005777372059692271,15.581339743363952,310.3640964094315,0.05957381500620955,29.40000000000016,243.9600000000013,125459.00000000067
2021-06-30,161.51729365055604,0.07040769307834166,0.059141284591714235,1.000000000000005,2.7536685565591876e-22,6.912492349733023e-22,4.180000000000021,25.61886083791604,0.0064902688637737405,15.635291514513474,316.74849247514135,0.05857192557269214,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-01,161.58730766519585,0.07004882087533681,0.06275641593247355,1.000000000000005,2.0652514174193907e-22,5.184369262299767e-22,4.180000000000021,25.870407864100564,0.007235833515962187,15.687657734601537,319.9772872619802,0.05737205988734077,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-02,161.6550896693884,0.06780810886917238,0.06499491375931,1.000000000000005,1.548938563064543e-22,3.8882769467248255e-22,4.180000000000021,26.113368438476233,0.008013817606267064,15.738369512974446,319.8364883941262,0.05600367322836926,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-03,161.7188221001346,0.06375200925368932,0.06577333464074955,1.000000000000005,1.1617039222984072e-22,2.916207710043619e-22,4.180000000000021,26.345713788456436,0.008836963075417831,15.787400922707587,316.3203365606241,0.05449160430718522,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-04,161.776899380531,0.05809196427704791,0.06511959374074323,1.000000000000005,8.712779417238054e-23,2.187155782532714e-22,4.180000000000021,26.565900356579228,0.009711917523111548,15.834734042293894,309.5911412375338,0.05285884544111943,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-05,161.82677602214704,0.04988765452646728,0.06283743286211858,1.000000000000005,6.534584562928541e-23,1.6403668368995355e-22,4.180000000000021,26.772553995848902,0.010660634974912864,15.880370967587096,299.89967460946946,0.051127004151945,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-06,161.8676741303791,0.04090636791488926,0.05890861763301433,1.000000000000005,4.900938422196405e-23,1.2302751276746517e-22,4.180000000000021,26.96466251877239,0.011699096140686932,15.924355933696624,287.5983984910391,0.04933975860846431,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-07,161.900141505994,0.032473570377020214,0.05360227770439879,1.000000000000005,3.675703816647304e-23,9.227063457559888e-23,4.180000000000021,27.14169032799336,0.012857062894138363,15.966785211423105,273.13717960518983,0.04754311889170705,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-08,161.92572022128627,0.025583361363889917,0.04738044130997333,1.000000000000005,2.756777862485478e-23,6.920297593169916e-23,4.180000000000021,27.303634608124526,0.014155563815723382,16.007807834599305,257.0398271731881,0.04579421699683465,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-09,161.94669805219635,0.020981315463770706,0.04082718618609992,1.000000000000005,2.0675833968641082e-23,5.190223194877437e-23,4.180000000000021,27.451037688478696,0.015638327677565025,16.047619450610135,239.8675077425287,0.0441426892505349,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-10,161.96592205239895,0.01922661361786683,0.03459550276174689,1.000000000000005,1.5506875476480812e-23,3.892667396158078e-23,4.180000000000021,27.584966533973798,0.017347039229408445,16.08645101329699,222.17721451730398,0.04262770213505701,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-11,161.98665873386958,0.02073864153208147,0.029367441550948177,1.000000000000005,1.1630156607360609e-23,2.919500547118559e-23,4.180000000000021,27.706902756238076,0.019290175996070587,16.124557209090874,204.5133892331624,0.041286710667226875,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-12,162.00996819390596,0.02331093008248066,0.025635148066895687,1.000000000000005,8.722617455520456e-24,2.189625410338919e-23,4.180000000000021,27.818593772322192,0.02147894421424755,16.16221567207813,187.43901736120037,0.04013681709867489,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-13,162.03740504006447,0.027437948693082265,0.023726199447068996,1.000000000000005,6.5419630916403425e-24,1.6422190577541894e-23,4.180000000000021,27.921972155356748,0.023929020701086483,16.199710742884918,171.48512921353134,0.03919650422672115,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-14,162.07167045748878,0.034266244325241633,0.023951727801203505,1.000000000000005,4.906472318730257e-24,1.2316642933156421e-23,4.180000000000021,28.019046897476137,0.026649254213597713,16.237316439747513,157.11079261150613,0.038489815144830825,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-15,162.11584075520472,0.04417091789163656,0.026541042134031294,1.000000000000005,3.679854239047693e-24,9.237482199867316e-24,4.180000000000021,28.111773606942215,0.02965678552121967,16.275278838721913,144.66850169844875,0.03803849904446674,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-16,162.17278877584138,0.05694848576843666,0.0315925947873367,1.000000000000005,2.7598906792857693e-24,6.928111649900487e-24,4.180000000000021,28.201908905917755,0.03295105714350046,16.313798010747988,134.37729741152256,0.03784513155548973,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-17,162.244749952922,0.07196152592943043,0.039037206271498065,1.000000000000005,2.069918009464327e-24,5.1960837374253655e-24,4.180000000000021,28.290852978727305,0.03652955012976503,16.353009626354485,126.2981152693725,0.037893060043475785,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-18,162.33299685383201,0.08824716254662052,0.048610483889144004,1.000000000000005,1.5524385070982454e-24,3.897062803069024e-24,4.180000000000021,28.37958407331969,0.040397970612837744,16.39301132910193,120.33979524323831,0.03815896762472066,29.40000000000016,243.9600000000013,125459.00000000067
2021-07-19,162.43381357444017,0.10081691683562814,0.059655665114660306,1.000000000000005,1.164328880323684e-24,2.922797102301768e-24,4.180000000000021,28.468987320849998,0.044576273693306474,16.43387637474687,116.34555425401905,0.03861130716650435,29.40000000000016,243.9600000000013,125459.00000000067
