date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,total_deaths_per_million,reproduction_rate,icu_patients,hosp_patients,weekly_icu_admissions,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population_density,median_age,male_smokers,extreme_poverty,cardiovasc_death_rate,population,excess_mortality_cumulative,excess_mortality
2022-04-09,11646541.276173964,10747.866140696688,11997.857408460366,104440.07225368782,46.5934332139278,45.810140853704254,51.68320772942108,2183.6432551453076,0.9869872636987623,373.3403404686293,3889.830199930858,203.56685268711715,58101.93371616966,62579.92760006695,0.1858818218315796,5.398036929324293,86.55802622527652,47657.413330573,20447.257273288036,0.0017095985177863291,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.136677785491509,4.082859282953141
2022-04-10,11657078.138125964,10536.861951999581,11586.877316526283,104487.18382827505,47.111574587239716,46.02845518778957,51.70334499967,2184.628267150839,0.9764741258606923,364.57886556478854,3912.821421764568,203.2853528314338,56932.690671742705,61044.13296572579,0.18880163786689763,5.327233256139963,86.56226181196857,47657.30999792981,19487.218068088223,0.0012821988883397468,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.131123400527825,4.408131533966641
2022-04-11,11667502.39430231,10424.256176346176,11229.460615384383,104534.74218600927,47.558357734224295,46.32302982006008,51.72243180358949,2185.622571242253,0.9673101839236394,356.1058201496746,3941.469282225177,202.92104435854657,55924.32422552655,59640.37659889041,0.1922468327957779,5.24530697183995,86.56629697999418,47657.232498447425,18545.314536845115,0.0009616491662548101,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.125977488986702,4.743861578723211
2022-04-12,11677854.429889645,10352.035587333983,10933.32751939221,104582.80668798802,48.064501978754905,46.69206260421772,51.7404774448983,2186.6274058072586,0.9598213580461569,348.0460910333941,3977.6696410483323,202.53031138785008,55096.674778711895,58371.86827657578,0.19616346978106125,5.153954372383525,86.57012109818719,47657.17437383564,17626.401141806447,0.0007212368746911076,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.12118846811136,5.080826602363591
2022-04-13,11688189.64019359,10335.21030394588,10705.18074830306,104631.47817371579,48.67148572776373,47.1339684140554,51.7575472939733,2187.6448825713487,0.9542782680498096,340.569975514865,4023.600679396468,202.24558421962087,54447.28531803528,57244.83250995292,0.20049024939461976,5.054919560800256,86.57373395012186,47657.13078037679,16738.136926167397,0.0005409276560183307,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.1166983508065,5.40920086875488
2022-04-14,11698568.654030148,10379.013836556709,10549.080988505913,104680.86354302132,49.385369305519056,47.64598519871227,51.77375972171901,2188.677244669303,0.950943025536389,333.8387776930335,4080.841766819496,202.21135364629316,53987.31815788659,56269.85141866386,0.2051517853006516,4.9501004656874645,86.57714244169084,47657.09808528266,15889.555361076762,0.000405695742013748,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.112448617662096,5.719760680193005
2022-04-15,11709050.001269234,10481.347239085291,10465.228488955403,104731.04919249561,50.185649474291274,48.22312852411507,51.789289989625075,2189.726310198813,0.9500248192492549,328.051142093305,4150.758926924583,202.57060314680805,53719.46888667617,55458.46136619577,0.21008038713321364,4.84155240162501,86.58036008898159,47657.07356396206,15091.261430309853,0.000304271806510311,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.10838531355594,6.00481002902924
2022-04-16,11719684.613492342,10634.612223108425,10449.049258119281,104782.08109282046,51.03190032485234,48.85740747905922,51.80434765454022,2190.7930548856993,0.951664865244958,323.33507602699274,4234.228600494025,203.441187654224,53617.76218536919,54817.86633815693,0.2151856943576675,4.731190157715208,86.5834087440021,47657.05517297161,14357.675484497111,0.00022820385488273324,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.104463562690286,6.258896768239758
2022-04-17,11730511.69948579,10827.085993446397,10490.509711689023,104833.94984676482,51.86875394435039,49.537236604769596,51.81915942730288,2191.8772990828297,0.9560073755012699,319.5472507823652,4327.997484630383,204.86940076006067,53700.528086990766,54356.13184799398,0.22040656230024835,4.620763335804188,86.58631729306495,47657.04137972877,13703.870252674722,0.00017115289116204993,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.100651647454058,6.479371671202452
2022-04-18,11741499.069087531,10987.369601742863,10570.954339035043,104886.53914654758,52.5892997827619,50.25618391770138,51.833952520323834,2192.9766284814855,0.9631724676311251,316.40035405316087,4427.770851029355,206.83955865020093,54005.70172135175,54082.04739924701,0.22569115314082977,4.5119267358544395,86.58911988538559,47657.031034796644,13143.24000366249,0.00012836466837153746,93.10000000000045,45.50000000000025,31.40000000000017,1.000000000000005,99.40000000000052,47558632.00000026,10.096934760154229,6.666829658379225
