date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,total_deaths_per_million,reproduction_rate,icu_patients,hosp_patients,new_tests,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,extreme_poverty,diabetes_prevalence,male_smokers,population,excess_mortality_cumulative,excess_mortality
2020-03-11,175.33765310989344,40.20490515815412,22.386860103176584,2.780189479638019,0.03426578903321535,0.013254726917572603,11789.000000000045,0.26908659906270294,2.1773690523108216,3.0000000000000124,3.6536456365600434,11789.000000000045,0.0500000000000002,21.70000000000008,9317.000000000035,0.060000000000000234,21.42971168097401,19.98000000000008,41.00000000000016,0.5000000000000019,4.790000000000019,18.90000000000007,10549349.000000043,2.0200000000000076,4.894202581032434
2020-03-12,220.48766067176223,47.53905160297032,27.83669476543954,2.7333321549773864,0.09892170764433651,0.02584699218236177,11789.000000000051,0.2646284593164199,2.1451103525400987,3.0000000000000133,7.1397494181117125,11789.000000000051,0.05000000000000021,21.70000000000009,9317.000000000038,0.06000000000000026,22.7936331534193,19.98000000000009,41.00000000000018,0.5000000000000021,4.7900000000000205,18.900000000000077,10549349.000000047,2.0200000000000085,4.886827713777841
2020-03-13,274.3461107268345,55.584896329894306,34.01146338177203,2.788686899038473,0.22063601247210252,0.05512667917232415,11789.000000000055,0.26989506782280326,2.1092382265899507,3.000000000000014,12.278325315038245,11789.000000000055,0.050000000000000225,21.7000000000001,9317.000000000042,0.060000000000000275,24.295377741599744,19.980000000000096,41.00000000000019,0.5000000000000022,4.790000000000022,18.900000000000084,10549349.00000005,2.0200000000000093,4.877880735467287
2020-03-14,337.0542663030452,63.87328763203624,40.77208056800332,3.003845491020941,0.3971027365680406,0.10807012250141536,11789.000000000056,0.2903658710028495,2.07031958784809,3.000000000000015,19.588058789122947,11789.000000000056,0.05000000000000024,21.700000000000102,9317.000000000044,0.06000000000000029,25.927493067027257,19.9800000000001,41.0000000000002,0.5000000000000023,4.790000000000023,18.900000000000087,10549349.000000052,2.02000000000001,4.8707909653044155
2020-03-15,408.0899078720812,71.79711181323222,47.918526489351,3.4304859282204627,0.6204514868151726,0.1906351710615824,11789.000000000058,0.33095766117068975,2.0290948945059797,3.000000000000016,29.759321402766655,11789.000000000058,0.05000000000000025,21.700000000000106,9317.000000000045,0.0600000000000003,27.66408150033513,19.980000000000103,41.000000000000206,0.5000000000000024,4.790000000000024,18.90000000000009,10549349.000000054,2.0200000000000102,4.870919985452138
2020-03-16,484.9286946403256,77.40988945139165,55.14058378104051,3.904732578033485,0.6769578782012317,0.284695188897351,11789.00000000006,0.3760262613919158,1.9865306085006897,3.000000000000016,43.48854405789281,11789.00000000006,0.05000000000000025,21.70000000000011,9317.000000000047,0.06000000000000031,29.452116231909443,19.980000000000103,41.00000000000021,0.5000000000000026,4.790000000000025,18.900000000000095,10549349.000000056,2.0200000000000102,4.88536322761529
2020-03-17,567.7727168432059,83.27234921524071,62.376846530027436,4.47206914910366,0.7773531856386431,0.39558845696066763,11789.000000000062,0.429903503413039,1.9435514793231605,2.688655462184888,61.20863493417606,11789.000000000062,0.05000000000000025,21.700000000000113,9317.00000000005,0.06000000000000032,31.276854627067234,19.980000000000103,41.00000000000021,0.5000000000000026,4.790000000000026,18.900000000000098,10549349.000000056,2.0200000000000102,4.920486544822658
2020-03-18,657.4724755768143,90.02100399287865,69.61872717289239,5.303001441659687,1.0443917476646665,0.5420851694819757,11789.000000000064,0.5088521589107821,1.901100422679186,2.0377100840336224,83.37232946501491,11789.000000000064,0.05000000000000025,21.700000000000113,9317.00000000005,0.06000000000000032,33.123781241793694,19.980000000000103,41.00000000000021,0.5000000000000026,4.790000000000026,18.900000000000098,10549349.000000056,2.0200000000000102,4.9837844302718155
2020-03-19,755.091670839044,97.86012920668242,76.8931423415311,6.629804410268695,1.5386267131402298,0.7494046980552456,11789.000000000064,0.6350321379290477,1.8600850131955586,1.5282825630252168,110.38241451957592,11789.000000000064,0.05000000000000025,21.700000000000113,9317.00000000005,0.06000000000000032,34.977840617835305,19.980000000000103,41.00000000000021,0.5000000000000026,4.790000000000026,18.900000000000098,10549349.000000056,2.0200000000000102,5.084811496588808
2020-03-20,861.5807925604416,106.66982217973727,84.24952724742191,8.69908246090128,2.2739603386690117,1.0439785397017467,11789.000000000064,0.8319751377066453,1.8213166687525215,1.1462119222689127,142.57060209847347,11789.000000000064,0.05000000000000025,21.700000000000113,9317.00000000005,0.06000000000000032,36.82197758684131,19.980000000000103,41.00000000000021,0.5000000000000026,4.790000000000026,18.900000000000098,10549349.000000056,2.0200000000000102,5.23541890039895
2020-03-21,977.5323138773465,116.08704666065965,91.75009646982645,11.736189673730285,3.229306711661754,1.4495225279178778,11789.000000000064,1.121190629298086,1.7854618066710515,1.2373415532078234,179.87585073351937,11789.000000000064,0.05000000000000025,21.700000000000113,9317.00000000005,0.06000000000000032,38.64538283460421,19.980000000000103,41.00000000000021,0.5000000000000026,4.790000000000026,18.900000000000098,10549349.000000056,2.0200000000000102,5.449469475880992
2020-03-22,1102.997086086745,125.56641621721441,99.46253954694015,15.918544970229878,4.357338792634497,1.9840909909610374,11789.000000000064,1.519620347539179,1.7529816168003174,2.580284768655064,222.2869139066364,11789.000000000064,0.05000000000000025,21.700000000000113,9317.00000000005,0.06000000000000032,40.436582374822,19.980000000000103,41.00000000000021,0.5000000000000026,4.790000000000026,18.900000000000098,10549349.000000056,2.0200000000000102,5.742161900058782
2020-03-23,1234.455038223755,131.53418514287222,107.21793342555759,20.890492438079697,5.125922646512082,2.620241320143861,11789.000000000064,1.9933720156640846,1.7240775183533108,5.661328637900493,269.6648137428415,11789.000000000064,0.05000000000000025,21.700000000000113,9317.00000000005,0.06000000000000032,42.18525045273906,19.980000000000103,41.00000000000021,0.5000000000000026,4.790000000000026,18.900000000000098,10549349.000000056,2.0200000000000102,6.129061631896068
