date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_vaccinations_per_hundred,total_boosters_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_70_older,extreme_poverty,hospital_beds_per_thousand,population,excess_mortality_cumulative
2020-03-15,24.185907160058136,6.225984082277348,2.710122337323388,1.9067179168220014,0.46605564366673335,0.19324065931415332,0.01000000000000005,0.0600000000000003,1.9788901384251996,9969.000000000051,0.0,9.80000000000005,0.01000000000000005,16611.000000000087,16611.000000000087,0.05000000000000025,42.966562237347595,25.130000000000123,29.10000000000015,4.460000000000022,3.5000000000000173,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-16,31.562507293120596,7.849917925961422,3.6861003179569973,2.428939536517605,0.5750265420583899,0.26442629280494334,0.010000000000000052,0.06000000000000031,1.9778909393069437,9969.000000000051,0.0,9.800000000000052,0.010000000000000052,16611.000000000087,16611.000000000087,0.05000000000000025,48.65853156812068,25.130000000000127,29.100000000000154,4.460000000000023,3.5000000000000178,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-17,40.858031083932325,9.695163072783952,4.924000577834276,3.0896910777275766,0.7053164482373944,0.35547938346925456,0.010000000000000054,0.06000000000000032,1.976587887738129,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,54.33946897344032,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000018,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-18,52.425892414436106,11.890861638783207,6.435992999632994,3.93816358948509,0.8844818416725532,0.47025659642547146,0.010000000000000054,0.06000000000000032,1.9750178388805226,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,59.90600638424971,25.13000000000013,29.100000000000158,4.460000000000024,3.5000000000000187,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-19,66.62455828949561,14.446442932384139,8.220055189285205,5.033228380543046,1.1226858802847988,0.6126693380754076,0.010000000000000054,0.06000000000000032,1.9732305737305305,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,65.25086984959657,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-20,83.72740384963643,17.281551656301716,10.257956550334967,6.430351149660693,1.417046730834158,0.7857246926321877,0.010000000000000054,0.06000000000000032,1.971310292935263,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,70.27851987265326,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-21,103.85510363060182,20.248494058968408,12.51374633970665,8.171777583318582,1.754898816709979,0.9908061245161598,0.010000000000000054,0.06000000000000032,1.969354406837843,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,74.88534594844612,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-22,126.9249250080195,23.149072548104826,14.93261970953115,10.279172554004797,2.1162387537736005,1.2271340051518282,0.010000000000000054,0.06000000000000032,1.9674434069383397,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,78.98228127775359,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-23,151.74421088594383,24.87872425593968,17.36623950742312,12.603141535736333,2.330601819047075,1.4784030248722777,0.010000000000000054,0.06000000000000032,1.9656633567551471,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,82.50768817227782,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-24,178.46126094403158,26.761628841599276,19.80500235196363,15.177954083282565,2.5797871755328865,1.7465459661332035,0.010000000000000054,0.06000000000000032,1.9640948026342362,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,85.43351790684264,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-25,207.73206400149533,29.304237145097375,22.293172255246194,18.121102925099322,2.946879812806748,2.0414246652915677,0.010000000000000054,0.06000000000000032,1.9628264348780717,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,87.76993060854193,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-26,240.43694392872376,32.729955492953664,24.905554369198104,21.586964879668102,3.468660182811273,2.3767032759563986,0.010000000000000054,0.06000000000000032,1.961928003275557,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,89.56876017360115,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-27,277.4680440809971,37.049906826567295,27.730000295321382,25.73204654275048,4.147180334264249,2.7667532165018875,0.010000000000000054,0.06000000000000032,1.9614925441502709,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,90.9192393286496,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-28,319.5699406237736,42.11600154849698,30.854287066998523,30.68891855282892,4.958446013464842,3.2243318807022137,0.010000000000000054,0.06000000000000032,1.9616003389465777,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,91.88605991019126,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-29,367.22010252665444,47.66074065717115,34.35627638622181,36.546666290187375,5.858928239898255,3.758841670707663,0.010000000000000054,0.06000000000000032,1.962262633007609,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,92.5585924439558,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-30,415.5161273151597,48.30395885422296,37.7030256477789,42.83706823735619,6.291287324073668,4.324415028079236,0.010000000000000054,0.06000000000000032,1.9634232190996008,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,93.03904937498379,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
2020-03-31,465.2631459065386,49.75296914066729,40.98776131728221,49.6698341450502,6.83342994037265,4.9317639213503215,0.010000000000000054,0.06000000000000032,1.9649424951262546,9969.000000000051,0.0,9.800000000000052,0.010000000000000054,16611.000000000087,16611.000000000087,0.05000000000000025,93.39395089678419,25.13000000000013,29.100000000000158,4.460000000000024,3.500000000000019,1.600000000000008,34049588.00000018,3.200000000000016
