date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,population
2020-03-11,76.0000000000003,0.0,0.0,2.0000000000000075,0.0,0.0,7.460000000000028,2.7600000000000104,644.0000000000025,0.010000000000000038,13.691622032968503,23.30000000000009,9952789.000000037
2020-03-12,76.00000000000034,0.0,0.0,2.0000000000000084,0.0,0.0,7.460000000000031,2.7600000000000113,644.0000000000027,0.010000000000000044,13.858985108329822,23.300000000000097,9952789.000000041
2020-03-13,76.00000000000037,0.0,0.0,2.000000000000009,0.0,0.0,7.460000000000034,2.760000000000012,644.000000000003,0.010000000000000047,14.064911423361156,23.300000000000104,9952789.000000045
2020-03-14,76.00000000000038,0.0,0.0,2.0000000000000093,0.0,0.0,7.4600000000000355,2.760000000000013,644.0000000000032,0.010000000000000049,14.309189546835693,23.30000000000011,9952789.000000048
2020-03-15,76.0000000000004,0.0,0.0,2.0000000000000098,0.0,0.0,7.460000000000036,2.760000000000014,644.0000000000033,0.01000000000000005,14.588860809124851,23.300000000000118,9952789.00000005
2020-03-16,76.0000000000004,0.0,0.0,2.00000000000001,0.0,0.0,7.460000000000037,2.760000000000014,644.0000000000034,0.010000000000000052,14.898027959784837,23.300000000000118,9952789.000000052
2020-03-17,76.0000000000004,0.0,0.0,2.00000000000001,0.0,0.0,7.460000000000038,2.760000000000014,644.0000000000034,0.010000000000000054,15.23366802866218,23.300000000000118,9952789.000000052
2020-03-18,76.0000000000004,0.0,0.0,2.00000000000001,0.0,0.0,7.460000000000039,2.760000000000014,644.0000000000034,0.010000000000000054,15.591501021496658,23.300000000000118,9952789.000000052
2020-03-19,76.0000000000004,0.0,0.0,2.00000000000001,0.0,0.0,7.460000000000039,2.760000000000014,644.0000000000034,0.010000000000000054,15.965978707298989,23.300000000000118,9952789.000000052
2020-03-20,76.0000000000004,0.0,0.0,2.00000000000001,0.0,0.0,7.460000000000039,2.760000000000014,644.0000000000034,0.010000000000000054,16.354105879213762,23.300000000000118,9952789.000000052
2020-03-21,76.0000000000004,0.0,0.0,2.00000000000001,0.0,0.0,7.460000000000039,2.760000000000014,644.0000000000034,0.010000000000000054,16.748703197387076,23.300000000000118,9952789.000000052
2020-03-22,76.0000000000004,0.0,0.0,2.00000000000001,0.0,0.0,7.460000000000039,2.760000000000014,644.0000000000034,0.010000000000000054,17.140350119436587,23.300000000000118,9952789.000000052
2020-03-23,76.0000000000004,0.0,0.0,2.00000000000001,0.0,0.0,7.460000000000039,2.760000000000014,644.0000000000034,0.010000000000000054,17.518842098304034,23.300000000000118,9952789.000000052
2020-03-24,76.0000000000004,0.0,0.0,2.00000000000001,0.0,0.0,7.460000000000039,2.760000000000014,644.0000000000034,0.010000000000000054,17.874283480644664,23.300000000000118,9952789.000000052
2020-03-25,76.0000000000004,0.0,0.0,2.00000000000001,0.0,0.0,7.460000000000039,2.760000000000014,644.0000000000034,0.010000000000000054,18.19790718061927,23.300000000000118,9952789.000000052
