date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,people_vaccinated_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population_density,median_age,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,female_smokers,male_smokers,hospital_beds_per_thousand,population
2021-09-14,385796.8321288662,136.75003159819263,129.53987826087166,6034.630235996478,0.8536360511744524,0.9426677106904284,3429620.369341745,78.20653771144664,0.9944214404090277,8396.266112551291,0.01776920164016946,61.764956918431906,20.005415773394834,21906.877709978937,25663.106699160846,0.07177302432224415,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-15,385935.2905316858,138.4584028195238,132.05764802984916,6035.480579389093,0.8503433926148417,0.9070760900637177,3437941.6358136823,78.2702292370434,0.9945725444308834,8321.26647193772,0.018280521139629385,60.79505576251503,20.484582676846415,20975.31521525734,24439.627761927222,0.07077708563017707,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-16,386075.1471004456,139.85656875976264,134.31589067655642,6036.333236739631,0.8526573505374091,0.8823485995452037,3446188.4632532853,78.32991611007095,0.9944943727704814,8246.827439602946,0.01871362291677766,60.030819940826234,20.94833681371112,20210.535474145032,23285.18879171047,0.06899667976885138,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-17,386216.0164662526,140.86936580705554,136.2608588606819,6037.192978621312,0.8597418816813386,0.8678391807513409,3454358.7825563233,78.38539328811248,0.9942604046586638,8170.31930303771,0.019076910788100403,59.45446110946591,21.401437645836054,19608.177833792382,22232.291480660704,0.06653193128753067,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-18,386357.45300903067,141.43654277804558,137.85868680873077,6038.063463765605,0.8704851442926793,0.8621777048912379,3462446.4766231296,78.43669558017626,0.9939207398223768,8087.694066806413,0.019370223491851024,59.04768972350223,21.848633017828917,19172.46710191186,21310.313261432853,0.0635293621695912,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-19,386498.96204184135,141.50903281074835,139.10154791197812,6038.947032213353,0.8835684477476297,0.8632215139625473,3470446.567001935,78.48410394111161,0.9935294365733127,8000.090378805531,0.01959020801966399,58.79658823638887,22.29385840913772,18874.281273428103,20537.656924096642,0.06017239331432986,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-20,386640.42038399953,141.45834215815842,140.049016622413,6039.849592194929,0.9025599815767223,0.8691031102618276,3478358.966007759,78.52816069662245,0.9931633993433666,7912.399005823616,0.01973434961526515,58.693664512779776,22.740323024694305,18697.70723819974,19920.748381501726,0.05667373583901184,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-21,386781.58739530464,141.16701130510899,140.6800898746962,6040.772472103542,0.9228799086130538,0.8791340553854476,3486186.443106341,78.56974188639714,0.9928744887447598,7827.477098582332,0.01980399427350448,58.73620345892234,23.19104333510124,18640.64857667827,19454.137692073313,0.05326968455540633,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-22,386922.02176819846,140.4343728938287,140.96245589988143,6041.712628156527,0.940156052985325,0.8920021252494943,3493935.332426722,78.60948563263895,0.9927250326865609,7748.889320381491,0.01980661561463065,58.91915162457322,23.648169055947815,18673.569270259213,19125.309571576017,0.050116936978287195,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
2021-09-23,387061.20441600075,139.18264780223984,140.86626516343745,6042.664060645522,0.9514324889956208,0.9060452267748726,3501611.583305179,78.6478689109693,0.9927645243533189,7676.250878456782,0.01973278976527166,59.24058705391804,24.11309350172172,18775.132269436515,18920.24446051785,0.04732121921723193,19.750000000000107,35.600000000000186,20551.410000000105,0.1000000000000005,160.71000000000083,14.000000000000076,19.900000000000105,2.800000000000014,3422796.0000000177
