date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,new_tests_smoothed,people_vaccinated_per_hundred,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,population
2020-03-26,2.6045454095777587,0.33919358853299664,0.2234694390102479,4.00000000000002,0.0,0.0,0.18271961657748634,1.400000000000007,5435.000000000029,0.18000000000000094,2784.0000000000136,0.020000000000000108,33.38858876109286,51.76000000000026,19.0000000000001,3.1400000000000166,1.7300000000000089,1998.9300000000108,13859349.00000007
2020-03-27,3.243809832878218,0.682255566318948,0.28451449037597987,4.00000000000002,0.0,0.0,0.22819129614352238,1.400000000000007,5435.000000000029,0.18000000000000094,2784.0000000000136,0.020000000000000108,37.3315220491649,51.76000000000026,19.0000000000001,3.1400000000000166,1.7300000000000089,1998.9300000000108,13859349.00000007
2020-03-28,4.414240697218466,1.2012036333688205,0.4151009615117853,4.00000000000002,0.0,0.0,0.3115020693927103,1.3999873949579902,5435.000000000029,0.18000000000000094,2784.0000000000136,0.020000000000000108,41.42605976570375,51.76000000000026,19.0000000000001,3.1400000000000166,1.7300000000000089,1998.9300000000108,13859349.00000007
2020-03-29,6.26735473105866,1.8749331064099433,0.6370836396858768,4.00000000000002,0.0,0.0,0.4434319819087872,1.3999632352941247,5435.000000000029,0.18000000000000094,2784.0000000000136,0.020000000000000108,45.619066963902974,51.76000000000026,19.0000000000001,3.1400000000000166,1.7300000000000089,1998.9300000000108,13859349.00000007
2020-03-30,8.764042227996667,2.513051801365317,0.9652084957631172,4.00000000000002,0.0,0.0,0.6211972895990128,1.3999371969941894,5435.000000000029,0.18000000000000094,2784.0000000000136,0.020000000000000108,49.82386066248775,51.76000000000026,19.0000000000001,3.1400000000000166,1.7300000000000089,1998.9300000000108,13859349.00000007
2020-03-31,12.002718160978135,3.2509491613019526,1.411757858570887,4.00000000000002,0.0,0.0,0.8518016517500049,1.3999238091871438,5435.000000000029,0.18000000000000094,2784.0000000000136,0.020000000000000108,53.94600635659441,51.76000000000026,19.0000000000001,3.1400000000000166,1.7300000000000089,1998.9300000000108,13859349.00000007
2020-04-01,16.140984968503517,4.147471728765743,1.9842183616075495,4.00000000000002,0.0,0.0,1.1464561192262102,1.3999396248283043,5435.000000000029,0.18000000000000094,2784.0000000000136,0.020000000000000108,57.8945335327982,51.76000000000026,19.0000000000001,3.1400000000000166,1.7300000000000089,1998.9300000000108,13859349.00000007
2020-04-02,21.343182165291715,5.209100887718469,2.6837083736620357,4.00000000000002,0.0,0.0,1.5168479071313612,1.4000137037537446,5435.000000000029,0.18000000000000094,2784.0000000000136,0.020000000000000108,61.58221543725227,51.76000000000026,19.0000000000001,3.1400000000000166,1.7300000000000089,1998.9300000000108,13859349.00000007
2020-04-03,27.74104855027783,6.403044153183823,3.5037985717785323,4.00000000000002,0.0,0.0,1.9723419743045691,1.4001723657273983,5435.000000000029,0.18000000000000094,2784.0000000000136,0.020000000000000108,64.93510663288437,51.76000000000026,19.0000000000001,3.1400000000000166,1.7300000000000089,1998.9300000000108,13859349.00000007
2020-04-04,35.404218862611486,7.667053638481937,4.429627370979999,4.00000000000002,0.0,0.0,2.517882207942395,1.4004167662153955,5435.000000000029,0.18000000000000094,2784.0000000000136,0.020000000000000108,67.89969616729428,51.76000000000026,19.0000000000001,3.1400000000000166,1.7300000000000089,1998.9300000000108,13859349.00000007
