date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,cardiovasc_death_rate,male_smokers,handwashing_facilities,population
2021-08-30,40374.69302342647,451.3916597198045,535.0471128110908,1008.9154704067328,10.485254746992755,10.321758296098874,10.543506600321567,0.6932087094752227,534.0000000000027,0.03000000000000016,31.40000000000017,1475.8696736673028,0.2967963635224902,61.12925353012962,3.160000000000017,21.500000000000107,333.44000000000176,16.500000000000085,24.10000000000013,1201680.0000000063
2021-08-31,40799.5299647257,424.83694129922685,508.054322488086,1019.5369421715668,10.62147176483411,10.3693088642849,10.871206395242268,0.6680644183378335,534.0000000000027,0.03000000000000016,31.40000000000017,1377.5310206027734,0.29358305156882347,61.115859830855214,3.160000000000017,21.500000000000107,333.44000000000176,16.500000000000085,24.10000000000013,1201680.0000000063
2021-09-01,41196.10346901945,396.5735042937483,480.11241672062226,1030.2497169712751,10.712774799708338,10.432241182796755,11.221869526554537,0.6447464391573836,534.0000000000027,0.03000000000000016,31.40000000000017,1307.4734593758049,0.2899949809843103,61.09179306318674,3.160000000000017,21.500000000000107,333.44000000000176,16.500000000000085,24.10000000000013,1201680.0000000063
2021-09-02,41563.08626369096,366.98279467150746,451.6057986426004,1040.978981328975,10.729264357699819,10.498393071971531,11.59317955684223,0.6235916651792861,534.0000000000027,0.03000000000000016,31.40000000000017,1255.8076963418098,0.28559804569298425,61.054728766362345,3.160000000000017,21.500000000000107,333.44000000000176,16.500000000000085,24.10000000000013,1201680.0000000063
2021-09-03,41900.20574495639,337.11948126542796,422.95746517458167,1051.6341228745607,10.655141545585803,10.552579548645761,11.979682630085904,0.6048327275528558,534.0000000000027,0.03000000000000016,31.40000000000017,1215.8902745188022,0.2801102989756209,61.003073077680696,3.160000000000017,21.500000000000107,333.44000000000176,16.500000000000085,24.10000000000013,1201680.0000000063
2021-09-04,42208.74889501341,308.5431500570221,394.5988349830699,1062.119305795224,10.485182920663187,10.578434499881233,12.374097036397671,0.5885919018378811,534.0000000000027,0.03000000000000016,31.40000000000017,1186.2010769298272,0.27346216831704245,60.936079048726015,3.160000000000017,21.500000000000107,333.44000000000176,16.500000000000085,24.10000000000013,1201680.0000000063
2021-09-05,42491.940969902644,283.19207488924394,366.94711944997243,1072.3414024233425,10.222096628118607,10.559791938259355,12.768364201560285,0.5748371067274742,534.0000000000027,0.03000000000000016,31.40000000000017,1166.052504529951,0.2656903560373943,60.853933882536836,3.160000000000017,21.500000000000107,333.44000000000176,16.500000000000085,24.10000000000013,1201680.0000000063
2021-09-06,42756.35640616008,264.415436257431,340.23618283247,1082.281488145886,9.940085722543396,10.481898413940169,13.15450574516937,0.5634319670850376,534.0000000000027,0.03000000000000016,31.40000000000017,1155.2591747775552,0.2569338950177035,60.75782436148255,3.160000000000017,21.500000000000107,333.44000000000176,16.500000000000085,24.10000000000013,1201680.0000000063
2021-09-07,43002.32452827881,245.9681221187361,314.6834318884123,1091.8874735754794,9.605985429593403,10.336767378651649,13.525009985186031,0.5542223269621306,534.0000000000027,0.03000000000000016,31.40000000000017,1153.6229686720499,0.2473807703259799,60.64998591817081,3.160000000000017,21.500000000000107,333.44000000000176,16.500000000000085,24.10000000000013,1201680.0000000063
2021-09-08,43229.71926886593,227.39474058711306,290.51496386459655,1101.0864358215595,9.198962246080002,10.120398255385,13.873181919238608,0.5470182319701442,534.0000000000027,0.03000000000000016,31.40000000000017,1160.8388813198114,0.23723402635469854,60.533739438628196,3.160000000000017,21.500000000000107,333.44000000000176,16.500000000000085,24.10000000000013,1201680.0000000063
