date,total_cases,new_cases,total_deaths,new_deaths,total_cases_per_million,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population_density,male_smokers,female_smokers,hospital_beds_per_thousand,population
2021-09-18,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0001307625781837,0.01034186976365238,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-09-19,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000980719336403,0.010256402322739298,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-09-20,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000073553950233,0.010192301742054488,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-09-21,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000551654626775,0.01014422630654088,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-09-22,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000413740970107,0.010108169729905674,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-09-23,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000310305727607,0.01008112729742927,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-09-24,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000232729295733,0.010060845473071966,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-09-25,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000174546971827,0.010045634104803988,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-09-26,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000130910228897,0.010034225578603005,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-09-27,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.00000981826717,0.010025669183952268,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-09-28,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.00000736370038,0.010019251887964214,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-09-29,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000055227752878,0.010014438915973175,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-09-30,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000041420814685,0.010010829186979896,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-01,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000003106561104,0.010008121890234936,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-02,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000023299208305,0.010006091417676216,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-03,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000017474406255,0.010004568563257177,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-04,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000013105804717,0.010003426422442898,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-05,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000009829353567,0.010002569816832188,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-06,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000007372015203,0.010001927362624155,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-07,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000552901143,0.010001445521968131,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-08,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.00000041467586,0.010001084141476112,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-09,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000003110068976,0.010000813106107098,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-10,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000233255176,0.010000609829580337,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-11,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000174941385,0.010000457372185268,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-12,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000001312060416,0.010000343029138966,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-13,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000098404534,0.010000257271854239,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-14,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000073803403,0.010000192953890694,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-15,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000055352555,0.010000144715418035,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-16,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000041514419,0.01000010853656354,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-17,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000031135817,0.010000081402422669,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-18,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000233518653,0.010000061051817015,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-19,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000017513902,0.010000045788862776,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-20,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000013135429,0.010000034341647096,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-21,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000098515747,0.010000025756235336,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-22,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000007388684,0.010000019317176517,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-23,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000055415157,0.010000014487882401,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-24,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000041561394,0.010000010865911815,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-25,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000031171075,0.010000008149433874,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-26,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000023378335,0.01000000611207542,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-27,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000001753378,0.010000004584056579,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-28,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.000000001315036,0.010000003438042448,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-29,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.00000000098628,0.01000000257853185,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-30,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000007397127,0.010000001933898902,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-10-31,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000005547873,0.01000000145042419,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-01,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000004160934,0.010000001087818157,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
2021-11-02,2.00000000000001,0.0,1.000000000000005,0.0,169.1900000000009,2.0000000003120726,0.010000000815863632,682.4500000000037,36.90000000000019,43.00000000000021,5.000000000000027,12691.00000000007
