date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,new_tests_smoothed,new_tests_smoothed_per_thousand,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,population
2022-04-22,2724.581768762874,1.516118018499649,2.0281971792127997,8.999999995312532,2.065819818707379e-09,191844.93415832793,169.00000000000088,10.730000000000057,10.822809593980525,0.010953012244116402,15877.000000000084
2022-04-23,2726.1571895327284,1.5754207698540539,1.847809487512381,8.999999996484412,1.5493648640305344e-09,191955.86393872034,169.00000000000088,10.730000000000057,10.351043847069116,0.010679529706681368,15877.000000000084
2022-04-24,2727.893231516066,1.7360419833375378,1.740558473100351,8.999999997363322,1.1620236480229008e-09,192078.10344272832,169.00000000000088,10.730000000000057,9.98614972434516,0.010482336355641293,15877.000000000084
2022-04-25,2729.8872151690507,1.9939836529847343,1.712548945323003,8.999999998022503,8.715177360171756e-10,192218.50526756688,169.00000000000088,10.730000000000057,9.71398204115804,0.010349147224714177,15877.000000000084
2022-04-26,2732.1872277956672,2.3000126266163834,1.7676964536593525,8.99999999851689,6.536383020128817e-10,192380.4553663186,169.00000000000088,10.730000000000057,9.518986854074747,0.010261860418535646,15877.000000000084
2022-04-27,2734.8189114737743,2.6316836781070894,1.9014029155515635,8.999999998887679,4.902287265096613e-10,192565.75926552786,169.00000000000088,10.730000000000057,9.382727535514055,0.010196395313901749,15877.000000000084
2022-04-28,2737.7841254282175,2.965213954443283,2.1022923288744066,8.999999999165771,3.6767154488224597e-10,192774.54787965683,169.00000000000088,10.730000000000057,9.288047590872786,0.010147296485426326,15877.000000000084
2022-04-29,2741.0599428106625,3.2758173824452674,2.3535125562873542,8.99999999937434,2.757536586616845e-10,193005.20687192777,169.00000000000088,10.730000000000057,9.218944549004634,0.01011047236406976,15877.000000000084
2022-04-30,2744.5978982844717,3.537955473808746,2.6337116634986493,8.999999999530768,2.0681524399626338e-10,193254.32367495453,169.00000000000088,10.730000000000057,9.165792122160727,0.010082854273052333,15877.000000000084
2022-05-01,2748.3234237133574,3.725525428885977,2.9177701729633587,8.99999999964809,1.5511143299719753e-10,193516.64775621617,169.00000000000088,10.730000000000057,9.122437175007759,0.010062140704789264,15877.000000000084
2022-05-02,2751.9602148438453,3.6367911304880165,3.1523166407115357,8.99999999973608,1.1633357474789815e-10,193772.7238213641,169.00000000000088,10.730000000000057,9.083133634326291,0.010046605528591962,15877.000000000084
2022-05-03,2755.5012535698625,3.541038726017277,3.329482470837471,8.999999999802071,8.725018106092361e-11,194022.0577084603,169.00000000000088,10.730000000000057,9.042763929687847,0.010034954146443986,15877.000000000084
