date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_65_older,gdp_per_capita,hospital_beds_per_thousand,population
2021-07-05,29059.02922049754,468.58952723347835,453.2301050200068,114.79396343133267,2.475897128147648,2.18035592922611,5.487444895654125,1.1204793589728552,87985.69854610413,0.16809007212492705,51.62426311642169,28.200000000000152,4.470000000000023,6253.100000000033,4.00000000000002,34627648.00000018
2021-07-06,29529.838366569064,470.80914607152187,458.6982526499444,117.35883715009956,2.564873718767495,2.277512745238914,5.495678786709666,1.1137329840001664,88190.77390957822,0.16856755409369553,52.668237738092046,28.200000000000152,4.470000000000023,6253.100000000033,4.00000000000002,34627648.00000018
2021-07-07,30002.68790550215,472.84953893308614,463.30373069625017,120.01895009916178,2.660112949062697,2.3762565692717876,5.522707700245573,1.107519195013701,88344.58043218378,0.1689256655702719,53.73650829710499,28.200000000000152,4.470000000000023,6253.100000000033,4.00000000000002,34627648.00000018
2021-07-08,30477.52446177048,474.836556268335,467.0968481191502,122.78004967844392,2.761099579282483,2.4755860921122155,5.575476291852393,1.1020303141659011,88445.36893758332,0.16916903909367054,54.81554557318435,28.200000000000152,4.470000000000023,6253.100000000033,4.00000000000002,34627648.00000018
2021-07-09,30954.34363721349,476.8191754430102,470.17149614107626,125.64474960531018,2.8646999268665208,2.5745071191811277,5.659937258597494,1.0974728002656684,88489.39855192712,0.16928434234546322,55.88734550826585,28.200000000000152,4.470000000000023,6253.100000000033,4.00000000000002,34627648.00000018
2021-07-10,31433.132356223025,478.7887190095369,472.6673893973399,128.6105660824573,2.9658164771473094,2.672100281208733,5.78079111353549,1.0940155568896213,88481.70810916202,0.1692856549491429,56.93189568582132,28.200000000000152,4.470000000000023,6253.100000000033,4.00000000000002,34627648.00000018
2021-07-11,31913.825624633377,480.69326841035314,474.77174679913685,131.6684449238341,3.05787884137697,2.7675718172413957,5.941234828435331,1.0917868777512512,88442.3234865258,0.16920793869084902,57.92902519035185,28.200000000000152,4.470000000000023,6253.100000000033,4.00000000000002,34627648.00000018
2021-07-12,32394.165275359373,480.3396507259944,476.45026226483486,134.7840098402578,3.1155649164238115,2.85903115769511,6.142717127669873,1.0908721557277903,88409.04919214075,0.16912201736655327,58.859792002007666,28.200000000000152,4.470000000000023,6253.100000000033,4.00000000000002,34627648.00000018
2021-07-13,32874.338533119444,480.173257760075,477.78790969151623,137.9582239283513,3.1742140880935583,2.9461455402170382,6.385137038092073,1.091301660428682,88437.6908372214,0.16915356861638253,59.70984287028411,28.200000000000152,4.470000000000023,6253.100000000033,4.00000000000002,34627648.00000018
2021-07-14,33355.93111380214,481.59258068269423,479.03682690341486,141.20255611691655,3.2443321885653256,3.0296584441091308,6.666133122659364,1.0930441186246804,88600.35681569898,0.16945680542156316,60.47908431819475,28.200000000000152,4.470000000000023,6253.100000000033,4.00000000000002,34627648.00000018
2021-07-15,33841.27944394894,485.3483301467984,480.53841768887406,144.53296104373158,3.3304049268150786,3.1110284161458477,6.979235602807735,1.0960298569064562,88996.88456393985,0.17025242953482161,61.17366391737919,28.200000000000152,4.470000000000023,6253.100000000033,4.00000000000002,34627648.00000018
