date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,human_development_index,population,excess_mortality_cumulative,excess_mortality
2020-12-06,122088.95855544096,501.309139136801,500.7845943861431,4163.586483235505,13.424716749560503,14.141656935987346,0.3600000000000019,1.0236453091589903,3321.3588340700608,3285.6664332006794,0.15452126868429258,6.5075435669609485,8587.000000000044,1112.000000000006,0.010000000000000054,49.54000015120782,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.624567560056295,16.316387448547854
2020-12-07,122592.6145371368,503.65598169584644,500.77526624856085,4177.235676906273,13.649193670767682,13.845426121512183,0.3600000000000019,1.0237945830327866,3335.657651732253,3296.738254118355,0.1546467692249197,6.504161230488982,8587.000000000044,1112.000000000006,0.010000000000000054,49.54000011340593,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.632280388852841,16.026770709229268
2020-12-08,123099.00101274288,506.38647560608075,501.4295699191298,4191.230426070144,13.99474916387087,13.701796158684253,0.3600000000000019,1.0237279670095623,3349.7644896072097,3309.0157946611694,0.15481587847007977,6.49910023766959,8587.000000000044,1112.000000000006,0.010000000000000054,49.540000085054515,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.639516367916313,15.762668829779576
2020-12-09,123608.26544927938,509.2644365364941,502.71359405214696,4205.767712894566,14.537286824422242,13.731232219207133,0.3600000000000019,1.0234060269701661,3361.8372004310104,3321.9237561445566,0.1550110685164256,6.493599580320721,8587.000000000044,1112.000000000006,0.010000000000000054,49.540000063790956,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.646434810335627,15.533937442816741
2020-12-10,124120.32840176256,512.0629524831729,504.5284177433772,4221.065894561041,15.29818166647443,13.946588837967102,0.3600000000000019,1.0227930464073287,3373.401672139681,3334.9509295841817,0.15519252892448812,6.4888066664945905,8587.000000000044,1112.000000000006,0.010000000000000054,49.536508451204625,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.653185259104587,15.348231039449356
2020-12-11,124634.89046745008,514.5620656875259,506.7243752015219,4237.323806828997,16.257912267955398,14.350001260020274,0.3600000000000019,1.021885670390501,3390.21838403366,3348.6162030058526,0.15528337536175674,6.488174165998942,8587.000000000044,1112.000000000006,0.010000000000000054,49.529816212353126,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.659891576150418,15.209930413209715
2020-12-12,125151.43750152504,516.5470340749534,509.11175425182086,4254.690091708695,17.366284879699606,14.93055395083294,0.3600000000000019,1.0207096632647583,3415.224324547551,3363.991741782513,0.15519265433967588,6.495109292889648,8587.000000000044,1112.000000000006,0.010000000000000054,49.52260359430046,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.666639778243592,15.11953655309689
2020-12-13,125669.2445288589,517.8070273338499,511.46882021375325,4273.240193215916,18.550101507221406,15.662531978961834,0.3600000000000019,1.0193048718829594,3441.591239532194,3381.175739109999,0.15490451014712947,6.509806436377006,8587.000000000044,1112.000000000006,0.010000000000000054,49.51889516502083,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.67346868306862,15.073414373452293
2020-12-14,126188.85472825391,519.6101993950228,513.748266582423,4292.993137801407,19.752944585490425,16.53436165390466,0.3600000000000019,1.0176871219148065,3462.6558892483745,3399.3257926970805,0.1544253121513945,6.5321512073732615,8587.000000000044,1112.000000000006,0.010000000000000054,49.52327609257629,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.680362662915574,15.063798821459635
2020-12-15,126709.9114728228,521.0567445688923,515.8443332593777,4314.023020771876,21.029882970468854,17.539343477015464,0.3600000000000019,1.0158752315459962,3474.5508212672494,3417.15974529851,0.15377034157960942,6.562140231645017,8587.000000000044,1112.000000000006,0.010000000000000054,49.540304354500165,4.690000000000024,22.900000000000112,0.6600000000000035,17843914.00000009,12.687213566121965,15.076125619003603
