date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_boosters_per_hundred,reproduction_rate,icu_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_70_older,median_age,aged_65_older,extreme_poverty,male_smokers,population,excess_mortality_cumulative,excess_mortality
2021-05-27,268855.5319144967,755.0043586028651,874.45131854069,4162.199087573665,11.193732282606474,11.12752228973726,95443.01489932416,0.010000000000000054,0.7347553157043429,100.08921683722473,19610.81356807868,19647.087699992357,0.03854158265803215,28.605003626427894,34.63627675454091,20364.417649918298,20057.85163375362,0.3795714777666623,48.26323905108892,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.94456768148849,21.50107783179326
2021-05-28,269565.4216087882,709.8896942915161,834.5280241349949,4173.296907794023,11.097820220358232,11.13522704374123,95695.02384934781,0.010000000000000054,0.7211980317039207,97.93234572423412,19602.79049280112,19629.808179648462,0.03652044038718931,30.325006759898535,35.023773015162355,20698.799953663707,20131.238612193072,0.37899163353508125,47.802268978038796,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.949511480019336,21.010110386957912
2021-05-29,270231.13955823984,665.7179494516695,793.7579980624624,4184.229807542356,10.932899748332684,11.118648789593268,95931.3519133523,0.010000000000000054,0.7083392154392214,95.73649803482623,19586.50978944573,19616.923749474576,0.03456486164139396,32.166568579943345,35.41971065988507,21100.448236094613,20287.360520230803,0.38074744202267535,47.23944268375541,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.95379872221325,20.548058803700776
2021-05-30,270856.64675012825,625.507191888365,752.9409374608749,4194.933667873967,10.703860331611516,11.067723017534332,96153.40524610033,0.010000000000000054,0.6961257755096044,93.54073810271966,19558.98496005459,19604.237269119534,0.03269352341268739,34.13661357135058,35.82457242607093,21533.754001893227,20520.571004264923,0.3846066384012993,46.58357861915145,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.957565751420788,20.1273110711014
2021-05-31,271451.984044497,595.3372943687632,712.7758637291412,4205.404436425843,10.47076855187607,10.974113206912884,96364.74833906794,0.010000000000000054,0.684493329692967,91.38284834109933,19509.65032314375,19586.936436002572,0.03090702038756988,36.23417317140246,36.23790944237161,21959.598872460676,20817.313224110163,0.39016700207182187,45.85336544464806,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.960957603804786,19.757966335000283
2021-06-01,272017.09957183467,565.115527337659,673.6046935305346,4215.604070693661,10.19963426781786,10.83241813078261,96565.36278419767,0.010000000000000054,0.6733775926155567,89.28860145728981,19440.729306675872,19560.94376203751,0.029189153461330324,38.46488812031015,36.65868321300048,22345.120356672625,21159.19294975686,0.3968852709462394,45.07405575769425,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.964123918986218,19.44888829359025
2021-06-02,272550.86845715693,533.7688853222494,635.7623016605068,4225.478182302733,9.874111609072845,10.640066345339719,96754.84926154852,0.010000000000000054,0.6627261485663871,87.25963144203018,19365.158405346298,19525.040626958023,0.027543610409507792,40.83628567652873,37.08519259721001,22678.016140161257,21525.762908827048,0.40414520724975767,44.274693078774945,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.967223006651267,19.2082168481362
2021-06-03,273052.1891256735,501.3206685165745,599.5219757605714,4234.973051723824,9.49486942109036,10.397602603219411,96932.81672331085,0.010000000000000054,0.6524995241591157,85.30197956083755,19279.82294104918,19477.753175454483,0.0259731570637566,43.34524431557374,37.515719270144146,22954.00578643966,21895.698587567313,0.41130622282581275,43.48612161903602,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.970410444572,19.041956569059973
2021-06-04,273520.8055320383,468.61640636480695,565.0545073537194,4244.0483893100045,9.075337586179772,10.108902663468223,97099.17428181747,0.010000000000000054,0.6426147853300681,83.41315241464896,19174.677144377732,19416.59039872082,0.024476635735761886,45.99238669498678,37.947961721515725,23156.779097425122,22246.83281268586,0.41771383001528783,42.73941797575089,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.973828680229282,18.953117971628323
2021-06-05,273957.9238322871,437.1183002487188,532.3975101209785,4252.686906074299,8.638516764295474,9.781334399023287,97254.35012555198,0.010000000000000054,0.632977895720241,81.58384621143932,19029.605401916164,19337.028400204184,0.02304671403517632,48.764464552591164,38.37928027626936,23276.931688938297,22557.753003179583,0.42276662655154407,42.064757567139665,13.780000000000069,43.50000000000021,19.0000000000001,0.7000000000000035,38.0000000000002,2750058.0000000144,16.977597385137358,18.941273398843165
