date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,extreme_poverty,diabetes_prevalence,male_smokers,hospital_beds_per_thousand,life_expectancy,population
2021-05-13,200000.713405605,315.74110354034906,382.7922589403411,8697.338461759628,35.1179055500823,39.45286040163838,928013.5290815402,0.6668379552642477,2771.849875859296,2416.233323237043,0.1288787098595402,8.499378469277294,2644.8116084540175,0.05558342904694376,44.67729337183391,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-14,200294.9202028789,294.2067972738788,359.22642513609014,8730.892647224711,33.554185465082774,37.938046723336136,930433.3167166186,0.6626981173854847,2735.4740423178755,2411.3216310832477,0.12216468850325257,9.06466959856432,2628.9412047244855,0.056014333259028194,44.509965827194826,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-15,200568.70262791897,273.78242504008944,337.14293051981196,8762.888522264053,31.995875039342174,36.4624737949262,932861.096346181,0.6588970528096381,2703.498712087473,2411.0336279666085,0.11556194559528055,9.674930770351827,2679.9382241639237,0.05822390443683749,44.33948487459786,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-16,200824.40864514766,255.70601722867755,316.4484422337507,8793.425893960495,30.537371696442673,35.02246394347976,935292.712217351,0.6554533325936548,2675.590073173559,2413.7050367474226,0.1091202310128794,10.326763688623615,2810.27126670084,0.06255512936188808,44.162287864093244,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-17,201066.6460604609,242.23741531323438,296.8311303178473,8822.832574962951,29.40668100245486,33.6050829285213,937724.7318547836,0.6523967221343175,2652.00845420144,2417.8368092347787,0.10286263609094604,11.01631872639016,3026.8733595278973,0.06922565536013628,43.974137682168255,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-18,201295.73019822247,229.08413776159057,278.31104925745495,8851.09096321964,28.258388256689273,32.21083756807815,940154.2622718259,0.6497430813551023,2633.4075227777803,2422.067474411543,0.0967825620714417,11.737109762310416,3330.369563925179,0.07827056666554515,43.77073900823259,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-19,201511.62460406468,215.89440584220156,260.9482318364335,8878.136548206596,27.04558498695784,30.843388518657225,942579.6275431295,0.6475254752050801,2620.8312198144313,2425.2741837013564,0.09097557701576625,12.480020427744467,3714.5004761113123,0.08950593081687072,43.54820050698252,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-20,201714.32892492984,202.7043208651679,244.80041919083538,8903.904059506607,25.767511300011563,29.5076079694713,945002.9255485357,0.6457213526869395,2614.750067252553,2427.135647472207,0.08545921993053843,13.240159147569846,4164.361346094481,0.10251794197173533,43.30338147267393,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-21,201904.16981910166,189.84089417182375,229.89135834917076,8928.362078243412,24.458018736805727,28.20812291310868,947423.204730246,0.6442957010051862,2611.6792157593927,2427.202285054708,0.08026733026787805,14.01378290301742,4660.334212544367,0.11675626514072802,43.034151812327096,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-22,202082.0191387286,177.84931962692878,216.1870253876055,8951.538995657362,23.17691741394886,26.948222598535487,949837.3231878495,0.6431850918495596,2608.8945079733944,2425.247738354706,0.07542205555481941,14.799144546364575,5181.352986492964,0.1316247295601358,42.73958703313032,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-23,202249.45756671642,167.4384279878115,203.57779279636048,8973.542482037152,22.0034863797894,25.729039120847347,952240.7825761933,0.6423230464243394,2604.9791510188343,2421.223376487429,0.07095018743211336,15.59475918546835,5705.806158744976,0.14650248382168582,42.4201144829926,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-24,202409.5502855741,160.09271885769786,191.84327349190536,8994.494676653927,20.95219461677485,24.521201771146206,954628.5463428337,0.641648070209335,2598.61594455049,2414.9006125207143,0.06687230443963131,16.39776945374253,6212.801548599789,0.16078814276283865,42.07762303095815,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-25,202562.5696631143,153.0193775401708,180.97732470522527,9014.406931860205,19.91225520627864,23.328849776969893,956995.5263860858,0.641086569786931,2588.590420759348,2405.9643249367573,0.0631957603271379,17.199902720559027,6683.081979161553,0.17392433267006077,41.71554532751731,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
2021-05-26,202708.4144645306,145.8448014162789,170.9706827661525,9033.365816219019,18.95888435881372,22.173567681790146,959337.6395159177,0.6405773707791131,2573.805319609592,2394.0687188156935,0.05982312923048601,18.00282781611419,7100.573216756438,0.1854558545445627,41.33891949983972,68.50000000000037,42.50000000000022,16.570000000000086,0.200000000000001,10.080000000000053,47.70000000000026,3.500000000000019,77.4000000000004,3233530.0000000177
