date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,total_deaths_per_million,population
2020-06-09,1.000000000000005,3.6140062746147e-08,9.072185054971506e-08,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-10,1.000000000000005,2.710504705961025e-08,6.80413879122863e-08,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-11,1.000000000000005,2.0328785294707687e-08,5.103104093421472e-08,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-12,1.000000000000005,1.5246588971030767e-08,3.827328070066104e-08,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-13,1.000000000000005,1.1434941728273075e-08,2.8704960525495778e-08,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-14,1.000000000000005,8.576206296204807e-09,2.1528720394121834e-08,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-15,1.000000000000005,6.4321547221536056e-09,1.6146540295591375e-08,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-16,1.000000000000005,4.824116041615204e-09,1.2109905221693531e-08,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-17,1.000000000000005,3.618087031211403e-09,9.082428916270149e-09,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-18,1.000000000000005,2.7135652734085524e-09,6.811821687202612e-09,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-19,1.000000000000005,2.035173955056414e-09,5.108866265401959e-09,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
2020-06-20,1.000000000000005,1.5263804662923106e-09,3.8316496990514695e-09,1.000000000000005,0.0,173.61000000000092,173.61000000000092,5885.000000000032
