date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,gdp_per_capita,population
2021-07-09,2610.508516943744,3.2047024968865143,3.7398870395298984,33.13514829166869,0.0739981895974059,0.07729394484220344,61914.68021062092,785.8838161153957,244.07943661045653,0.25135117420003544,36327.2300000002,44192.00000000022
2021-07-10,2613.5919242301125,3.083407286368832,3.5588394877922243,33.208504075894425,0.07335578505519738,0.07529398804341739,61987.81077318879,787.623231834447,245.9349168243586,0.2572798641665105,36327.2300000002,44192.00000000022
2021-07-11,2616.593377561728,3.001453331615671,3.4001986203690593,33.281378056920865,0.07287398164854099,0.07397049103256313,62058.997541430144,789.3511738758364,247.5001371981012,0.2627522381378115,36327.2300000002,44192.00000000022
2021-07-12,2619.5311999457017,2.937822383973554,3.26064670283336,33.35515118974952,0.07377313329522939,0.07315433886265774,62128.67509692596,791.1004098186431,248.36474413968807,0.26726068797633895,36327.2300000002,44192.00000000022
2021-07-13,2622.421493042667,2.890293096965302,3.1422109482627096,33.429808770463445,0.07465758106385913,0.07274810708816987,62197.22532915868,792.8705972799498,248.16059753592344,0.2703267377017116,36327.2300000002,44192.00000000022
2021-07-14,2625.297179898358,2.875686855691013,3.0485206869565706,33.50445095405966,0.07464218385865723,0.07255429298581076,62265.42909043729,794.6404056199506,246.60436864321633,0.27154789749089303,36327.2300000002,44192.00000000022
2021-07-15,2628.199597916662,2.9024180183034933,2.983437218514135,33.577675642823394,0.07322468896057349,0.0723229595583627,62334.26680263736,796.3765946157397,243.53221959812043,0.2706701344950286,36327.2300000002,44192.00000000022
2021-07-16,2631.1721935894066,2.9725956727450775,2.9500262008927156,33.647865652608864,0.07019000993309989,0.0717874685375504,62404.768912256055,798.040823466654,238.9249727141045,0.26758291761335323,36327.2300000002,44192.00000000022
2021-07-17,2634.255793543707,3.0835999543002477,2.9497869422015386,33.713404087549776,0.06553843505163495,0.07069128013619456,62477.90373170344,799.5947575482787,232.91648325245004,0.26234071115765584,36327.2300000002,44192.00000000022
2021-07-18,2637.4850578274672,3.229264283760097,2.982074369547086,33.77283587109224,0.059431783625507134,0.068808052862327,62554.49332027088,801.0038984779522,225.8164671581484,0.25516649005861064,36327.2300000002,44192.00000000022
2021-07-19,2640.8404417222528,3.3553838947851715,3.041497438440216,33.82498889426945,0.052153023239492384,0.06578024779154171,62634.07412594985,802.2404566638952,218.00087654831424,0.24634125409858015,36327.2300000002,44192.00000000022
2021-07-20,2644.345683586457,3.5052418642045917,3.1291575002910585,33.8690648769077,0.04407598268495221,0.06149808177125816,62717.20916734548,803.2855057170564,209.87530188440985,0.2362102068958488,36327.2300000002,44192.00000000022
2021-07-21,2648.044766891527,3.6990833050700624,3.2466457593488744,33.90470751353085,0.03564263665818734,0.056037588477764945,62804.941634397364,804.1305982599977,201.83777893431602,0.2251524838725979,36327.2300000002,44192.00000000022
2021-07-22,2651.9871627575308,3.9423958660035883,3.395133802381732,33.93205358278878,0.027346069284202888,0.049614164209002484,62898.444874634566,804.7789777835578,194.2447207553591,0.21355974105570918,36327.2300000002,44192.00000000022
2021-07-23,2656.2167618548356,4.229599097304896,3.5746914959362726,33.95177127952861,0.020509551963152167,0.04254772722915008,62998.75988286677,805.2464875393501,187.38040546632564,0.2017966642274641,36327.2300000002,44192.00000000022
2021-07-24,2660.7635733303678,4.546811475532009,3.7837754092825273,33.96508896384819,0.015382163972364124,0.0352365872770662,63106.59841845269,805.5622522091355,181.42560791357766,0.19016003857137398,36327.2300000002,44192.00000000022
2021-07-25,2665.6374990023046,4.873925671936668,4.018845131622536,33.97381672288619,0.011536622979273093,0.028137847697618665,63222.19534325137,805.7691891568528,176.4686080037032,0.17889927909013378,36327.2300000002,44192.00000000022
2021-07-26,2670.707697619541,5.070198617236284,4.264004081425377,33.98036254216469,0.00865246723445482,0.021752707040182326,63342.447442312565,805.9243918676407,172.56149155546024,0.16826382583343763,36327.2300000002,44192.00000000022
2021-07-27,2676.0000201442003,5.292322524659607,4.519554289252621,33.98527190662357,0.0064893504258411155,0.016314530280136744,63467.96784433955,806.0407939007316,169.69695900272987,0.1584541718960868,36327.2300000002,44192.00000000022
2021-07-28,2681.6068994003326,5.606879256132077,4.792406990371924,33.98895392996772,0.004867012819380836,0.01223589771010256,63600.94882879451,806.1280954255498,167.78466172134304,0.14959887068030703,36327.2300000002,44192.00000000022
2021-07-29,2687.6500194112746,6.04312001094199,5.092861157452512,33.99171544747584,0.003650259614535627,0.00917692328257692,63744.276435429194,806.1935715691634,166.6689423155712,0.1417620166172117,36327.2300000002,44192.00000000022
2021-07-30,2694.2523174026746,6.60229799139978,5.432187400086807,33.99378658560693,0.0027376947109017205,0.00688269246193269,63900.866421433006,806.2426786768737,166.14186510771935,0.13493673547519078,36327.2300000002,44192.00000000022
2021-07-31,2701.516985304757,7.264667902082492,5.820815889431631,33.995339939205245,0.0020532710331762904,0.005162019346449518,64073.16622929399,806.2795090076563,165.96473755089318,0.12906502736592781,36327.2300000002,44192.00000000022
2021-08-01,2709.511720879024,7.994735574267119,6.266977301689118,33.99650495440398,0.0015399532748822178,0.003871514509837138,64262.78146269456,806.3071317557434,165.86091580053275,0.12399172462916482,36327.2300000002,44192.00000000022
2021-08-02,2718.0363278279856,8.524606948961504,6.760733945885466,33.99107619479463,0.0011549649561616634,0.002903635882377854,64464.963957719134,806.1783656235314,165.5433436054095,0.11956344440917176,36327.2300000002,44192.00000000022
2021-08-03,2727.162426866468,9.126099038482614,7.308612999814887,33.97965168391114,0.0008662237171212475,0.0021777269117833906,64681.412371973995,805.9073939655489,164.75060725156865,0.11563137451567017,36327.2300000002,44192.00000000022
2021-08-04,2737.0769752888336,9.914548422365533,7.924114404030538,33.96712402473043,0.0006496677878409357,0.001633295183837543,64916.56084895473,805.6102591134645,163.29189855438452,0.11205659488158146,36327.2300000002,44192.00000000022
2021-08-05,2748.010284795653,10.933309506819416,8.622759849564613,33.96079873929771,0.003557709793692598,0.0012249713878781572,65175.87178522939,805.4602331198441,161.04849728359727,0.108742025993119,36327.2300000002,44192.00000000022
2021-08-06,2760.182034863712,12.171750068058994,9.418379518718401,33.96898302344553,0.01559653056763538,0.0009187285409086179,65464.55540582582,805.654345815967,157.98444988577506,0.10562390798869846,36327.2300000002,44192.00000000022
2021-08-07,2773.760782773515,13.578747909803157,10.32032714065485,33.999927312833066,0.03650347420239118,0.003982032831020837,65786.60944577218,806.3882808551891,154.14827600515244,0.10269385212920981,36327.2300000002,44192.00000000022
2021-08-08,2788.833596129914,15.072813356398937,11.331391283092968,34.06103145747552,0.06527353325360355,0.011660732768062045,66144.0989112523,807.8375477454654,149.66101308014117,0.09997029213504582,36327.2300000002,44192.00000000022
2021-08-09,2805.2484033029987,16.414807173084622,12.458468316876955,34.15446784003623,0.09656342401906523,0.025070048606427996,66533.41703072439,810.0536759997917,144.65715282885202,0.0974665684871927,36327.2300000002,44192.00000000022
2021-08-10,2823.105371643381,17.856968340382338,13.705644062479976,34.28461300025993,0.13249044131746668,0.04469490878836993,66956.93951221598,813.1404678918941,139.27552460871095,0.09516586043132871,36327.2300000002,44192.00000000022
2021-08-11,2842.532309275526,19.426937632145222,15.064477552354514,34.456203770880194,0.17334973144058913,0.0704780335628355,67417.69763739414,817.2102676933238,133.66205716047648,0.09304908827760139,36327.2300000002,44192.00000000022
2021-08-12,2863.6321828293053,21.099873553779283,16.51678528126656,34.67295437954998,0.21806982928503185,0.10188599769959941,67918.1335148912,822.3511636012804,127.96684022006663,0.09111584012546037,36327.2300000002,44192.00000000022
2021-08-13,2886.4437557386605,22.811572909355185,18.03672939404627,34.936519275289555,0.2645543112010078,0.13795877752486152,68459.16652029907,828.6023891844779,122.32608362335652,0.0893407585685621,36327.2300000002,44192.00000000022
2021-08-14,2910.912066965602,24.46831122694209,19.592383826400926,35.24571524832242,0.3099380346289401,0.17734691119794518,69039.49312616493,835.9358744675452,116.84672819909478,0.08767816104019027,36327.2300000002,44192.00000000022
2021-08-15,2936.8662900432105,25.954223077608034,21.146908910524715,35.59593801995227,0.35077931782690935,0.21833936891882133,69655.06177448804,844.2424092443252,111.59708558047829,0.08607811011433802,36327.2300000002,44192.00000000022
