date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_vaccinations_per_hundred,reproduction_rate,new_tests_smoothed,new_tests_smoothed_per_thousand,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_65_older,cardiovasc_death_rate,female_smokers,male_smokers,hospital_beds_per_thousand,population
2020-10-01,3054.43764428497,11.694023764528856,11.74291916711882,129.28981746975708,0.18828967340807806,0.16655106306816095,0.12000000000000063,1.095077403573478,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,38.0001320538572,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-02,3066.2117173766273,11.774073091657808,11.73107819240442,129.48281235894373,0.19299488918663413,0.17337467415955665,0.12000000000000063,1.0989594747874145,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.99009904039295,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-03,3078.1147188663467,11.903001489719454,11.744633951349227,129.6776393273851,0.19482696844136566,0.17975951240699808,0.12000000000000063,1.103018410227602,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.98257428029476,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-04,3090.190337792298,12.075618925951535,11.7878046490323,129.87101230096886,0.19337297358377176,0.1850266478799095,0.12000000000000063,1.1071086686920346,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.976930710221126,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-05,3102.4535161108734,12.263178318574852,11.865077953484004,130.06059600659302,0.18958370562415744,0.18848378681490977,0.12000000000000063,1.1110136282158602,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.972698032665896,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-06,3114.929923767064,12.476407656190368,11.979157366211922,130.24492987501606,0.18433386842303107,0.18982211612928215,0.12000000000000063,1.114493252836105,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96952352449947,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-07,3127.646004557688,12.716080790623725,12.129413758337046,130.42227206689572,0.1773421918796523,0.18888921153135102,0.12000000000000063,1.1173450527492523,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96714264337466,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-08,3140.6215105288065,12.975505971119073,12.312350073116086,130.59099299651973,0.16872092962402516,0.18569518919149997,0.12000000000000063,1.1194157061747398,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96535698253105,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-09,3153.863902773791,13.242392244984444,12.521949852833204,130.74987047460394,0.15887747808421165,0.18041731949543516,0.12000000000000063,1.1206004027726206,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96401773689834,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-10,3167.3641520318665,13.50024925807578,12.749938633968814,130.89831106539077,0.1484405907868176,0.17340348735913313,0.12000000000000063,1.120843967237838,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96301330267381,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-11,3181.0935891370264,13.729437105159956,12.985979993576176,131.03651610447312,0.1382050390823564,0.1651747874650514,0.12000000000000063,1.1200917666371712,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96225997700541,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-12,3195.0141478967303,13.920558759703859,13.222486449610077,131.1668667163641,0.13035061189095298,0.15642747068928647,0.12000000000000063,1.1183462975053526,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96169498275411,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-13,3209.1220362619188,14.107888365188387,13.455249614195296,131.28891862163007,0.12205190526598475,0.14731737095490943,0.12000000000000063,1.1156816688303735,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96127123706563,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-14,3223.4016435506774,14.279607288758797,13.67827544594061,131.40169219828482,0.11277357665472462,0.1379589396576819,0.12000000000000063,1.1122528482614369,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.960953427799275,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-15,3237.8275254878345,14.425881937157353,13.885129176569246,131.504129523633,0.10243732534818642,0.12843397526685563,0.12000000000000063,1.1082657512574883,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96071507084951,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-16,3252.3658929846583,14.53836749682408,14.069944005891726,131.5954371556532,0.09130763202018967,0.1187981705257721,0.12000000000000063,1.1038917827385282,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96053630313718,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-17,3266.9757287236307,14.609835738972315,14.228177623035492,131.67534321903486,0.07990606338165815,0.10908602285231238,0.12000000000000063,1.0992572339511182,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96040222735294,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-18,3281.609624597026,14.633895873395385,14.357179597367137,131.7442902197062,0.06894700067134385,0.09931451713923438,0.12000000000000063,1.094448096762629,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96030167051475,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-19,3296.2446618866884,14.635037289661943,14.459150535129446,131.79853763892334,0.054247419217147194,0.08859092987123258,0.12000000000000063,1.0895875269998982,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.960226252886116,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-20,3310.859417552707,14.614755666018294,14.531583974391708,131.83830206565034,0.04068556441286039,0.0770041217731724,0.12000000000000063,1.0848496627030602,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96016968966464,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-21,3325.4189167521236,14.559499199416777,14.571710443625088,131.86754361452557,0.030514173309645294,0.0652517985050571,0.12000000000000063,1.080452049871511,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96012726724853,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-22,3339.8835152951897,14.464598543066158,14.577485967819031,131.89254523513483,0.02595608893504587,0.0543735612252699,0.12000000000000063,1.0766187723745462,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96009545043645,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-23,3354.2155614875574,14.33204619236751,14.548333448068561,131.92084719396604,0.02901781007555723,0.045550694513005446,0.12000000000000063,1.0736434587249963,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.960071587827386,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-24,3368.3843925119236,14.168831024366149,14.485698696264757,131.9604479358755,0.04013763034270551,0.03995600731009347,0.12000000000000063,1.071810809945494,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.960053690870595,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-25,3382.3700817142644,13.985689202340565,14.393467461112614,132.01920473018734,0.05915946063679658,0.03864121362736653,0.12000000000000063,1.0714217790816172,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.960040268152994,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-26,3396.1296944466603,13.75961273239539,14.268736180837712,132.10312365106668,0.08422092062304044,0.042994484881158444,0.12000000000000063,1.072727937413994,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.9600302011148,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-27,3409.6508261032614,13.521131656601021,14.112777410353576,132.21617596389814,0.11327881263922632,0.053547899859963964,0.12000000000000063,1.0759316996668318,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96002265083615,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-28,3422.9557666362743,13.304940533013163,13.933761144384466,132.36125931616877,0.14525322712647887,0.07014621901262019,0.12000000000000063,1.0811370423648636,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.960016988127165,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-29,3436.092018900934,13.136252264659696,13.74413194426122,132.53965812642863,0.17852621640174382,0.09207346516444273,0.12000000000000063,1.0883466408557436,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.960012741095426,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-30,3449.1251874142317,13.033168513297634,13.55864178301817,132.75063887601107,0.21107630418883255,0.1181478590543278,0.12000000000000063,1.0974196445073554,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96000955582162,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-10-31,3462.133644923962,13.008457509730839,13.392874679215812,132.99114657782297,0.24057936776670566,0.14679302098757877,0.12000000000000063,1.1082087217450947,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96000716686627,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-11-01,3475.20453233551,13.07088741154831,13.262140172307806,133.25557712793756,0.2644842995806858,0.17609137207552608,0.12000000000000063,1.1205563473850992,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.960005375149755,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-11-02,3488.292103194753,13.08757085924302,13.166046790510768,133.5381275776922,0.2825907618542285,0.20435359692994814,0.12000000000000063,1.1343598914373394,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96000403136237,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-11-03,3501.4449985337556,13.15289533900242,13.113319514343985,133.83730609050914,0.29920874689164145,0.2308012351893814,0.12000000000000063,1.1495081215515033,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96000302352183,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
2020-11-04,3514.7904392687765,13.345440735021064,13.11895957758089,134.14997375017035,0.3126903352172125,0.25458137241660017,0.12000000000000063,1.1658810911636293,594.0000000000031,0.03000000000000016,122.30000000000068,214.00000000000108,0.0,37.96000226764142,16.400000000000084,2.5200000000000133,268.02000000000135,1.600000000000008,23.000000000000124,0.1000000000000005,22593598.00000011
