date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,people_vaccinated_per_hundred,reproduction_rate,new_tests,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_65_older,median_age,extreme_poverty,diabetes_prevalence,hospital_beds_per_thousand,population
2020-10-02,339496.4015820322,4276.652456927208,4263.509584178849,8828.203720328993,64.00647374512532,67.55473804420701,0.06000000000000032,0.9788678230878675,21052.100633557933,0.2025872180961735,4.951271720869151,955.000000000005,0.0,62.83314625948449,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-03,343752.30931516073,4255.907733128508,4267.109183447652,8891.286387531825,63.08266720283244,66.40637819378884,0.06000000000000032,0.9727733624678089,21035.30861996486,0.2018390884266876,4.972739504937585,955.000000000005,0.0,62.603239461904984,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-04,347976.24194112216,4223.932625961448,4264.946329893437,8953.702573454311,62.416185922486406,65.33012414307927,0.06000000000000032,0.9664470224972704,20991.526067430044,0.20061541845317693,5.007138662316641,955.000000000005,0.0,62.43292313230471,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-05,352166.3481979236,4190.106256801409,4255.558198615947,9015.79519124136,62.092617787049114,64.37265096122033,0.06000000000000032,0.9601253444424435,20916.093758717358,0.19896188704608853,5.053665244313441,955.000000000005,0.0,62.3003080570502,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-06,356316.286811016,4149.938613092335,4238.024179666556,9077.643355292701,61.848164051340575,63.55558744522044,0.06000000000000032,0.9540715455005475,20810.847484519625,0.19695105329361645,5.110591531812981,955.000000000005,0.0,62.192185793918966,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-07,360416.9672252631,4100.680414247182,4211.85874609446,9139.303088544522,61.65973325182161,62.890029142415734,0.06000000000000032,0.9485604464557287,20684.7555067317,0.19468048454034834,5.17515276327474,955.000000000005,0.0,62.102420211631944,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-08,364459.2959102213,4042.328684958178,4177.080562964516,9200.813903350874,61.510814806351746,62.37607857950096,0.06000000000000032,0.9438392100842024,20548.17579294473,0.1922571313432059,5.243989006845203,955.000000000005,0.0,62.021031060469355,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-09,368436.2360890983,3976.94017887701,4134.2643191206125,9262.203737144713,61.38983379383953,62.002500434302604,0.06000000000000032,0.9400820578540388,20404.815991444193,0.1897828614356529,5.314019550867588,955.000000000005,0.0,61.93515500188087,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-10,372344.3525354733,3908.1164463749574,4084.579601008209,9323.492654183694,61.28891703898025,61.74646291460875,0.06000000000000032,0.937426119990401,20258.52345124316,0.1873403781387955,5.382575102711138,955.000000000005,0.0,61.84592313570292,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-11,376184.9701708363,3840.6176353629944,4029.8200480412297,9384.695621859502,61.20296767580929,61.57334379229149,0.06000000000000032,0.9359483876657173,20109.602866389734,0.1850162726150859,5.447346647007505,955.000000000005,0.0,61.74804771700029,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-12,379963.23292870953,3778.2627578732527,3970.9849922364865,9445.916609736592,61.22098787708976,61.4490135003273,0.06000000000000032,0.9356610321843248,19960.860569313983,0.18286724647812141,5.505928537291835,955.000000000005,0.0,61.632923311990766,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
2020-10-13,383677.24872691405,3714.0157982045566,3908.710042335095,9507.155977018036,61.23936728144378,61.36222053248538,0.06000000000000032,0.9365468407187232,19819.830979668128,0.1809662073214226,5.556490682219046,955.000000000005,0.0,61.49095266498863,3.190000000000017,20.000000000000107,2.5000000000000133,8.830000000000044,1.400000000000007,44496124.00000023
