date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,life_expectancy,population
2020-03-11,1.0000000000000038,0.0,0.0,0.0,0.0,284.5000000000011,81.44000000000032,3801.0000000000146
2020-03-12,1.0000000000000042,0.0,0.0,0.0,0.0,284.5000000000012,81.44000000000035,3801.0000000000164
2020-03-13,1.0000000000000044,0.0,0.0,0.0,0.0,284.5000000000013,81.44000000000038,3801.0000000000173
2020-03-14,1.0000000000000047,0.0,0.0,0.0,0.0,284.50000000000136,81.4400000000004,3801.000000000018
2020-03-15,1.0000000000000049,0.0,0.0,0.0,0.0,284.5000000000014,81.44000000000041,3801.000000000019
2020-03-16,1.000000000000005,0.0,0.0,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-17,1.000000000000005,0.0,0.0,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-18,1.000000000000005,0.0,0.0,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-19,1.000000000000005,0.0,0.0,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-20,1.000000000000005,0.0,0.0,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-21,1.000000000000005,0.0,0.0,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-22,1.000000000000005,0.0,0.0,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-23,1.000000000000005,0.0,0.0,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-24,1.000000000000005,0.0,0.0,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-25,1.000000000000005,0.0,0.0,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-26,1.000000000000005,0.0006140917905623792,0.0,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-27,1.000000000000005,0.0030462184873949706,0.0,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-28,1.000000000000005,0.007245879120879156,0.0006493212669683272,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-29,1.000000000000005,0.013013594861021398,0.002197398190045257,0.0,0.0,284.5000000000015,81.44000000000042,3801.00000000002
2020-03-30,0.9949579831932824,0.014996136675824246,0.00425535310277959,0.0,0.0,283.0655714285729,81.44000000000042,3801.00000000002
2020-03-31,0.9852941176470639,0.018260677167501696,0.006971896210407269,0.0,0.0,280.3162500000015,81.44000000000042,3801.00000000002
2020-04-01,0.9748787976729204,0.02579958027381637,0.010806814853345233,0.0,0.0,277.3531435439576,81.44000000000042,3801.00000000002
2020-04-02,0.9695236748545623,0.03904910343419237,0.016361090454811808,0.0,0.0,275.8296378777488,81.44000000000042,3801.00000000002
2020-04-03,0.9758499313186865,0.05827842421429989,0.024249486231542012,0.0,0.0,277.62942621050973,81.44000000000042,3801.00000000002
2020-04-04,1.0004394846881113,0.08288141027449372,0.03500498797682402,0.0,0.0,284.62503119634425,81.44000000000042,3801.00000000002
2020-04-05,1.049198391796628,0.11159544684614206,0.04900713464777651,0.0,0.0,298.4966964741817,81.44000000000042,3801.00000000002
2020-04-06,1.1193163762650553,0.13636303633046978,0.06623919067555457,0.0,0.0,318.4449250705689,81.44000000000042,3801.00000000002
2020-04-07,1.214665045611851,0.16436018933576477,0.08698789332987233,0.0,0.0,345.57116891604943,81.44000000000042,3801.00000000002
2020-04-08,1.3425113892509075,0.198253981691546,0.11149738412151568,0.0,0.0,381.9428404879427,81.44000000000042,3801.00000000002
2020-04-09,1.5110529019898964,0.23859029234493667,0.1398861279424622,0.0,0.0,429.89207154242837,81.44000000000042,3801.00000000002
2020-04-10,1.7275689266540286,0.2843241025812629,0.17208460242097112,0.0,0.0,491.48978216360956,81.44000000000042,3801.00000000002
2020-04-11,1.9970341610538735,0.33321722043950314,0.2077885649379007,0.0,0.0,568.15123255031,81.44000000000042,3801.00000000002
2020-04-12,2.3210787882112243,0.382136574023875,0.2464240028889464,0.0,0.0,660.3401868561727,81.44000000000042,3801.00000000002
2020-04-13,2.699729582431856,0.429798939890887,0.28838135058299996,0.0,0.0,768.0642377504051,81.44000000000042,3801.00000000002
2020-04-14,3.1354629916073495,0.47905573368351845,0.33343291015767723,0.0,0.0,892.0279152229543,81.44000000000042,3801.00000000002
2020-04-15,3.6269042896008004,0.5265186910189423,0.3804827304527771,0.0,0.0,1031.8401225839923,81.44000000000042,3801.00000000002
2020-04-16,4.169143957342819,0.5691618043016997,0.42792103297209816,0.0,0.0,1186.1041420349584,81.44000000000042,3801.00000000002
2020-04-17,4.7539749686535355,0.6042307585268576,0.4738900313548017,0.0,0.0,1352.485138846842,81.44000000000042,3801.00000000002
2020-04-18,5.3700707546091015,0.6291750081323775,0.5164832959789334,0.0,0.0,1527.7607894938933,81.44000000000042,3801.00000000002
2020-04-19,6.003118676816565,0.641596834638392,0.5538952774140653,0.0,0.0,1707.8592527539072,81.44000000000042,3801.00000000002
2020-04-20,6.643483157580115,0.6467761650867458,0.585264541447751,0.0,0.0,1890.039278285537,81.44000000000042,3801.00000000002
2020-04-21,7.285359620932352,0.6466852265946337,0.6096056459048187,0.0,0.0,2072.6495078414996,81.44000000000042,3801.00000000002
2020-04-22,7.91954654181434,0.6377934933137848,0.6259063999101923,0.0,0.0,2253.0721709586983,81.44000000000042,3801.00000000002
2020-04-23,8.535587508170723,0.6187458956802327,0.6333898839662586,0.0,0.0,2428.3324869779162,81.44000000000042,3801.00000000002
2020-04-24,9.123377767521077,0.5898189563432392,0.631710965010894,0.0,0.0,2595.555716558587,81.44000000000042,3801.00000000002
2020-04-25,9.6743691368884,0.5525128921119873,0.6211036827109833,0.0,0.0,2752.3099503148724,81.44000000000042,3801.00000000002
2020-04-26,10.182473685245501,0.5092456904156005,0.6024917891825594,0.0,0.0,2896.8632002927197,81.44000000000042,3801.00000000002
2020-04-27,10.647262503753147,0.46564467505151985,0.5768531663859506,0.0,0.0,3029.093445468414,81.44000000000042,3801.00000000002
2020-04-28,11.064276871350753,0.41765626000551165,0.5443063259853266,0.0,0.0,3147.7322043340237,81.44000000000042,3801.00000000002
2020-04-29,11.42984954103732,0.3660540889924986,0.5055873721554467,0.0,0.0,3251.736153896935,81.44000000000042,3801.00000000002
2020-04-30,11.742199696178783,0.31271121962090936,0.46189721948504053,0.0,0.0,3340.5986422488213,81.44000000000042,3801.00000000002
2020-05-01,12.0022541677385,0.26032526991930205,0.41478700640434313,0.0,0.0,3414.583322992374,81.44000000000042,3801.00000000002
2020-05-02,12.214263347200143,0.21221227823133182,0.3660721552557463,0.0,0.0,3474.899381061351,81.44000000000042,3801.00000000002
2020-05-03,12.386263121259853,0.17215209813697663,0.31776791734678733,0.0,0.0,3523.8329520856114,81.44000000000042,3801.00000000002
2020-05-04,12.53042132284536,0.14427244464345654,0.27167548552140286,0.0,0.0,3564.845686914892,81.44000000000042,3801.00000000002
2020-05-05,12.648462404545157,0.11812676399325825,0.22867322694001802,0.0,0.0,3598.4281695171376,81.44000000000042,3801.00000000002
