date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_boosters_per_hundred,reproduction_rate,icu_patients,hosp_patients,new_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations_per_hundred,people_vaccinated_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,diabetes_prevalence,female_smokers,population
2022-02-27,4490839.40584592,74105.39096237929,78401.04282748277,21938.55585154661,205.62150348148677,193.15032792497416,35927.41218686231,20.60962396695463,0.9095247065312522,2064.8900102897805,28498.213935886306,170003.34213180275,173491.6687776848,0.4257899211509558,2.3539143506327607,183.70974500202274,82.15053347298404,956828.0406452375,935244.784849335,0.009987387898149113,47.22000000000027,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-02-28,4563774.2717891,72934.8659431808,77072.22639598386,22147.130463320624,208.5746117740113,197.30128828374384,36510.90254076088,21.367030515616783,0.9048426249210647,2059.529258571526,28348.51992878244,168557.13623686135,172360.00664144097,0.42106205947989483,2.3800123628452914,184.484952901485,82.15868662703937,961222.8886287259,942995.1211192262,0.009963229999242101,47.22000000000027,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-01,4635500.491673118,71726.21988401789,75719.99230005845,22358.499673605562,211.36921028493668,201.1728673117093,37084.72351513762,22.127977799446946,0.9010964160081882,2050.9924836830105,28162.70734431519,167152.18661526745,171171.21099271637,0.41646800550197083,2.4058593044545926,185.26369285969514,82.16702482806892,965599.0677966912,949816.357193655,0.009937193023025643,47.22000000000027,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-02,4705940.984252583,70440.49257946471,74357.07807572267,22572.290963995412,213.7912903898502,204.72132436872087,37648.25844356077,22.892330149843808,0.8982405408361359,2039.3969645722154,27942.002082250652,165793.65040101125,169909.00900407208,0.41208549022861185,2.431062222361633,186.04594708497848,82.17565452926124,969944.5859315533,955733.6163761734,0.009923806208768923,47.22000000000027,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-03,4775025.751618662,69084.76736607892,72996.99894350833,22787.97567289963,215.68470890421727,207.88104531274007,38200.947327014524,23.659764580708682,0.8961765271526365,2024.8951216192095,27687.529987673806,164524.31357645357,168588.28495279574,0.4079086554865855,2.455664152226949,186.83152414695974,82.18467641730803,974034.3447169274,960842.5263739219,0.009939622594521115,47.22000000000027,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-04,4842726.411855568,67700.66023690575,71652.68204279618,23004.91239462304,216.93672172341212,210.5848783607674,38742.56310175739,24.42971839351474,0.8947849486935024,2007.6699491191102,27399.76940875336,163286.969329076,167245.09661698877,0.40390595832470055,2.4799737121016956,187.6199886176538,82.1941921869307,977566.6092164299,965316.8858761118,0.010001097036388587,47.22000000000027,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-05,4909082.098532924,66355.68667735619,70335.44210756588,23222.37952867578,217.4671340527404,212.77938598453838,39273.41884021596,25.20124742474178,0.893901090317801,1987.9239642864682,27079.239698544923,162028.43803429912,165906.46564309087,0.4000503478644051,2.5039654165908196,188.41050374507643,82.20429540070235,980060.6358231188,969322.2292745707,0.010122994722992813,47.22000000000027,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-06,4974218.88532504,65136.78679211548,69054.21322320844,23439.59969175574,217.22016307995636,214.4362838322955,39794.523151655245,25.97320415291319,0.8933592372600068,1965.865923164064,26726.780371840206,160698.64866147115,164577.22741589948,0.3963947421523444,2.5272904813183605,189.20198204280888,82.215025202757,981210.1036772951,972805.3848841775,0.01031719756131379,47.22000000000027,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-07,5038499.504475364,64280.61915032458,67817.89251388347,23656.73365698749,217.1339652317517,215.65897370162983,40308.777955370446,26.744526417852356,0.8929560795287168,1941.6973022862467,26343.689459783323,159280.3140817532,163251.9725819636,0.39295168040223555,2.549735798933183,189.99342156765962,82.22646185617259,981133.7125188002,975649.7944000446,0.010591808966072624,47.22000000000027,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-08,5101922.277128347,63422.77265298269,66631.68600419097,23873.36344571415,216.62978872665826,216.41038557680446,40816.16981882266,27.514720120435204,0.8924512225424664,1915.5986046581727,25931.75626281241,157885.7998955103,161928.20996329904,0.38967610677872955,2.5714421206931033,190.78444626624272,82.23869949490913,980595.0211214868,977792.0811426333,0.010950482451768447,47.22233193277338,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-09,5164412.70585855,62490.42873020252,65495.96280938119,24088.543382604974,215.17993689082462,216.60864212378013,41316.102749702055,28.282589702478997,0.8916464324207489,1887.715533971977,25493.21490234528,156370.4322099329,160582.0444472644,0.38658367995476517,2.5922273565185385,191.57395881086524,82.25180096248772,978699.3716103472,979042.7729125678,0.01139191807670612,47.2268014705885,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-10,5225873.71276496,61461.006906410854,64406.85435784399,24301.094269339028,212.55088673405282,216.16081546484574,41807.800109303105,29.04625627168799,0.8902189872114906,1858.1450700006399,25030.638471523052,154591.47100618936,159163.07616027075,0.38373123120072206,2.611431344796794,192.3601252167465,82.26581177551813,974525.6748939285,979112.9712649055,0.011909484776017002,47.23161855607654,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-11,5286223.31804173,60349.605276770075,63356.703807975835,24509.824014867914,208.72974552888508,214.98824475959128,42290.60604755593,29.804353806868818,0.8878728700143076,1826.8935587106587,24546.607662858314,152698.93021003978,157650.50860695183,0.38105714996809215,2.6293702118943028,193.14161847623177,82.28078320138661,968717.354312012,977848.8005398246,0.012490937111424537,47.234095300380034,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
2022-03-12,5345422.8989062235,59199.580864494244,62334.403110830055,24713.69310811283,203.86909324491873,213.04552439063752,42764.211579299845,30.55537411403983,0.8846016466930202,1793.9540017968711,24043.94412326345,150701.4212192624,156032.37200143258,0.3785027849065803,2.6466252671948096,193.91692604204803,82.2967055329082,961035.7000746697,975130.9603919416,0.013118202833568423,47.231169406765375,33.70000000000018,48.20000000000026,5.72000000000003,11.200000000000056,123951696.00000066
