date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,reproduction_rate,icu_patients,weekly_hosp_admissions,total_tests,new_tests,new_tests_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,cardiovasc_death_rate,population
2021-07-03,155600.54784676785,662.9713383002633,590.9941758896098,2014.5245701146705,1.789676800823579,1.8363953900425498,3004.8877781554784,1.2251674579404042,145.39988811845168,3283.0000000000173,16928859.491056196,68328.77889166334,63949.46851516067,37.376719516310764,29.22934711329536,0.010000000000000054,125510.78182357756,159015.67449358793,0.1375256131189789,43.93096341721301,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-04,156298.63656380912,698.0887170412942,613.126161328973,2016.3295135588564,1.8049434441858834,1.820096316287571,3018.3691842953463,1.2448195171786405,145.5001908141137,3283.0000000000173,16999446.56725791,70587.07620171463,65334.583755472086,37.611039152423814,29.29555849269619,0.010000000000000054,121416.30340065034,146321.0237919752,0.11287271662656453,43.03047466375015,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-05,157026.02587146728,727.3893076581534,638.0724487278231,2018.1619218530495,1.8324082941930673,1.8127441829170383,3032.416349275166,1.2627830283170784,145.6164650239662,3283.0000000000173,17072657.442751147,73210.87549323824,67009.8039122732,37.84060257052347,29.357777466807253,0.010000000000000054,118951.2042634808,136657.14507410437,0.09442118258950975,42.192502895033094,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-06,157785.59307845525,759.56720698796,665.9713134366248,2020.0278085520395,1.8658866989899874,1.8152347693791193,3047.0848307993006,1.2787370773140874,145.77644055853725,3283.0000000000173,17148844.094506823,76186.65175567541,68989.10765301561,38.06827174043306,29.418528478256743,0.010000000000000054,117969.40720536771,129622.23359549438,0.08125366974756223,41.45894084289737,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-07,158582.7540040582,797.1609256029623,696.9166971007405,2021.9313606157132,1.9035520636736505,1.8274456310097786,3062.479220546151,1.292449866809097,146.00857476279452,3283.0000000000173,17228259.332612526,79415.23810570303,71272.92631183681,38.29665273874437,29.48004341751613,0.010000000000000054,118345.85978347003,124836.4841009519,0.07250360072696133,40.86741765544393,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-08,159423.3546917963,840.6006877380989,730.9036333620788,2023.8744254391634,1.943064823450134,1.848398541292243,3078.712427368247,1.303704400753237,146.39009299840507,3283.0000000000173,17311082.160222184,82822.82760965878,73850.49260071677,38.52812497745846,29.544354476517874,0.010000000000000054,119949.65532564407,121953.39027351627,0.06739192161826567,40.44817442451772,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-09,160312.09019467162,888.7355028753275,767.787317135329,2025.8561261252707,1.981700686107319,1.8763813235516027,3095.8751396923176,1.3123261350833524,147.00043981990936,3283.0000000000173,17397462.521831173,86380.36160898954,76704.63233030499,38.76467469624839,29.61331821679375,0.010000000000000054,122585.4249299152,120675.62963144634,0.06525838853108781,40.22172083131659,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-10,161251.31866410348,939.2284694318689,807.2524065651373,2027.8725729391401,2.0164468138694387,1.9090392247257604,3114.0129223193394,1.318098188901398,147.91628009117656,3283.0000000000173,17487540.71661581,90078.19478463498,79811.67237313287,39.00807631953606,29.688624894011,0.010000000000000054,126136.9119747475,120765.06942785125,0.06556079204472837,40.19707763059803,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-11,162240.1719166299,988.853252526392,848.7899994939901,2029.916646898928,2.0440739597879904,1.9434434456936445,3133.1090390245768,1.3207780696010665,149.18085906644342,3283.0000000000173,17581433.48250067,93892.76588485648,83141.03850738695,39.25992698755126,29.77190176682374,0.010000000000000054,130518.26399075703,122065.33999913684,0.06799476985772221,40.370458513834166,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-12,163270.59592195874,1030.4240053288618,892.0804876618645,2031.974055956358,2.0574090574298776,1.975789597844897,3153.007989675677,1.3201714642887137,150.84921896046626,3283.0000000000173,17679209.428908493,97775.9464078248,86650.31842481959,39.52137801377275,29.864536215227737,0.010000000000000054,135490.4569782005,124428.07817323774,0.07233657513084833,40.72428150657801,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-13,164344.3045206548,1073.7085986960662,936.957661641681,2034.0434540551832,2.0693980988254816,2.005014952100547,3173.742882851462,1.3161977643445268,152.99447724556,3283.0000000000173,17780822.700802274,101613.27189378084,90282.6783790544,39.7915674469812,29.965983609384647,0.010000000000000054,140023.01325724466,127578.58047866798,0.07814819734684356,41.23751995346298,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-14,165463.7328992179,1119.4283785630985,982.9957153650696,2036.1262556997613,2.082801644578067,2.0307119251290655,3195.360751020308,1.308926118992075,155.6483789425736,3283.0000000000173,17886061.240889385,105238.54008711019,93971.7104488029,40.06974733701359,30.07597736443995,0.010000000000000054,144163.58654280443,131266.81451220094,0.08508141303922137,41.883795427282166,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-15,166630.6539568959,1166.9210576779817,1029.6127684242565,2038.2252994024902,2.0990437027289635,2.0530127738403383,3217.895831041577,1.2986301096060489,158.8271536316234,3283.0000000000173,17994647.230440818,108585.98955143493,97652.15447525779,40.35541780722049,30.194680502321603,0.010000000000000054,148036.39567633433,135279.1924290766,0.09285113734890553,42.62027708112749,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-16,167845.14058079434,1214.4866238984364,1076.1485077984785,2040.3438452693883,2.118545866898051,2.0725031162561454,3241.3495245416916,1.2856889687591602,162.5740820950817,3283.0000000000173,18106289.19842857,111641.9679877522,101260.95010014097,40.64900275425188,30.32334731921054,0.010000000000000054,152130.44751678556,139499.89647112892,0.10136718300521519,43.395112465015046,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-17,169104.7873522088,1259.6467714144562,1121.922419148796,2042.4848231892774,2.1409779198891195,2.0901570721630236,3265.675368196189,1.2705542184892167,166.9080017781635,3283.0000000000173,18220658.379558362,114369.181129793,104731.08749430432,40.951544567305,30.463882338147442,0.010000000000000054,156765.73697889515,143875.4296093262,0.11067115325261875,44.18214074824422,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-18,170404.12682637403,1299.3394741652396,1166.2774602892007,2044.6502689756712,2.165445786393895,2.107288618601909,3290.767761441264,1.2537884822250267,171.8282055999448,3283.0000000000173,18337402.536252506,116744.15669414517,107995.56964464567,41.26526136665528,30.619504513791618,0.010000000000000054,162556.97369409405,148452.3752128126,0.12099576959363362,44.954897416386856,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-19,171733.211070007,1329.0842436329815,1208.9430557857454,2046.830817439578,2.1805484639066073,2.1246075434601615,3316.4345794843143,1.2360393254696767,177.33909214436738,3283.0000000000173,18456170.314810608,118767.77855810098,110994.40179715605,41.59315045291653,30.79425912225391,0.010000000000000054,169900.28193508275,153368.0517231197,0.13270982008468893,45.688710231003846,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-20,173091.2785836949,1358.0675136878926,1249.5655846641332,2049.0288661501454,2.1980487105673214,2.1426487733029456,3342.661111083829,1.2179280073537135,183.42920598610385,3283.0000000000173,18576604.596499063,120434.28168845309,113683.11715265065,41.93750795927375,30.99129679805764,0.010000000000000054,178434.02258576613,158855.32746396252,0.14634021897431204,46.362271199432655,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-21,174477.8165815982,1386.5379979032841,1287.72391652008,2051.252596606794,2.2237304566488296,2.1623855780379753,3369.437445950239,1.1999925472088873,190.09200791556395,3283.0000000000173,18698339.242962558,121734.64646349577,116039.70389551595,42.30096678070295,31.214044027114703,0.010000000000000054,188331.35100525894,165164.99983197346,0.16241531290558886,46.95881555212789,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-22,175891.9509785389,1414.1343969407167,1323.039924946623,2053.5127506225194,2.260154015725152,2.184958381977095,3396.746695968825,1.1825327103420258,197.32086437235523,3283.0000000000173,18821072.14345336,122732.90049080233,118060.69304768756,42.68619098727259,31.46579110049121,0.010000000000000054,199610.28209686629,172532.69274728352,0.181385498900265,47.46700597566677,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-23,177331.9888803168,1440.0379017779378,1355.261372604604,2055.8202126113656,2.3074619888462267,2.2114713721324684,3424.556161116895,1.1656815301708712,205.00171809180713,3283.0000000000173,18944580.30624874,123508.16279538051,119755.86841213948,43.09540665351203,31.74908605322883,0.010000000000000054,212048.46918415622,181092.40831288698,0.20344313193214805,47.881595787503215,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-24,178795.07545144664,1463.0865711298356,1384.3240750255302,2058.1841963040342,2.3639836926689335,2.242839954438721,3452.810703901671,1.1494775341827768,213.03648572464107,3283.0000000000173,19068658.50105051,124078.1948017715,121142.87689087595,43.5300386682207,32.06531744877752,0.010000000000000054,225219.25023976588,190871.48255981097,0.2285322519872498,48.2015817792183,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-25,180276.9365659608,1481.8611145141533,1410.3985234637198,2060.61088478459,2.426688480555356,2.2796763459195417,3481.427780188702,1.133968040746974,221.38037011119283,3283.0000000000173,19193119.05494111,124460.55389059836,122245.22599394899,43.990693674727325,32.41463546861292,0.010000000000000054,238701.42080846088,201749.26353588956,0.25621787030911913,48.435461706100924,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
2021-07-26,181771.07697198217,1494.1404060213638,1433.977982287514,2063.0935869885743,2.482702203984717,2.322380239400875,3510.2819518189717,1.1192703098103935,230.0112956829425,3283.0000000000173,19317780.337375864,124661.28243475566,123087.15955687109,44.477005873369414,32.7956488703673,0.010000000000000054,251994.7109360164,213477.04330479406,0.28571269167818764,48.60057850323446,43.400000000000226,0.200000000000001,86.00000000000043,51815808.00000028
