date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,people_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,aged_70_older,median_age,aged_65_older,cardiovasc_death_rate,female_smokers,male_smokers,hospital_beds_per_thousand,human_development_index,population
2020-12-24,496626.1720760227,1472.6869636710153,1607.1589214495375,7192.127994733672,29.792629206436928,30.75671470733583,3083728.6315017017,0.8184067533004526,14271.96209155232,14706.396730960398,0.09832835329523032,10.313412085062552,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2020-12-25,498050.93678164604,1424.7647056233343,1560.7946532720289,7221.442440782002,29.31444604833129,30.440878629079805,3097834.2334517497,0.816471192964998,14105.601950047581,14567.238773171837,0.09609112599275448,10.52068123574263,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2020-12-26,499428.80877563404,1377.871993988026,1515.3733618027632,7250.241462131437,28.79902134943532,30.079757388099488,3111772.842089463,0.8153039441742991,13938.608637713469,14418.428821313933,0.09404087196709345,10.719539692159284,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2020-12-27,500763.80488489365,1334.9961092596054,1471.112388999133,7278.5213680918005,28.279905960363536,29.68142663835972,3125545.312901943,0.8148073052541903,13772.470812480336,14262.49904003201,0.09216947104060785,10.910819927490518,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2020-12-28,502065.9751892042,1302.1703043105751,1427.892795951032,7306.3405735801725,27.819205488372237,29.25130494968127,3139160.502614406,0.8149168881197001,13615.18971246305,14103.122583191447,0.0904546727697902,11.097390963717451,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2020-12-29,503335.2836543473,1269.3084651430815,1385.8802209128555,7333.676454748811,27.335881168638622,28.791754083948128,3152637.996902632,0.8156652032584899,13477.494288225782,13944.805205008342,0.08888512222440159,11.282595582193405,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2020-12-30,504570.7268487121,1235.4431943647464,1345.321899201127,7360.510023673124,26.83356892431352,28.309652828636636,3166001.5700590084,0.8171021668265447,13363.573156376206,13792.099201105984,0.0874186897613847,11.469173577401373,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2020-12-31,505771.4339051191,1200.7070564070455,1306.4673482857856,7386.836493191182,26.32646951805741,27.814690817340473,3179273.062547493,0.8192073620300583,13271.492488484499,13649.186068573526,0.08602426295775487,11.66008154051711,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-01,506937.4914921884,1166.0575870693451,1269.5088816086525,7412.673200533345,25.836707342163002,27.318088895164408,3192472.0976863187,0.8219654762736761,13199.035138826224,13519.689729193575,0.08466477123253732,11.857806792104075,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-02,508070.5625428653,1133.0710506769294,1234.5369939472794,7438.065550044492,25.392349511147174,26.831639392769592,3205625.5717618344,0.8253310884592984,13153.474075515938,13407.542135292097,0.08332178462996224,12.065249082442651,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-03,509174.35030081484,1103.7877579495214,1201.5069004378365,7463.091470225687,25.025920181194934,26.366986331907547,3218760.9248297834,0.8292163189301246,13135.353067949189,13316.540101792296,0.08197824862114664,12.284767451780294,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-04,510257.07912832673,1082.7288275119163,1170.1577895817725,7487.926521221312,24.83505099562474,25.94084608377232,3231904.6287386967,0.8334440750088421,13143.703908912783,13249.198579899508,0.08063074528938949,12.516410107257991,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-05,511319.13066169503,1062.051533368263,1140.5493344293818,7512.584208950901,24.65768772958866,25.558373412215182,3245083.626240517,0.8377855449444156,13178.997501820353,13206.568925228463,0.07926297493342878,12.76118767094125,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
2021-01-06,512359.77230137866,1040.6416396836,1112.72023530814,7537.035231697026,24.45102274612495,25.218092599562194,3258317.987699138,0.8420031858576341,13234.361458621262,13188.12294472938,0.07787531781933478,13.020510985914424,0.0,0.1100000000000006,26.000000000000135,26.000000000000135,0.0,80.09000000000043,3.260000000000017,27.500000000000135,5.100000000000026,298.00000000000153,1.000000000000005,44.70000000000024,0.800000000000004,0.6300000000000033,171186368.0000009
