date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_boosters_per_hundred,people_vaccinated_per_hundred,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,aged_70_older,gdp_per_capita,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,population,excess_mortality_cumulative,excess_mortality
2021-05-18,402078.58033584966,1630.9349106753127,1749.9368198665204,19350.408354793813,71.90859192720052,70.26598575310085,0.03000000000000016,9.519026473930117,0.9787977421312622,4400.823911106114,4751.239061268081,0.311567633782225,3.211711550971137,45029.38680929166,42421.25303266906,0.15929159337110566,73.96565222732369,28.10000000000015,4.460000000000024,10581.940000000057,2.00000000000001,12.300000000000065,80.64000000000043,1.500000000000008,18001002.00000009,56.5040522482779,80.58452511140621
2021-05-19,403658.09401077597,1579.5136749263315,1712.4585749839262,19422.968838816785,72.56048402296997,70.68733902394015,0.03000000000000016,9.674042318278888,0.9772964320024558,4305.523023827329,4634.372169254234,0.30967265487771634,3.232736475122346,46109.048478009536,43159.95559544562,0.1572983653579998,73.31566321703455,28.10000000000015,4.460000000000024,10581.940000000057,2.00000000000001,12.300000000000065,80.64000000000043,1.500000000000008,18001002.00000009,56.5339949300445,78.33338018963565
2021-05-20,405181.9895610884,1523.8955503123977,1669.6351007596018,19495.81462200208,72.8457831852948,71.15855064804572,0.03000000000000016,9.828496994042084,0.9759631126249846,4219.799329926093,4522.545497334992,0.30789153058944474,3.2530122787722746,47082.137764454215,44034.339838148604,0.1560668574057011,72.53671573856786,28.10000000000015,4.460000000000024,10581.940000000057,2.00000000000001,12.300000000000065,80.64000000000043,1.500000000000008,18001002.00000009,56.559384483617116,76.08692855343747
2021-05-21,406648.4281436675,1466.438582579161,1622.4951985496646,19568.486936120204,72.6723141181244,71.59288163503246,0.03000000000000016,9.98166007584832,0.9747971567053267,4142.652858789113,4418.414051895885,0.30618157619030634,3.2728442123112726,47875.38417337305,44972.3559613523,0.15521045333223338,71.6414791116183,28.10000000000015,4.460000000000024,10581.940000000057,2.00000000000001,12.300000000000065,80.64000000000043,1.500000000000008,18001002.00000009,56.580337905606996,73.85242586839799
2021-05-22,408058.9086158314,1410.4804721638488,1572.440197069975,19640.48616201261,71.99922589240722,71.89758947449681,0.03000000000000016,10.132678153201704,0.9737875895716597,4077.9463506206057,4323.659165295546,0.3044986579022647,3.2926066563246033,48452.14890895681,45901.145784847526,0.15437826663136658,70.63923716176811,28.10000000000015,4.460000000000024,10581.940000000057,2.00000000000001,12.300000000000065,80.64000000000043,1.500000000000008,18001002.00000009,56.59698355202369,71.63662834025878
2021-05-23,409419.00227635377,1360.0936605223712,1521.2076579834788,19711.31032286695,70.82416085434106,71.98094776198131,0.03000000000000016,10.28088272608423,0.9729355532000777,4019.1167765401206,4238.253924715039,0.3028206644027817,3.312494746606741,48862.3808963266,46760.647428487035,0.15328790165419742,69.5380807478614,28.10000000000015,4.460000000000024,10581.940000000057,2.00000000000001,12.300000000000065,80.64000000000043,1.500000000000008,18001002.00000009,56.60945356576316,69.44545735732734
2021-05-24,410740.96106408554,1321.958787731793,1470.4721298806296,19780.736055013847,69.42573214689679,71.74849831340592,0.03000000000000016,10.426324940490789,0.9722228349065237,3964.293561719898,4161.466106109006,0.301154121443651,3.332321932611815,49225.148794416964,47519.39122747395,0.1518288868094912,68.35825545423809,28.10000000000015,4.460000000000024,10581.940000000057,2.00000000000001,12.300000000000065,80.64000000000043,1.500000000000008,18001002.00000009,56.61787427257714,67.28360691586244
2021-05-25,412024.9803003272,1284.019236241639,1420.9128044240485,19848.500489870625,67.76443485677902,71.15613860254,0.03000000000000016,10.56942179198737,0.9716365831934688,3910.167213953148,4091.3752906354125,0.29955434350678517,3.3512000790645544,49566.84262360852,48167.596280980455,0.15001613828100352,67.12874799016153,28.10000000000015,4.460000000000024,10581.940000000057,2.00000000000001,12.300000000000065,80.64000000000043,1.500000000000008,18001002.00000009,56.62233524548013,65.1533068121624
2021-05-26,413270.6523390145,1245.6720386873717,1373.2212666987748,19914.289313750767,65.78882388014091,70.18840162482041,0.03000000000000016,10.710346563770763,0.9711631193601966,3860.309282475209,4027.7763613185166,0.2980597459946659,3.3686957929765073,49804.00079446793,48695.44250808512,0.14788847733712646,65.88472598938918,28.10000000000015,4.460000000000024,10581.940000000057,2.00000000000001,12.300000000000065,80.64000000000043,1.500000000000008,18001002.00000009,56.62293028257263,63.05649975544195
2021-05-27,414477.97865309793,1207.3263140834035,1327.9972785631908,19977.822350536117,63.533036785348166,68.8576447868119,0.03000000000000016,10.849344441250842,0.9708080214852426,3806.8681286308138,3968.787571570664,0.29659442164855315,3.3859368415003237,49956.022347628656,49105.9925468687,0.14554111559819088,64.65511785985063,28.10000000000015,4.460000000000024,10581.940000000057,2.00000000000001,12.300000000000065,80.64000000000043,1.500000000000008,18001002.00000009,56.61976754755611,60.99544077373363
