date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,gdp_per_capita,diabetes_prevalence,population
2022-03-10,11589.484716140636,24.53900972431354,23.80006097266051,123.038529782866,0.07463788535144672,0.08615436143133776,178927.38461851585,106.6861545100468,0.0761745375337459,48.977232260215345,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-11,11614.609367745441,25.124651604805976,24.035284417278227,123.11753663902425,0.07900685615967437,0.08123002446716857,179315.2778325038,106.64514270865033,0.07873626837332182,48.87501146083707,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-12,11640.439314109033,25.829946363591592,24.374267449998136,123.20457135451076,0.08703471548756458,0.07940199475632351,179714.0599942876,106.1911776520438,0.08035860076286155,48.8053532950461,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-13,11667.051205038804,26.611890929771953,24.81073113048506,123.3028629050235,0.09829155051354047,0.08059448249258211,180124.91450024088,105.33724232112738,0.08105870493543005,48.76343610897049,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-14,11694.411028213508,27.35982317470457,25.34052265297049,123.41499462543877,0.11213172041586016,0.08483500214092993,180547.31626189713,104.1155852637933,0.08088242559879308,48.7390462155353,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-15,11722.584353900937,28.17332568742795,25.96369580356113,123.54274241381097,0.12774778837265813,0.092181681469951,180982.2776133591,102.58100051862728,0.07990761751842265,48.717927518794404,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-16,11751.635227287386,29.050873386450128,26.671161962560994,123.68695338437261,0.1442109705619761,0.10235006200744082,181430.78733251474,100.81391780978507,0.07821868986797029,48.69194208382761,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-17,11781.603278901239,29.968051613851863,27.4469304570533,123.84745485728416,0.16050147291178618,0.11479874560060346,181893.45725568882,98.92335044525103,0.07591999671578065,48.65347627844932,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-18,11812.486557430631,30.883278529393472,28.26978882533688,124.0229861009465,0.17553124366250833,0.12879362933619945,182370.25723863178,97.036501198515,0.07313004278570436,48.632085715624385,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-19,11844.228654336726,31.74209690609493,29.11456301525351,124.21114713873526,0.18816103778889837,0.14345608173065666,182860.31637726107,95.29049807083207,0.06996178548294352,48.61951677540614,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-20,11876.709047313649,32.48039297692095,29.95306253293339,124.40836035405161,0.19721321531646402,0.1577990748726534,183361.77392321755,93.80177788408733,0.06652935462610558,48.58435186726896,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-21,11909.7787150263,33.06966771265198,30.76883132116098,124.61110219831198,0.20274184426045755,0.17094335916030806,183872.3291343979,92.6967277246364,0.06292626613118235,48.483031838396194,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-22,11943.412672339553,33.633957313254385,31.548922456610924,124.818200598314,0.20709840000206614,0.18246091303538975,184391.59625900813,92.12375781674828,0.0592431805292207,48.268135384938134,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-23,11977.55129481706,34.1386224775071,32.275665985961794,125.02788768209055,0.2096870837765984,0.1919676951191412,184918.6547598672,92.251868136317,0.05556700078153097,47.89458861045544,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-24,12012.107362515528,34.55606769846651,32.930944382813344,125.23811033170384,0.21022264961331527,0.19918375453263354,185452.15806246691,93.26765029422236,0.05197857961006554,47.324322194751794,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-25,12046.971342830424,34.86398031489712,33.499399140374436,125.44676309784074,0.2086527661369421,0.203978313637032,185990.41511601658,95.36381141168178,0.04853726373146647,46.52976427049829,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-26,12082.015352630267,35.04400979984451,33.970835715979,125.65186288575953,0.2050997879188025,0.20640358008879564,186531.45156422668,98.72864394984097,0.04529241127629867,45.4917836101136,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-27,12117.096129857333,35.08077722706507,34.34202723947298,125.85167996974968,0.1998170839901687,0.20672010588107664,187073.05562339653,103.65873247757159,0.04225469953673277,44.202199213726175,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-28,12152.164405085325,35.06827522799116,34.62724376509283,126.04483625397695,0.19315628422727446,0.2052267309945182,187614.46665064397,110.44430792314333,0.03943504533774678,42.669775137508644,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
2022-03-29,12187.152149967858,34.98774488253188,34.82034426531935,126.23037896811702,0.18554271414007467,0.2019517224540337,188154.63437227544,119.27309842781341,0.03682547598779622,40.9200275392983,1308.8200000000068,50669.32000000027,13.000000000000068,64207.000000000335
