date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,total_cases_per_million,reproduction_rate,people_vaccinated_per_hundred,new_tests,new_tests_smoothed,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,median_age,extreme_poverty,diabetes_prevalence,population
2020-11-09,351.40010117834544,1.5390526776778022,1.520173662397236,1.000000000000005,0.0,449.98069744827586,0.9787148359200792,10.980000000000057,1201.3145837447578,1129.229074086403,820.107716522351,85949.00000000045,10.980000000000057,75.01260746149379,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-10,352.9927714235139,1.5926702451685029,1.5203716818334818,1.000000000000005,0.0,452.0200305199503,0.9900996369594532,10.980000000000057,1199.7605014801925,1130.1741488097941,829.6935362605427,85949.00000000045,10.980000000000057,74.31570559612044,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-11,354.6382114053864,1.6454399818725014,1.5354287290544928,1.000000000000005,0.0,454.1269086365697,1.0008748246814532,10.980000000000057,1194.6844032594672,1128.659215356539,835.6750293770501,85949.00000000045,10.980000000000057,73.58297667608203,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-12,356.32859391279925,1.690382507412782,1.5623863496350865,1.000000000000005,0.0,456.29131302235356,1.0109573466946724,10.980000000000057,1186.8762468531347,1124.7218194036373,839.2452442370551,85949.00000000045,10.980000000000057,72.82143418773389,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-13,358.050695596203,1.7221016834038039,1.5970064719871446,1.000000000000005,0.0,458.49631783076063,1.0202829744683233,10.980000000000057,1174.4746221146424,1118.2627446432273,841.0565721564609,85949.00000000045,10.980000000000057,72.04455980369644,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-14,359.78708439915664,1.736388802953631,1.6341155521157649,1.000000000000005,0.0,460.7196100602075,1.0288537951692789,10.980000000000057,1157.0160991005278,1109.3124269374964,840.9259520649875,85949.00000000045,10.980000000000057,71.2691915075882,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-15,361.5170101319472,1.7299257327905329,1.6678626821863736,1.000000000000005,0.0,462.9346294908577,1.0367154918197532,10.980000000000057,1135.5533800784679,1097.9734443143066,838.6459782698148,85949.00000000045,10.980000000000057,70.51318968757553,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-16,363.21581189760343,1.6988017656562504,1.6906526677483797,1.000000000000005,0.0,465.10981019183487,1.0438803486644286,10.980000000000057,1114.537934218516,1084.9743463255827,833.6805244263442,85949.00000000045,10.980000000000057,69.79368670653501,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-17,364.8753527822852,1.6595408846817503,1.7001452862023667,1.000000000000005,0.0,467.234736926359,1.0503157236831968,10.980000000000057,1090.6161203471463,1070.557181851493,825.9945125828491,85949.00000000045,10.980000000000057,69.1257740796751,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-18,366.4918733456026,1.6165205633173911,1.6959250603208142,1.000000000000005,0.0,469.3045976204325,1.055992610474099,10.980000000000057,1064.5338097173747,1054.9440660912715,815.7891908366208,85949.00000000045,10.980000000000057,68.52151785775254,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-19,368.06570526776744,1.5738319221648391,1.6791590505735154,1.000000000000005,0.0,471.31981683200246,1.0608831133177608,10.980000000000057,1037.177959097987,1038.3430689608272,803.0323553123405,85949.00000000045,10.980000000000057,67.98922016448451,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-20,369.60105658495667,1.5353513171892423,1.6523401993716385,1.000000000000005,0.0,473.2857808528325,1.064969542486706,10.980000000000057,1010.0655960203242,1021.2484781912099,787.9471801881995,85949.00000000045,10.980000000000057,67.53286534960782,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-21,371.10585061583504,1.504794030878359,1.6190948392507738,1.000000000000005,0.0,475.2126315349062,1.0682759610020707,10.980000000000057,983.9893553862852,1004.1861808799956,771.0427009136134,85949.00000000045,10.980000000000057,67.15170460367331,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-22,372.5916051564469,1.4857545406119064,1.584038324008218,1.000000000000005,0.0,477.1151116602301,1.0708456262137394,10.980000000000057,962.0208950141819,987.8606117427387,753.7365311797166,85949.00000000045,10.980000000000057,66.83994441914163,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-23,374.04056876714185,1.448963610694872,1.5481541470139226,1.000000000000005,0.0,478.97047417826957,1.0727525131315407,10.980000000000057,942.8255936911482,972.0671782640688,736.8828589536313,85949.00000000045,10.980000000000057,66.58651293620505,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-24,375.45909496579,1.4185261986481759,1.5135150931305148,1.000000000000005,0.0,480.7868536944656,1.0740664856889932,10.980000000000057,927.7493504073411,957.2115019915241,718.4845731098591,85949.00000000045,10.980000000000057,66.37488470215388,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-25,376.8748157298375,1.4157207640475429,1.4846153114445266,1.000000000000005,0.0,482.5996384932157,1.0747447576086986,10.980000000000057,917.4601866904457,943.7303621109681,697.6844576281289,85949.00000000045,10.980000000000057,66.18060470308609,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-26,378.3269585976372,1.4521428677997188,1.4670248319996864,1.000000000000005,0.0,484.4590688828407,1.0746823561832546,10.980000000000057,910.7839894037436,932.0971413311265,673.4133787737801,85949.00000000045,10.980000000000057,65.99894512395332,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-27,379.8590844944469,1.532125896809714,1.4663804533468903,1.000000000000005,0.0,486.42093595430964,1.0737714633236093,10.980000000000057,908.7404645802815,922.819300730085,644.5767971701872,85949.00000000045,10.980000000000057,65.82801330321072,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
2020-11-28,381.5136411019281,1.6545566074812377,1.4876289082066794,1.000000000000005,0.0,488.53960565028365,1.0718959859865675,10.980000000000057,913.1485449445853,916.654827842329,611.3378451303884,85949.00000000045,10.980000000000057,65.66774236266994,28.600000000000158,1.500000000000008,9.75000000000005,782457.0000000041
