date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,total_deaths_per_million,median_age,aged_70_older,life_expectancy,population,excess_mortality
2020-03-11,12.786469780219825,0.3809457623889251,0.16264189609621368,1.0000000000000038,0.0,0.0,14.675005474305163,1.1500000000000041,36.00000000000014,6.840000000000025,80.48000000000032,974062.0000000037,0.9800000000000038
2020-03-12,12.740951236263786,0.5307481065363622,0.23955931476770065,1.0000000000000042,0.0,0.0,14.62277963901913,1.1500000000000048,36.000000000000156,6.840000000000028,80.48000000000036,974062.0000000042,0.9800000000000041
2020-03-13,12.794724416208847,0.7284101426042773,0.33969146409775436,1.0000000000000044,0.0,0.0,14.684476455185505,1.1500000000000052,36.00000000000017,6.84000000000003,80.48000000000039,974062.0000000044,0.9800000000000044
2020-03-14,13.00373561984896,0.9662494298362097,0.46562380169322637,1.0000000000000047,0.0,0.0,14.924286074420825,1.1500000000000055,36.00000000000018,6.840000000000032,80.4800000000004,974062.0000000047,0.9800000000000046
2020-03-15,13.418186330271356,1.2309087918341737,0.6183694349803285,1.0000000000000049,0.0,0.0,15.399807315996636,1.1500000000000057,36.000000000000185,6.840000000000034,80.48000000000042,974062.0000000049,0.9800000000000048
2020-03-16,13.957466509177358,1.4001531517295436,0.7881658933005358,1.000000000000005,0.0,0.0,16.01854682507119,1.1500000000000057,36.000000000000185,6.840000000000035,80.48000000000042,974062.0000000051,0.9800000000000049
2020-03-17,14.659211711230164,1.5986604358721443,0.9771358937957012,1.000000000000005,0.0,0.0,16.82368629850607,1.1500000000000057,36.000000000000185,6.840000000000035,80.48000000000042,974062.0000000051,0.980000000000005
2020-03-18,15.628733282453029,1.8846449713772857,1.1923570916460675,1.000000000000005,0.0,0.0,17.936059003129742,1.1500000000000057,36.000000000000185,6.840000000000035,80.48000000000042,974062.0000000051,0.9800000000000051
2020-03-19,17.001091009027906,2.2828599405562398,1.4430089305639007,1.000000000000005,0.0,0.0,19.51063216443525,1.1500000000000057,36.000000000000185,6.840000000000035,80.48000000000042,974062.0000000051,0.9800000000000052
2020-03-20,18.912647603894428,2.7929626671172505,1.7382327806637177,1.000000000000005,0.0,0.0,21.703868758103464,1.1500000000000057,36.000000000000185,6.840000000000035,80.48000000000042,974062.0000000051,0.9800000000000052
