date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_tests,reproduction_rate,new_tests,new_tests_smoothed,positive_rate,tests_per_case,new_vaccinations_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,male_smokers,median_age,extreme_poverty,diabetes_prevalence,handwashing_facilities,population
2022-01-24,155002.5243776493,261.5460434772368,337.04007914723366,1363.684310945178,3.393163319935776,3.348482357766531,2202337.809763426,0.9857832092286489,4934.731993040687,2665.604987892655,0.13879678229127235,9.365028977467425,120347.35404843293,0.1943389712359609,51.090796174005874,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-01-25,155248.0738100633,245.54943241400417,311.09466278641133,1367.0807833058473,3.396472360669354,3.365675278344295,2205441.2784387115,0.9801339486150885,5018.247008636952,2749.2444325807755,0.1284527903383639,10.354930427347517,118673.45084660282,0.18670687871785646,51.08541936709142,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-01-26,155477.91107829753,229.8372682342267,287.50218034772735,1370.4739682162976,3.3931849104503073,3.378365056043294,2208686.9303222494,0.9747767704464502,5107.001469619783,2854.0145784756637,0.11804983839048927,11.496094394524878,116035.43672900528,0.17637502005972414,51.081359289378106,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-01-27,155692.2037838365,214.29270553895404,266.2920478335172,1373.8556862462588,3.3817180299612,3.3854622212503163,2212064.1165335146,0.9697230109311544,5198.694227245923,2973.0506558994157,0.10786252423565956,12.779693614251794,112623.00786349617,0.1639535339523563,51.07837402424115,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-01-28,155891.37740154922,199.17361771271607,247.38249240390348,1377.217540379589,3.3618541333306333,3.386223201167218,2215554.2435606034,0.964985212303086,5290.803163514522,3098.9577721443466,0.09819295006103695,14.168163875847242,108697.41528676252,0.15025474322444837,51.076558152311506,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-01-29,156076.39631877688,185.01891722765293,230.55421254791815,1380.5519400293608,3.3343996497717354,3.3803723136097426,2219132.9993351987,0.9605792453617696,5380.751690587932,3224.1716419718723,0.08923779593297884,15.637530469910669,104585.70165576368,0.13620964177515604,51.075765252889155,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-01-30,156248.9746146485,172.5782958716125,215.43062321184382,1383.8528690491719,3.3009290198110293,3.368193262356633,2222772.6756014572,0.9565011761027764,5466.099203896405,3341.16536690231,0.08110659517210007,17.105756126511892,100593.2330291532,0.12267678530680347,51.07552917560747,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-01-31,156412.12616137444,163.15154672594616,201.37426233454568,1387.1265457752454,3.273676726073532,3.35113977546819,2226442.61158959,0.9527330249342265,5544.728621384846,3443.0264653835893,0.07372199550641838,18.557318064502567,96969.49983650626,0.11038202336924297,51.07519406981169,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-01,156566.16813428252,154.04197290806678,188.3017331116076,1390.3683741019595,3.2418283267141708,3.3290023752339843,2230112.9984158543,0.9492828003748793,5614.995742139616,3524.1405988760944,0.06704779915082225,19.993731922649747,93879.0393246972,0.099868127093836,51.07401190659284,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-02,156711.2568861032,145.08875182067533,176.19473486925858,1393.5690084368466,3.2006343348869577,3.301382356732539,2233754.9933400126,0.9461662049999714,5675.607712327956,3580.8548512255957,0.06120456300241862,21.45732867695826,91376.19911213967,0.09140351936691879,51.07133924668678,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-03,156847.6083400786,136.35145397539677,165.0601723542712,1396.71764191264,3.1486334757935355,3.267902313767896,2237337.3631853615,0.9433681896258685,5725.525464810509,3610.23462581416,0.0561101126202691,22.998484549089127,89442.26943753086,0.08511857359112324,51.066606244969904,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-04,156975.66328479414,128.054944715549,154.90023770138555,1399.8044725463112,3.086830633671271,3.2283640333220474,2240832.1737141698,0.9408981525620013,5764.189885946494,3610.9514218493127,0.05175356054794266,24.63370827283822,87983.46587905323,0.08099002909444142,51.05935642904101,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-05,157096.21134530235,120.54806050821973,145.68997190887708,1402.8225528583455,3.018080312034323,3.1828669163942545,2244219.7007672074,0.9387830197220841,5791.656973656338,3583.665683387636,0.047958189156916964,26.3444667249907,86821.78926061519,0.07886226971999083,51.04927653315769,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-06,157210.48396146565,114.27261616332395,137.36043594523264,1405.7691770872002,2.946624228854447,3.1318967936305366,2247486.720161705,0.9370389454638333,5808.664738927392,3530.45209059503,0.044591460225800246,28.095562390220124,85771.77531650223,0.07857430409994798,51.03621887368863,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-07,157320.23294524295,109.74898377730887,129.73134538167832,1408.669610675777,2.900433588576844,3.078182453012176,2250623.520183768,0.9356748134934807,5816.395782412283,3454.305810027725,0.041666122641877704,29.829973344054928,84667.11497153968,0.08000280305880078,51.02021813070287,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-08,157425.77648656658,105.54354132360879,122.80284856437781,1411.5182390346304,2.8486283588534516,3.0215825411166026,2253622.4153856207,0.9346948625441583,5816.4521296008925,3358.389700119376,0.03915650859420729,31.494230169644347,83384.50431204206,0.08306997559726814,51.00150393416168,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-09,157527.42239401373,101.64590744713465,116.59658551830611,1414.2967917517342,2.778552717103893,2.9608331566454713,2256466.889092548,0.9341132606767044,5810.679586029345,3244.467630616362,0.037046760889740835,33.02873823809304,81865.42165678537,0.0877981184141762,50.98051030356251,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-10,157625.52207993198,98.0996859182535,111.13191489826428,1416.9817082287993,2.6849164770651566,2.894127453133752,2259145.5403746055,0.933929321719553,5801.009969426877,3115.3751735117257,0.03536926588385383,34.35411185568684,80076.85720897569,0.09415304905626903,50.95788272767196,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-11,157720.51104928338,94.98896935142457,106.40808420214049,1419.5496619085118,2.567953679712251,2.8195503409815394,2261665.2289508097,0.934121522640668,5789.316749566146,2976.084078905614,0.03410209485568291,35.418523452204745,78012.18928682237,0.10202752111670098,50.93402969281286,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-12,157812.93926627756,92.42821699417618,102.39085743085566,1421.9817034449607,2.432041536448703,2.735404513977916,2264048.9527385975,0.9346803468932366,5777.280743891091,2832.6980624112757,0.033250779286558604,36.177105258836875,75683.7578830225,0.11126660075995642,50.909270168769375,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-13,157903.49392934638,90.55466306883847,99.00248583332287,1424.26636808146,2.284664636499426,2.640454969193848,2266329.35017974,0.9355614883535099,5766.263354977979,2691.7688926390997,0.03276306830460872,36.63788550521368,73120.34628880219,0.12172936233467341,50.88408982761136,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-14,157992.52873724917,89.03480790279251,96.04324478869621,1426.4171322343354,2.1507641528755412,2.5330283632884076,2268545.261624789,0.9367254149076677,5757.185464371328,2560.2326487941305,0.0325357789272284,36.85563778760456,70363.8101367698,0.13323771341228519,50.85905250322313,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-15,158080.32402546456,87.79528821539442,93.50772657794762,1428.422868568126,2.0057363337904652,2.41234577149669,2270738.3471962935,0.938120337845264,5750.410568700992,2445.137285561341,0.03249087750505289,36.889498217885105,67464.99944162075,0.14555255784525162,50.834733785950064,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-16,158167.43571463838,87.11168917382777,91.43137040210983,1430.268929060227,1.8460604921010926,2.2789315975300832,2272944.7805275833,0.9396836599773559,5745.631097510122,2354.0088950048803,0.032560627424200184,36.77289935830722,64479.15038923115,0.15834573706525767,50.81269222698686,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-17,158254.56500511282,87.12929047442395,89.86413720688307,1431.9428732657607,1.673944205533481,2.134378239194753,2275200.261979401,0.9413572827981443,5742.4118870196935,2293.575611137309,0.032703760807322776,36.51238621879511,61460.88305695252,0.17124184966384337,50.79330488452593,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-18,158342.4606478232,87.8956427103753,88.85076580109002,1433.4387645162262,1.4958912504655615,1.9811695876055042,2277540.7424687166,0.9430897138762437,5740.280742457194,2267.994474998104,0.03292148576386317,36.089968397128054,58458.899962397714,0.18380323598737863,50.77614673062141,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-19,158431.84564747073,89.3849996475198,88.41596494551706,1434.7603920684905,1.321627552264169,1.822548651596179,2279998.4418466925,0.9448035491434478,5738.813120945468,2278.582184626086,0.033187074245327935,35.519683796230055,55518.54384704076,0.1955311600222085,50.76027520633717,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-20,158523.3622899019,91.51664243117975,88.55330741954515,1435.9236877165283,1.1632956480378174,1.6624182760274526,2282596.1355155976,0.9464210199700629,5737.712404811674,2323.930077383595,0.03349017640151378,34.81493414646153,52679.11717745904,0.20584956587961728,50.74444363810783,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
2022-02-21,158617.62923197093,94.26694206902167,89.30062326019873,1436.9635802670361,1.039892550508002,1.503829705727766,2285338.1541404724,0.9478600442277101,5740.678238105639,2399.1063007655603,0.033845331072951804,34.00189227112609,49971.80656441302,0.21419228106776111,50.727261300009516,7.700000000000042,21.100000000000115,12.000000000000064,4.9700000000000255,41.05000000000021,33475870.00000017
